Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Ownership Type,Building Type,Design,Heating,Total number of floors,Condition,PENB,Age,Front garden,Renovation,New building,Administration fee,Developer name,Project name,Kód jednotky
705825,"CZK 12,000",50.0478946,14.5613036,"Boloňská, Prague - Horní Měcholupy",1 bedroom with open-plan kitchen,43 m²,"CZK 2,800",Partially furnished,6,No,No,Yes,No,No,Yes,No,01. 03. 2022,479,"1,054",631,"1,131",174,"1,013",256,332,843,122,"CZK 12,000",Personal,Prefab concrete building,,,,Excellent,G,,,,,,,,
425033,"CZK 9,000",50.1047539,14.5384498,"Klánovická, Prague - Hloubětín",Small studio,22 m²,"CZK 3,500",Furnished,2,No,No,No,No,No,No,No,01. 03. 2022,126,115,126,127,281,147,395,317,195,232,"CZK 12,500",Personal,Brick building,,,,,D,,,,,,,,
705824,"CZK 19,500",50.03977,14.56813,"Modenská, Prague - Horní Měcholupy",1 bedroom with open-plan kitchen,129 m²,"CZK 3,500",Partially furnished,1,No,Yes,Yes,Yes,No,Yes,Yes,01. 04. 2022,284,868,533,733,658,325,426,597,"1,226",335,"CZK 25,000",Personal,Brick building,,,,New build,G,,,,,,,,
705161,"CZK 11,500",50.05716,14.44544,"Sdružení, Prague - Nusle",Studio,42 m²,"CZK 2,600",Partially furnished,1,Yes,No,No,No,No,No,No,05. 02. 2022,316,993,46,504,172,928,349,323,"1,018",266,"CZK 15,000",Other,Brick building,,,,Excellent,G,,,,,,,,
667783,"CZK 16,000",50.07054,14.48633,"Na Hroudě, Prague - Strašnice",2 bedroom,55 m²,"CZK 4,500",Furnished,3,No,No,No,No,No,Yes,No,02. 04. 2022,185,789,470,541,137,264,430,645,406,326,"CZK 35,000",Personal,Brick building,Standard materials and solutions,District heating,Middle floor,Excellent,G,,,Overall,,,,,
680075,"CZK 37,500",50.0372353,14.482405,"Hněvkovská, Prague - Chodov",1 bedroom with open-plan kitchen,40 m²,"CZK 12,500",Furnished,-1,No,Yes,No,No,No,No,No,11. 02. 2022,469,"1,480",408,"1,340",370,"1,305",889,"1,194",334,309,,,,,,,,,,,,,,,,
510175,"CZK 16,000",50.0722338,14.5098376,"Michelangelova, Prague - Strašnice",1 bedroom with open-plan kitchen,63 m²,"CZK 3,478",Partially furnished,4,Yes,No,No,No,Yes,Yes,No,,227,"1,427",269,129,457,419,611,"1,488",185,,"CZK 32,000",Personal,Brick building,Standard materials and solutions,District heating,Middle floor,Excellent,,10 to 30 years years,,,,,,,
705819,"CZK 18,000",50.05706,14.46998,"U Plynárny, Prague - Michle",1 bedroom with open-plan kitchen,62 m²,"CZK 2,000",Furnished,5,No,No,Yes,No,No,Yes,No,01. 03. 2022,64,"1,193",128,"1,372",546,132,778,"1,098",106,,"CZK 18,000",Personal,Brick building,,,,Excellent,G,,,,,,,,
278595,"CZK 13,000",50.0568456,14.400103,"Nad Kesnerkou, Prague - Smíchov",1 bedroom with open-plan kitchen,45 m²,"CZK 3,000",Partially furnished,1,No,No,No,No,No,No,No,17. 02. 2022,233,"1,093",402,"1,010",391,823,612,572,226,,,Personal,Brick building,,Gas boiler,Middle floor,,A,over 50 years years,150 m²,Overall,,,,,
92786,"CZK 19,000",50.10382,14.47515,"Heydukova, Prague - Libeň",1 bedroom with open-plan kitchen,59 m²,"CZK 1,000",Partially furnished,1,No,No,No,No,Yes,No,No,01. 03. 2022,30,257,61,169,36,82,219,412,427,366,"CZK 36,000",Cooperative,Brick building,,,Middle floor,,,,,,,,,,
