Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Floor space,Fully furnished,Condition,Ownership,Heating,Balcony,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,EPC,Enclosed balcony,Cellar,Reconstruction,Designe,New-build,Parking,Domácí mazlíčci vítáni,Age,Garage,Terrace,Administrative fee
"CZK 36,000","CZK 5,000","CZK 41,000",726296,2 bedroom,10/1/2022,4,Brick,99 m²,Fully furnished,Very good,,,,1.0,122.94,258.58,133.88,395.37,98.69,163.66,345.48,354.2,447.9,243.26,Prague - Karlín,50.09334,14.44557,A,1.0,1.0,,,,,,,,,
"CZK 17,500","CZK 3,000","CZK 24,000",604429,1 bedroom,9/15/2022,4,Brick,32 m²,Partly,Very good,Personal,Gas boiler,1.0,,362.81,259.2,126.77,286.13,118.18,279.99,159.44,215.84,295.88,466.72,"Vlkova, Prague - Žižkov",50.083992,14.448523,A,,,Complete,Standard,,,,Up to 10 years,,,
"CZK 13,600",CZK 600,"CZK 14,200",740948,2 bedroom,9/17/2022,1,Other,69 m²,Fully furnished,Very good,,,1.0,,172.79,861.1,94.85,371.57,72.57,116.14,529.15,971.08,423.5,834.57,Prague - Holešovice,50.10317,14.43491,A,,1.0,,,,1.0,,,,,
"CZK 14,000","CZK 3,000",CZK 0,247623,Studio,6/20/2022,4,Other,42 m²,Fully furnished,,Personal,,,,193.99,899.6,744.58,870.17,177.21,878.0,756.21,915.27,370.64,213.08,"Raichlova, Prague - Stodůlky",50.0376699,14.3294192,,,,,,,,,,,,
"CZK 13,000","CZK 3,500","CZK 16,500",460612,Studio,1/1/2023,2,Brick,35 m²,Partly,New-build,Personal,,,1.0,311.66,482.42,100.38,298.64,247.57,304.86,311.93,388.36,530.84,197.19,"Musílkova, Prague - Košíře",50.0682369,14.3709869,,,1.0,,Luxurious,1.0,,,Up to 10 years,,,
"CZK 19,999","CZK 3,500","CZK 30,000",740943,2+kk,9/17/2022,1,Brick,52 m²,Partly,New-build,Personal,,1.0,1.0,148.61,358.59,172.85,1086.51,222.75,909.36,7.38,458.9,363.93,72.42,Prague - Hlubočepy,50.02841,14.36825,A,,1.0,,,1.0,1.0,,,1.0,,
"CZK 27,000","CZK 3,000","CZK 30,000",517931,2+kk,11/1/2022,2,Brick,55 m²,Fully furnished,,Cooperative,Electric boiler,1.0,,98.22,363.84,107.93,28.37,19.06,161.02,454.52,509.1,250.77,629.5,Prague - Karlín,50.0914053,14.4388752,,,,Interior,Luxurious,,,,Up to 10 years,,,
"CZK 12,500","CZK 3,000",CZK 0,267720,Studio,8/23/2022,5,Prefab concrete,45 m²,Fully furnished,,Personal,,,,140.65,1330.58,511.17,1085.56,206.79,1317.03,1111.5,640.52,844.37,273.91,"Roškotova, Prague - Braník",50.0405931,14.4265259,,,,,,,,,,,,
"CZK 8,000","CZK 5,000","CZK 10,000",736857,2 bedroom,9/12/2022,3,Brick,45 m²,Fully furnished,Good,,,,,439.24,803.13,302.68,845.82,712.62,459.25,468.41,195.87,457.01,228.95,Prague - Strašnice,50.08273,14.49127,G,,,,,,,,,,,
"CZK 15,000","CZK 4,000",CZK 0,736943,2 bedroom,10/1/2022,2,Brick,45 m²,Partly,Very good,,,,,709.72,829.85,448.06,2370.89,383.39,437.8,764.25,716.18,1821.64,649.04,Prague - Braník,50.03496,14.42055,G,,,,,,1.0,,,,1.0,
"CZK 25,000","CZK 5,000","CZK 50,000",740929,3+1,9/17/2022,3,Brick,91 m²,Partly,Good,,,,1.0,141.09,969.09,232.26,482.3,52.79,362.74,325.37,326.37,332.91,137.26,Prague - Nové Město,50.06861,14.41583,G,,1.0,,,,,,,,,
