Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Design,Heating,Renovation,PENB,Age,Total number of floors,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
708624,"CZK 10,500",50.10117,14.49025,"Spojovací, Prague - Vysočany",Studio,20 m²,"CZK 1,000",Unfurnished,3,No,No,No,No,Yes,No,No,20. 03. 2022,180,"1,132",207,774,299,"1,286",100,185,622,231,Excellent,"CZK 10,500",Personal,Brick building,,,,G,,,,,,,,,
246363,"CZK 18,900",50.0899848,14.4491976,"Pernerova, Prague - Karlín",1 bedroom with open-plan kitchen,64 m²,"CZK 2,500",Furnished,4,No,No,No,No,No,Yes,No,15. 02. 2022,446,384,153,561,269,584,91,"1,152",660,332,Excellent,"CZK 23,620",Personal,Brick building,Premium materials and solutions,Gas boiler,Interior,G,1 to 10 years years,Middle floor,,,,,,,
657007,"CZK 11,000",50.0291787,14.4506539,Prague - Krč,Studio,27 m²,"CZK 3,200",Partially furnished,10,No,No,No,No,Yes,Yes,No,01. 03. 2022,69,"1,240",280,57,704,788,"1,119",504,325,,Excellent,"CZK 22,000",Personal,Prefab concrete building,,District heating,Interior,C,,,,,,,,,
708362,"CZK 11,400",50.02937,14.59657,"Oty Bubeníčka, Prague - Uhříněves",Studio,34 m²,"CZK 3,300",Furnished,2,No,No,Yes,Yes,Yes,Yes,No,01. 05. 2022,191,331,288,440,259,304,749,830,956,140,New build,"CZK 20,000",Personal,Low-energy building,,,,B,,,Yes,,,,,,
704541,"CZK 15,500",50.04714,14.42878,"Na Vrstvách, Prague - Podolí",1 bedroom with open-plan kitchen,45 m²,"CZK 2,460",Unfurnished,2,No,No,No,No,No,No,No,01. 03. 2022,283,"1,079",242,722,92,776,298,402,822,277,Excellent,"CZK 30,000",Personal,Brick building,,,,D,,,,,,,,,
708968,"CZK 30,000",50.01264,14.38504,"Pod Akáty, Prague - Velká Chuchle",2 bedroom with open-plan kitchen,83 m²,"CZK 3,000",Partially furnished,1,Yes,No,No,No,Yes,No,No,02. 03. 2022,251,321,336,323,663,,,,,,New build,"CZK 33,000",Personal,Brick building,,,,G,,,,,,,,,
708486,"CZK 25,000",50.11796,14.4615,"V Holešovičkách, Prague - Libeň",2 bedroom with open-plan kitchen,70 m²,"CZK 3,500",Partially furnished,2,Yes,No,Yes,No,Yes,No,No,01. 05. 2022,244,690,607,833,392,497,847,908,"1,353",793,Excellent,,Personal,Brick building,Premium materials and solutions,Gas boiler,Interior,G,over 50 years years,Middle floor,,1000 m²,,,,,
341127,"CZK 15,600",50.0604322,14.2799229,"Lipovská, Prague - Zličín",1 bedroom with open-plan kitchen,55 m²,"CZK 3,300",Partially furnished,3,Yes,No,Yes,No,Yes,Yes,Yes,,200,753,"1,176","1,106","1,062","1,230",578,"1,452",68,,,,Personal,Brick building,,,,,,Middle floor,,,,,,,
708358,"CZK 9,000",50.0567507,14.291957,"Do Zahrádek I, Prague - Třebonice",Studio,37 m²,"CZK 2,500",Furnished,3,Yes,No,Yes,No,No,No,No,01. 03. 2022,262,"1,178",560,504,816,614,614,838,454,,New build,"CZK 12,500",Personal,Brick building,,,,B,,,,,,,,,
709129,"CZK 32,400",50.091319,14.4234523,"U Obecního dvora, Prague - Staré Město",2 bedroom,62 m²,"CZK 10,800",Furnished,2,No,No,No,No,No,Yes,No,05. 03. 2022,116,432,102,253,102,270,297,393,201,165,,,,,,,,,,,,,,,,,
