Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,Garage,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Heating,Designe,Condition,Ownership,EPC,Reconstruction,Sklep 1 m²,Lodžie 6 m²,Balcony,Terrace,Lodžie 5 m²,Parking,Age,New-build,Lodžie 4 m²,Sklep 2 m²,Sklep 3 m²,Lodžie 7 m²,Domácí mazlíčci vítáni,Terasa 40 m²,Sklep 5 m²,Balkón 10 m²,Terasa 2 m²,Cellar,Balkón 6 m²,Balkón 2 m²,Sklep 8 m²,Balkón 4 m²,Balkón 15 m²,Balkón 7 m²,Sklep 6 m²,Terasa 35 m²,Sklep 2.4 m²,Sklep 4 m²,Balkón 3 m²,Terasa 6 m²,Enclosed balcony,Balkón 8 m²,Lodžie 7.1 m²,Lodžie 20 m²,Balkón 54 m²,Terasa 42 m²,Lodžie 3 m²,Balkón 5 m²,Terasa 50 m²,Sklep 10 m²,Lodžie 12 m²,Lodžie 8 m²,Balkón 9 m²,Balkón 29 m²,Terasa 30 m²,Terasa 49 m²,Terasa 12 m²,Sklep 44 m²,Balkón 6.4 m²,Sklep 1.3 m²,Administrative fee,Terasa 4 m²,Terasa 21 m²,Lodžie 10 m²,Terasa 10 m²,Sklep 9 m²,Terasa 200 m²,Terasa 7 m²,Terasa 15 m²,Terasa 5 m²,Terasa 25 m²,Terasa 20 m²,Sklep 1.2 m²,Balkón 2.1 m²,Balkón 33 m²,Terasa 12.7 m²,Terasa 18 m²,Terasa 70 m²,Terasa 100 m²,Balkón 12 m²,Balkón 1 m²,Terasa 3 m²,Balkón 3.2 m²,Terasa 11 m²,Lodžie 8.7 m²,Sklep 2.7 m²,Terasa 9 m²,Balkón 60 m²,Terasa 60 m²,Balkón 40 m²,Balkón 18 m²,Terasa 13 m²,Balkón 16 m²,Sklep 12 m²,Terasa 14 m²,Terasa 350 m²,Sklep 7 m²,Terasa 27 m²,Terasa 300 m²,Terasa 78 m²,Balkón 2.6 m²,Sklep 58 m²,Terasa 8 m²,Lodžie 6.1 m²,Sklep 17 m²,Sklep 8.1 m²,Terasa 32 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Lodžie 3.2 m²,Lodžie 5.1 m²,Balkón 28 m²,Balkón 1.5 m²,Terasa 17 m²,Balkón 14 m²,Sklep 15 m²,Terasa 37 m²,Balkón 8.73 m²,Terasa 2.67 m²,Lodžie 15 m²,Balkón 11 m²,Terasa 16.1 m²,Sklep 3.1 m²,Balkón 13 m²,Terasa 29 m²,Terasa 83 m²,Sklep 6.4 m²,Balkón 96 m²,Terasa 27.6 m²,Lodžie 2.7 m²,Lodžie 13 m²,Sklep 20 m²,Terasa 14.1 m²
"CZK 23,000","CZK 3,200",748665,3+1,11/1/2022,82 m²,Partly,7,1.0,,160.7,1230.13,131.59,1222.78,469.09,161.23,254.41,666.73,670.9,105.69,"Zárubova, Prague - Kamýk",50.015961721814,14.435432810222,"CZK 50,000",Prefab concrete,Central,,Very good,Personal,D,Complete,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 4,500",747004,2+kk,11/10/2022,57 m²,Partly,2,1.0,1.0,92.26,1354.33,649.87,1417.04,388.43,498.04,635.47,606.0,383.06,493.76,"K Vystrkovu, Prague - Modřany",50.0002,14.40657,"CZK 29,000",Brick,Central,Luxurious,New-build,Personal,B,Complete,,,,,,1.0,Up to 10 years,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 2,600",749292,Studio,11/7/2022,37 m²,Partly,4,1.0,1.0,217.68,150.37,238.25,1550.83,184.39,982.21,1093.25,684.8,865.08,172.36,Prague - Stodůlky,50.04557,14.30395,"CZK 37,200",Low-energy,,Luxurious,New-build,,B,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 1,000",748652,Studio,11/1/2022,29 m²,Fully furnished,5,1.0,,61.69,307.54,114.81,203.21,91.16,272.5,362.08,493.53,365.94,341.19,"Orelská, Prague - Vršovice",50.06751,14.45749,"CZK 20,000",Brick,Electric boiler,Luxurious,Very good,Personal,G,Complete,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 9,500",CZK 500,550418,Small studio,11/6/2022,28 m²,Unfurnished,,,,264.05,219.14,215.77,610.91,90.25,304.52,354.29,575.01,472.49,481.77,Prague - Smíchov,50.0675237,14.3971174,"CZK 15,000",Brick,Electric boiler,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 6,000",749288,2+kk,11/6/2022,38 m²,Partly,3,,,46.5,261.24,40.46,663.95,44.21,564.49,232.18,219.58,516.98,329.79,"Francouzská, Prague - Vinohrady",50.07291,14.44179,"CZK 40,000",Brick,,,New-build,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,800",748648,3+kk,11/1/2022,65 m²,Fully furnished,9,1.0,1.0,329.52,467.65,126.36,559.87,245.05,191.68,797.72,204.45,369.95,96.88,"Klírova, Prague - Chodov",50.0267,14.48996,"CZK 30,000",Prefab concrete,,,Very good,Personal,C,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,000",748480,2+kk,10/31/2022,48 m²,Partly,4,1.0,,255.21,985.67,205.04,329.62,113.56,187.43,307.83,261.47,428.5,370.42,"Viklefova, Prague - Žižkov",50.08969,14.47408,"CZK 40,000",Brick,,Standard,Very good,,D,Complete,,,,,,1.0,Over 50 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 34,000","CZK 7,200",744231,3+kk,1/1/2023,125 m²,Fully furnished,4,1.0,,146.3,582.9,105.68,246.72,82.2,139.49,199.14,223.0,522.52,233.05,"Musílkova, Prague - Košíře",50.06881115,14.36939225,"CZK 68,000",Brick,Distance,,Very good,,G,,,,,,,1.0,Up to 10 years,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 3,415",748645,3+kk,12/1/2022,85 m²,Partly,5,1.0,1.0,41.49,1215.03,724.98,1338.22,361.87,573.16,710.59,681.12,421.43,326.93,"K Vystrkovu, Prague - Modřany",49.9995,14.40816,"CZK 50,000",Brick,Distance,,New-build,Personal,B,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
