Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Heating,Condition,Ownership,Age,Balcony,Parking,New-build,Terrace,Reconstruction,EPC,Designe,Cellar,Garage,Domácí mazlíčci vítáni,Enclosed balcony,Administrative fee
"CZK 16,000","CZK 1,500",730986,3+1,8/23/2022,71 m²,Partly,5,,506.34,876.91,392.91,811.74,806.41,696.49,646.62,295.96,2042.79,195.9,Prague - Troja,50.12536,14.41058,"CZK 32,000",Prefab concrete,Central,Good,,,,,,,Exterior,G,Standard,,,,1.0,
"CZK 10,000","CZK 2,500",223038,Small studio,9/1/2022,26 m²,Partly,-1,,239.9,604.16,419.5,274.91,14.9,1213.97,212.52,546.71,354.14,393.49,"Magistrů, Prague - Michle",50.0579778,14.4521481,"CZK 12,500",Brick,Distance,Good,Personal,,,,,,,,,1.0,,,,
"CZK 25,000","CZK 5,000",650442,2+kk,3/15/2021,75 m²,Fully furnished,6,1.0,439.43,329.93,177.27,299.2,234.8,530.92,164.73,508.99,866.38,246.87,Prague - Vinohrady,50.079607,14.453788,"CZK 25,000",Brick,,New-build,Personal,,,,,1.0,,A,,,,,,
"CZK 13,500","CZK 1,500",201220,1 bedroom,9/1/2022,38 m²,Fully furnished,6,,67.95,830.94,102.94,276.31,52.52,728.6,361.23,452.26,798.86,213.81,"Nuselská, Prague - Nusle",50.060184859629,14.449060015392,"CZK 20,000",Brick,Electric boiler,Very good,Personal,,,,,1.0,,,,1.0,,,,
"CZK 18,000","CZK 3,000",727868,2 bedroom,8/23/2022,70 m²,Partly,5,1.0,166.59,912.67,204.13,2110.26,695.17,925.0,511.63,529.34,811.55,242.96,Prague - Čimice,50.13583,14.43442,CZK 2,Prefab concrete,,Very good,,,,1.0,,,,B,,,,,1.0,
"CZK 15,000","CZK 4,500",483606,Studio,10/1/2022,42 m²,Partly,3,,59.17,832.58,69.81,317.47,265.17,136.69,236.43,732.66,112.87,308.78,Prague - Libeň,50.1080371,14.4724508,"CZK 19,500",Brick,,New-build,Personal,,,,,,,A,,,,,,
"CZK 16,000","CZK 2,000",727658,Studio,7/28/2022,34 m²,Fully furnished,1,1.0,739.75,1224.14,1101.34,2535.62,847.06,1131.9,1049.47,1987.95,1793.56,1084.56,Prague - Libuš,50.01514,14.46293,"CZK 36,000",Brick,Central,New-build,,Up to 10 years,1.0,1.0,1.0,,,B,Luxurious,,,,,
"CZK 8,000","CZK 2,500",354692,Other,6/27/2022,20 m²,Fully furnished,1,,47.34,1364.56,146.9,862.47,60.54,597.08,709.83,707.89,933.65,594.52,"Klapkova, Prague - Kobylisy",50.1295387,14.4551659,"CZK 10,500",Brick,,,Personal,,,,,,,G,,,,,,
CZK 1,CZK 1,413102,Studio,8/31/2022,24 m²,Fully furnished,2,,253.56,1033.66,372.0,990.89,263.04,417.24,805.51,823.05,313.14,77.75,Prague - Malešice,50.0842092,14.5135598,CZK 1,Prefab concrete,,,Personal,,1.0,,,,,,,,,,,
"CZK 12,000","CZK 1,500",534179,Studio,8/29/2022,29 m²,Fully furnished,2,1.0,182.63,362.06,266.73,1038.64,186.17,285.23,911.11,343.22,332.99,592.67,"Kotevní, Prague - Smíchov",50.0638563,14.4102758,"CZK 12,000",Brick,Gas boiler,Very good,Personal,,,,,,Interior,C,,,,,,
