Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Balcony,Lift,Terrace,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Cellar,Domácí mazlíčci vítáni,Parking,Ownership,Reconstruction,Age,Designe,Enclosed balcony,Heating,New-build,Garage,Administrative fee,Plot type
"CZK 12,000","CZK 3,000",650716,Small studio,9/1/2022,33 m²,Partly,6,1.0,1.0,,423.15,2168.74,1870.0,2245.52,406.28,2025.04,1219.49,2119.55,370.39,1106.24,"Šífařská, Prague - Hodkovičky",50.020821,14.40306,"CZK 15,000",A,New-build,Brick,,,1.0,Personal,,Up to 10 years,Luxurious,,Distance,1.0,,,
"CZK 19,000","CZK 4,000",514627,2+kk,9/1/2022,53 m²,Partly,8,1.0,1.0,,436.45,482.38,355.27,2168.88,451.43,585.29,902.55,311.64,478.12,124.82,"Kytínská, Prague - Hostivař",50.0529798,14.5443391,"CZK 19,000",,New-build,Other,1.0,,,Personal,,Up to 10 years,Standard,,Distance,1.0,1.0,,
"CZK 14,000","CZK 1,930",437630,Studio,8/20/2022,32 m²,Fully furnished,5,1.0,1.0,,777.75,1515.39,1436.1,2118.41,297.18,1411.22,1521.23,1349.24,501.91,402.89,"Kadečkové, Prague - Letňany",50.1425035,14.5253098,"CZK 31,860",B,New-build,Low-energy,,,,Personal,,Up to 10 years,Luxurious,,Distance,1.0,1.0,,
"CZK 18,000","CZK 4,500",613343,2+kk,10/1/2022,46 m²,,4,1.0,1.0,,526.76,1019.91,431.15,1156.37,479.61,952.31,597.42,464.21,605.37,264.73,"Mírového Hnutí, Prague - Háje",50.037896,14.521034,"CZK 20,000",A,Very good,Brick,,,1.0,Personal,,,,,,,1.0,,
"CZK 9,500","CZK 4,500",326191,2+kk,8/20/2022,45 m²,Partly,,,,,118.21,901.07,270.57,440.14,356.62,402.74,697.18,657.21,541.06,238.94,"Nad Krocínkou, Prague - Prosek",50.1160844,14.5019544,"CZK 16,000",,,Brick,,,,Personal,,,,,,,,,
"CZK 18,500","CZK 4,000",421225,2+kk,10/1/2022,52 m²,Partly,4,1.0,1.0,,324.34,473.47,296.86,224.17,158.4,158.73,795.72,748.5,192.56,232.72,"Nepilova, Prague - Vysočany",50.110728,14.4959744,"CZK 35,000",A,Very good,Brick,,,1.0,Personal,,,,,,,,,
"CZK 16,500","CZK 6,000",730617,2+kk,9/1/2022,57 m²,Partly,4,1.0,1.0,,352.88,459.2,344.74,2082.0,594.17,633.94,971.66,204.9,5317.79,225.18,Prague - Zbraslav,49.96156,14.38226,"CZK 33,000",G,Very good,Brick,1.0,,1.0,,,,,,Distance,,,,
"CZK 16,900","CZK 3,100",617632,2+kk,6/25/2022,44 m²,Partly,2,1.0,1.0,,339.5,258.78,154.1,328.9,36.49,237.37,731.05,965.96,1127.37,353.92,"Olštýnská, Prague - Troja",50.127794,14.42029,"CZK 30,000",B,Very good,Prefab concrete,,,,Personal,Interior,Up to 10 years,Standard,,Distance,,,,
"CZK 15,750","CZK 5,250",730614,1 bedroom,9/1/2022,30 m²,Fully furnished,3,,,,217.38,2062.48,1281.33,4705.18,629.6,1074.91,597.5,3134.16,2915.46,646.77,"Švihovská, Prague - Písnice",49.9954018,14.4704771,,,,,,,,,,,,,,,,,
"CZK 19,900","CZK 3,900",547694,2+kk,9/1/2022,40 m²,Fully furnished,5,,1.0,,247.6,612.03,162.08,212.68,150.4,308.87,373.02,109.89,426.4,395.65,"Pod Slovany, Prague - Nové Město",50.0712083,14.4161981,"CZK 47,600",E,New-build,Brick,,,1.0,Personal,Interior,Up to 10 years,Standard,,Gas boiler,1.0,,,
