Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,New building,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Age,Design,Heating,Total number of floors,Front garden,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Renovation,Kindergarten,Sports field,Playground,Developer name,Project name,Kód jednotky,Administration fee
654089,"CZK 17,000",50.11227,14.62069,"U jeslí, Prague - Horní Počernice",3 bedroom with open-plan kitchen,Excellent,74 m²,"CZK 5,000","CZK 34,000",Personal,Prefab concrete building,,Partially furnished,1,Yes,No,Yes,No,No,No,No,01. 07. 2021,,Standard materials and solutions,District heating,,,B,124,"1,092",257,599,648,369,791,Overall,464,,,,,,
328770,"CZK 33,000",50.0691704,14.4336586,"U Zvonařky, Prague - Vinohrady",2 bedroom with open-plan kitchen,New build,90 m²,"CZK 6,500",,Personal,Brick building,Yes,Furnished,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,06. 12. 2021,1 to 10 years years,Premium materials and solutions,Gas boiler,Middle floor,,,90,622,113,712,173,657,489,,522,335,422,,,,
670314,"CZK 18,000",49.96831,14.38631,"Pelzova, Prague - Zbraslav",1 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 2,831","CZK 36,000",Personal,Brick building,,Partially furnished,1,No,Yes,Yes,No,No,Yes,No,01. 02. 2022,,,District heating,Middle floor,,C,122,"1,089",68,"1,240",367,102,498,,329,149,,,,,
695828,"CZK 11,500",50.05049,14.45963,"Pobočná, Prague - Michle",1 bedroom with open-plan kitchen,Excellent,48 m²,CZK 700,,Personal,Brick building,,Partially furnished,1,No,No,No,No,No,No,No,01. 02. 2022,,,,,,G,168,664,95,666,94,554,571,,582,571,348,,,,
695133,"CZK 10,000",50.10577,14.54779,"Rochovská, Prague - Hloubětín",Studio,Excellent,30 m²,"CZK 3,000","CZK 20,000",Personal,Prefab concrete building,,Partially furnished,6,No,No,No,No,Yes,Yes,No,01. 01. 2022,,,District heating,Middle floor,,G,119,828,283,860,470,914,291,Overall,585,962,221,,,,
652280,"CZK 12,500",50.112559,14.514853,"Strnadových, Prague - Vysočany",Studio,New build,37 m²,"CZK 3,056",,Personal,Low-energy building,,Partially furnished,6,Yes,No,Yes,No,Yes,Yes,No,07. 01. 2022,,,,,,B,274,370,380,"1,406","1,063","1,162",472,,299,,,,,,
685902,"CZK 12,500",50.1018,14.45327,"Tusarova, Prague - Holešovice",1 bedroom with open-plan kitchen,Excellent,31 m²,"CZK 3,500","CZK 32,000",Personal,Brick building,,Furnished,,No,Yes,No,No,No,No,No,01. 01. 2022,,,,,,G,211,568,118,291,36,227,429,,392,147,307,,,,
694152,"CZK 14,000",50.06118,14.4438,"Pod Vilami, Prague - Nusle",2 bedroom,Excellent,55 m²,"CZK 1,200","CZK 14,000",Personal,Brick building,,Partially furnished,4,No,No,No,No,No,No,No,07. 01. 2022,,,,,,G,231,750,108,455,243,479,514,,824,449,411,,,,
629967,"CZK 17,000",50.092769,14.431964,"Lannova, Prague - Nové Město",2 bedroom,Excellent,63 m²,"CZK 2,000","CZK 17,000",Personal,Brick building,,Furnished,,No,No,No,No,No,No,No,12. 10. 2020,,,,,,,203,451,123,471,107,349,86,,304,665,140,,,,
531277,"CZK 14,800",50.1292744,14.4726543,"Taussigova, Prague - Kobylisy",1 bedroom with open-plan kitchen,Excellent,46 m²,"CZK 3,318","CZK 17,800",Cooperative,Prefab concrete building,,Furnished,7,No,No,No,No,No,Yes,No,01. 02. 2022,,,District heating,Middle floor,,C,320,289,243,418,312,332,205,Interior,558,"1,348",230,,,,
695104,"CZK 16,000",50.11106,14.38008,"Na Kodymce, Prague - Dejvice",2 bedroom,Excellent,54 m²,,"CZK 16,000",Personal,Brick building,,Partially furnished,1,No,No,No,No,No,No,No,05. 12. 2021,,,,,,G,134,195,260,995,650,215,789,,756,,,,,,
524714,"CZK 22,000",50.0817465,14.4271892,"Václavské náměstí, Prague - Nové Město",Studio,,80 m²,"CZK 3,000","CZK 25,000",Other,Brick building,,Furnished,2,No,No,No,No,No,Yes,No,04. 05. 2020,,,,,,,159,379,137,87,20,155,398,,847,114,372,,,,
506568,"CZK 16,900",50.0692665,14.3734225,"Pod Kavalírkou, Prague - Košíře",1 bedroom with open-plan kitchen,New build,55 m²,"CZK 4,000","CZK 50,000",Personal,Brick building,Yes,Furnished,3,Yes,Yes,Yes,No,Yes,Yes,No,19. 12. 2020,1 to 10 years years,Premium materials and solutions,Central heating,Middle floor,50 m²,B,203,249,242,217,279,325,480,,962,832,165,,,,
695013,"CZK 14,000",50.0244532,14.5164525,"Ke Škole, Prague - Chodov",2 bedroom with open-plan kitchen,Excellent,64 m²,"CZK 4,455","CZK 28,000",Personal,Prefab concrete building,,Unfurnished,3,No,No,Yes,Yes,No,Yes,No,01. 01. 2022,,,,,,C,131,"1,004",113,"1,294",342,324,288,,559,"1,390",177,,,,
301241,"CZK 15,500",50.103911,14.5090345,"Pod Harfou, Prague - Vysočany",1 bedroom with open-plan kitchen,Excellent,56 m²,"CZK 4,000","CZK 20,000",Personal,Brick building,,Partially furnished,2,Yes,No,No,No,No,Yes,No,01. 01. 1970,1 to 10 years years,Standard materials and solutions,District heating,Middle floor,,,436,110,"1,214",708,"1,038","1,351","1,074",,138,,,,,,
695778,"CZK 13,500",50.0485,14.47797,"Púchovská, Prague - Záběhlice",3 bedroom,Good,65 m²,"CZK 4,000","CZK 27,000",Personal,Brick building,,Unfurnished,1,Yes,No,No,No,No,No,No,01. 01. 2022,,,,,,G,257,866,274,320,434,"1,282",655,,737,756,259,,,,
695765,"CZK 14,000",50.07953,14.42595,"Štěpánská, Prague - Nové Město",1 bedroom with open-plan kitchen,Good,60 m²,"CZK 1,000",,Personal,Brick building,,Partially furnished,3,No,No,No,No,No,No,No,15. 12. 2021,,,,,,G,269,669,210,220,44,232,121,,544,357,476,,,,
686913,"CZK 22,000",50.0687949,14.4017066,"Ostrovského, Prague - Smíchov",3 bedroom,Excellent,115 m²,CZK 420,"CZK 44,000",Personal,Brick building,,Partially furnished,1,No,No,Yes,No,No,No,No,11. 10. 2021,,,,,,G,84,188,119,236,25,89,391,,648,897,206,,,,
658069,"CZK 5,200",50.10753,14.44881,"Ortenovo náměstí, Prague - Holešovice",Small studio,Excellent,18 m²,"CZK 1,800","CZK 5,200",Personal,Brick building,,Partially furnished,3,No,No,No,No,No,Yes,No,09. 04. 2021,,,,,,A,29,550,11,362,146,183,179,,825,333,256,,,,
33586,"CZK 13,500",50.0654473,14.4318451,"Spytihněvova, Prague - Nusle",2 bedroom,,45 m²,"CZK 2,500","CZK 16,000",Personal,Brick building,,Furnished,2,No,No,No,No,No,No,No,10. 10. 2021,,Standard materials and solutions,Electric boiler,Middle floor,,,152,614,58,697,85,204,381,Interior,435,210,306,,,,
519773,"CZK 18,900",50.0726517,14.4624685,"Ruská, Prague - Vršovice",3 bedroom,Excellent,66 m²,"CZK 1,000",,Personal,Brick building,,Partially furnished,1,No,No,No,No,No,No,No,01. 12. 2021,,,,,,G,162,811,306,687,231,685,627,,365,538,147,,,,
695750,"CZK 22,000",50.0725506,14.4303474,"Legerova, Prague - Nové Město",2 bedroom,Excellent,72 m²,"CZK 3,000","CZK 25,000",Personal,Brick building,,Unfurnished,4,Yes,No,No,No,No,No,No,13. 12. 2021,,,,,,B,204,550,113,218,140,255,300,,480,641,638,,,,
594069,"CZK 17,000",50.071416,14.457949,"Žitomírská, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,58 m²,"CZK 2,000","CZK 17,000",Personal,Brick building,,Partially furnished,2,Yes,No,Yes,No,No,No,No,01. 02. 2022,,,Electric boiler,Middle floor,,D,61,532,18,309,47,307,121,Overall,251,607,326,,,,
131392,"CZK 12,000",50.045298,14.4380967,"Stallichova, Prague - Krč",1 bedroom,,30 m²,"CZK 2,500",,Cooperative,Brick building,,Furnished,2,No,No,No,No,No,No,No,03. 01. 2022,,,District heating,Middle floor,,,196,594,187,736,449,695,231,,296,301,178,,,,
267731,"CZK 15,000",50.0804855,14.4598679,Prague - Žižkov,1 bedroom with open-plan kitchen,Excellent,40 m²,"CZK 3,500","CZK 15,000",Personal,Brick building,,Furnished,1,No,No,Yes,No,No,No,No,01. 02. 2022,,,District heating,,,,234,520,337,360,137,338,470,,347,512,149,,,,
695722,"CZK 10,600",50.0608,14.43211,"5. května, Prague - Nusle",1 bedroom,Excellent,41 m²,"CZK 4,000","CZK 20,000",Cooperative,Brick building,,Partially furnished,2,No,No,Yes,No,No,No,No,17. 12. 2021,,,,,,G,314,"1,044",204,516,79,465,381,,644,588,615,,,,
695721,"CZK 23,990",50.14053583333,14.44820861111,"K Beranovu, Prague - Dolní Chabry",2 bedroom with open-plan kitchen,New build,80 m²,,"CZK 28,082",Personal,Other,Yes,Partially furnished,4,No,No,Yes,No,Yes,Yes,No,,,,,,,B,344,987,181,716,563,995,328,,,,,,,,"CZK 28,082

                                
                                
                
i"
394230,"CZK 10,000",50.0502635,14.3436488,"Sluneční náměstí, Prague - Stodůlky",Studio,Excellent,35 m²,"CZK 4,500","CZK 20,000",Cooperative,Brick building,,Furnished,15,No,No,Yes,No,No,Yes,No,15. 12. 2021,,,District heating,,,,206,214,66,158,77,25,315,,316,"1,005",211,,,,
694320,"CZK 11,500",50.12462,14.50476,"Lovosická, Prague - Prosek",1 bedroom,Excellent,34 m²,"CZK 2,500","CZK 12,000",Personal,Prefab concrete building,,Partially furnished,7,No,No,Yes,Yes,Yes,Yes,No,01. 01. 2022,,,,,,C,248,464,131,731,112,951,216,,369,147,,,,,
673717,"CZK 13,000",50.0408926,14.3920654,Prague - Hlubočepy,1 bedroom,Excellent,34 m²,"CZK 2,000","CZK 10,000",Personal,Brick building,,Furnished,2,No,No,No,No,Yes,No,No,01. 09. 2021,1 to 10 years years,Premium materials and solutions,Electric boiler,Middle floor,,G,165,170,147,913,508,301,242,Interior,,,,,,,
695711,"CZK 16,147",50.07617,14.44679,"Slezská, Prague - Vinohrady",1 bedroom with open-plan kitchen,Good,48 m²,"CZK 5,350","CZK 20,500",Personal,Brick building,,Furnished,1,No,No,No,No,No,Yes,No,09. 12. 2021,,,,,,G,230,518,204,323,197,290,447,,78,629,147,,,,
664160,"CZK 15,900",50.12129,14.50344,"Prosecká, Prague - Prosek",3 bedroom,Good,69 m²,"CZK 4,500","CZK 20,400",Personal,Prefab concrete building,,Partially furnished,7,No,No,No,Yes,No,Yes,No,01. 06. 2021,,,District heating,,,G,122,505,390,498,401,411,90,Overall,597,"1,274",34,,,,
695010,"CZK 10,500",50.0765134,14.4927741,"Černokostelecká, Prague - Strašnice",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 2,900","CZK 13,000",Personal,Brick building,,Furnished,1,No,No,No,No,No,No,No,06. 12. 2021,,,,,,B,659,820,679,571,466,793,889,,764,109,605,,,,
623712,"CZK 11,000",49.965166,14.385028,"Ke Kamínce, Prague - Zbraslav",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 2,200","CZK 11,000",Personal,Prefab concrete building,,Partially furnished,3,No,No,No,No,No,No,No,01. 09. 2020,10 to 30 years years,Standard materials and solutions,District heating,,,C,102,"1,413",336,307,489,438,370,,166,,,,,,
695688,"CZK 12,000",50.13583,14.43442,"K Ládví, Prague - Čimice",1 bedroom,Excellent,40 m²,"CZK 2,000",CZK 1,Personal,Prefab concrete building,,Partially furnished,4,No,No,No,No,Yes,No,No,01. 01. 2022,,,,,,C,167,913,204,695,925,512,529,,812,243,,,,,
693371,"CZK 16,000",50.1012702,14.4355469,"Schnirchova, Prague - Holešovice",2 bedroom with open-plan kitchen,Excellent,67 m²,"CZK 4,000","CZK 16,000",Personal,Brick building,,Partially furnished,1,Yes,No,No,No,No,Yes,No,23. 11. 2021,,,,,,G,185,855,135,212,47,330,277,,570,883,,,,,
180353,"CZK 10,000",50.0669648,14.4568866,"Minská, Prague - Vršovice",Studio,Excellent,25 m²,"CZK 2,500","CZK 12,500",Personal,Brick building,,Partially furnished,5,No,No,No,No,No,No,No,03. 01. 2022,,,,,,G,77,213,74,284,89,368,459,,588,374,298,,,,
695670,"CZK 15,500",50.0906,14.42659,"Dlouhá, Prague - Staré Město",1 bedroom with open-plan kitchen,Excellent,49 m²,"CZK 2,900","CZK 15,000",Personal,Brick building,,Furnished,4,No,No,No,No,No,Yes,No,01. 01. 2022,,,,,,B,41,198,37,96,50,175,164,,258,181,232,,,,
693933,"CZK 11,990",50.10984638888,14.55812166666,"Lipnická, Prague - Kyje",1 bedroom with open-plan kitchen,Good,45 m²,,"CZK 14,433",Personal,Prefab concrete building,,Furnished,4,Yes,No,No,No,No,Yes,No,,,,,,,C,178,963,191,183,917,452,"1,343",,320,,,,,,"CZK 14,433

                                
                                
                
i"
695009,"CZK 14,000",50.101675711731,14.452889528221,"Tusarova, Prague - Holešovice",1 bedroom with open-plan kitchen,New build,29 m²,"CZK 2,500","CZK 21,000",Personal,Brick building,,Furnished,1,No,No,No,No,No,Yes,No,01. 01. 2022,,,,,,B,184,542,91,264,21,201,403,,365,109,250,,,,
695668,"CZK 12,000",50.07356,14.43762,"Uruguayská, Prague - Vinohrady",Studio,Excellent,30 m²,"CZK 2,000","CZK 12,000",Personal,Brick building,,Furnished,1,No,No,No,No,No,Yes,No,09. 12. 2021,,,,,,C,194,199,126,386,31,289,78,,244,853,676,,,,
519951,"CZK 13,000",50.1266793,14.4952421,Prague - Střížkov,1 bedroom,,29 m²,"CZK 1,700",,Personal,Prefab concrete building,,Furnished,6,No,Yes,No,No,No,No,No,01. 01. 2022,,,,,,C,334,593,205,492,273,250,248,,102,"1,035",105,,,,
501441,"CZK 18,000",50.0539826,14.4403239,"5. května, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,47 m²,"CZK 1,844","CZK 18,000",Personal,Brick building,,Furnished,2,No,No,No,No,No,No,No,,,,,,,,223,898,357,333,132,529,552,,296,"1,245",474,,,,
137764,"CZK 19,700",50.0808121,14.4464647,"Křížkovského, Prague - Žižkov",2 bedroom with open-plan kitchen,Excellent,84 m²,"CZK 2,000","CZK 19,700",Personal,Brick building,,Partially furnished,5,No,No,No,Yes,No,Yes,No,12. 12. 2021,,,Gas boiler,Middle floor,,,613,547,125,641,1,232,462,Interior,358,455,321,,,,
694966,"CZK 13,000",50.0123751,14.4000073,"Vrátnická, Prague - Modřany",Studio,New build,42 m²,"CZK 2,500","CZK 14,500",Personal,Brick building,Yes,Unfurnished,2,Yes,No,Yes,No,Yes,Yes,No,04. 12. 2021,,,Central heating,Middle floor,,A,197,"1,078",373,"1,322",740,"1,383","1,378",,662,,,,,,
694961,"CZK 11,000",50.1106825,14.5052999,"Špitálská, Prague - Vysočany",1 bedroom with open-plan kitchen,Excellent,53 m²,"CZK 6,300","CZK 17,300",Cooperative,Brick building,,Partially furnished,1,Yes,No,No,No,No,No,No,16. 12. 2021,,,,Middle floor,,G,45,450,62,266,43,386,166,Interior,484,342,348,,,,
