Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Design,Heating,Total number of floors,PENB,Renovation,Age,New building,Administration fee,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
709129,"CZK 32,400",50.091319,14.4234523,"U Obecního dvora, Prague - Staré Město",2 bedroom,62 m²,"CZK 10,800",Furnished,2,No,No,No,No,No,Yes,No,03. 04. 2022,116,432,102,253,102,270,297,393,201,165,,,,,,,,,,,,,,,,,
708789,"CZK 47,250",50.0894663,14.4240032,"Masná, Prague - Staré Město",Studio,43 m²,"CZK 15,750",Furnished,6,No,No,No,No,No,Yes,No,01. 04. 2022,62,263,122,95,13,113,64,46,150,138,,,,,,,,,,,,,,,,,
699667,"CZK 34,500",50.08581,14.46733,"Pitterova, Prague - Žižkov",1 bedroom with open-plan kitchen,106 m²,"CZK 7,500",Furnished,13,No,Yes,No,No,Yes,Yes,No,01. 03. 2022,414,428,459,605,193,334,656,302,197,59,New build,"CZK 35,000",Personal,Other,,,,C,,,,,,,,,
626006,"CZK 18,000",50.051678,14.346835,"Petržílkova, Prague - Stodůlky",1 bedroom with open-plan kitchen,55 m²,CZK 500,Furnished,5,No,No,No,No,No,Yes,No,01. 04. 2022,77,528,199,185,134,113,178,326,"1,199",203,Excellent,"CZK 18,000",Personal,Prefab concrete building,Standard materials and solutions,District heating,Middle floor,G,,1 to 10 years years,,,,,,,
710059,"CZK 16,471",50.0284076,14.3616407,"Ondrákové, Prague - Hlubočepy",1 bedroom with open-plan kitchen,57 m²,"CZK 3,036",,4,No,No,No,No,No,No,No,10. 03. 2022,364,"1,439",681,"1,419",392,"1,457",464,890,820,664,Good,"CZK 19,507",Personal,Other,,,,,,,,"CZK 2,471",,,,,
710058,"CZK 10,000",50.02231,14.45565,"Sládkovičova, Prague - Krč",1 bedroom,34 m²,"CZK 3,000",Furnished,4,Yes,No,Yes,Yes,No,Yes,No,11. 03. 2022,365,721,609,290,256,564,"1,162",673,735,,Good,"CZK 20,000",Personal,Prefab concrete building,,Central heating,,B,,,,,,,,,
710056,"CZK 14,118",50.1220719,14.5014851,"Ctěnická, Prague - Prosek",1 bedroom with open-plan kitchen,47 m²,"CZK 2,985",,7,No,No,No,No,No,No,No,31. 03. 2022,232,359,244,448,355,507,162,451,"1,388",162,Good,"CZK 17,103",Personal,Other,,,,,,,,"CZK 2,118",,,,,
709349,"CZK 12,500",50.0268921,14.5300135,"Jurkovičova, Prague - Háje",Studio,31 m²,"CZK 2,800",Partially furnished,2,Yes,No,No,No,No,Yes,No,07. 03. 2022,58,933,342,590,370,664,217,433,725,375,New build,"CZK 25,000",Personal,Other,,,,G,,,,,,,,,
710054,"CZK 21,000",50.09182,14.44512,"Vítkova, Prague - Karlín",1 bedroom with open-plan kitchen,66 m²,"CZK 3,000",Furnished,5,Yes,No,No,No,No,No,No,10. 03. 2022,138,339,73,438,51,413,132,"1,162",506,322,Excellent,"CZK 20,000",Personal,Brick building,,,,G,,,,,,,,,
710053,"CZK 19,000",50.0251,14.52053,"Tererova, Prague - Chodov",2 bedroom with open-plan kitchen,66 m²,"CZK 6,000",Furnished,3,No,No,No,Yes,No,Yes,No,01. 04. 2022,154,995,159,"1,013",335,366,251,598,"1,109",103,Excellent,"CZK 25,000",Personal,Prefab concrete building,,,,C,,,,,,,,,
710052,"CZK 14,000",50.00821,14.4063,"Vojtova, Prague - Modřany",1 bedroom,51 m²,"CZK 4,500",Partially furnished,1,No,No,No,No,No,No,No,10. 03. 2022,150,"1,086",483,989,492,725,257,690,"1,373",207,Excellent,"CZK 18,500",Personal,Brick building,,,,G,,,,,,,,,
578397,"CZK 15,000",50.105111,14.479021,"Na Žertvách, Prague - Libeň",1 bedroom with open-plan kitchen,68 m²,"CZK 3,000",Partially furnished,2,Yes,No,No,No,No,Yes,No,01. 04. 2022,126,407,203,424,98,360,415,338,270,338,Excellent,"CZK 15,000",Personal,Brick building,Premium materials and solutions,District heating,,B,Interior,1 to 10 years years,,,,,,,
630857,"CZK 13,000",50.156182,14.518398,"Bermanova, Prague - Čakovice",Studio,39 m²,"CZK 3,500",Partially furnished,3,Yes,No,No,No,No,Yes,No,11. 03. 2022,338,798,65,22,"1,345",769,132,154,,,New build,"CZK 20,000",Personal,Brick building,,,,G,,,,,,,,,
709595,"CZK 29,000",50.0487803,14.429177049324,"K Sídlišti, Prague - Nusle",1 bedroom with open-plan kitchen,59 m²,"CZK 7,000",Partially furnished,11,No,No,No,No,No,Yes,No,01. 04. 2022,127,"1,022",329,537,351,617,385,489,765,240,New build,"CZK 60,000",Personal,Brick building,,,,G,,,,,,,,,
444742,"CZK 14,000",50.1274124,14.5036011,"Terezínská, Prague - Letňany",1 bedroom with open-plan kitchen,45 m²,"CZK 4,000",Partially furnished,4,Yes,No,No,No,No,Yes,No,01. 04. 2022,247,911,152,941,485,"1,055",269,586,239,,New build,CZK 2,Personal,Other,Standard materials and solutions,District heating,Middle floor,C,,10 to 30 years years,Yes,,,,,,
705981,"CZK 14,500",50.08524,14.44984,"Štítného, Prague - Žižkov",1 bedroom,34 m²,CZK 870,Partially furnished,4,Yes,No,No,No,No,Yes,No,01. 04. 2022,255,222,50,211,7,189,62,278,94,553,Excellent,"CZK 25,000",Personal,Other,Standard materials and solutions,Other,Middle floor,B,Overall,1 to 10 years years,,,,,,,
682643,"CZK 13,500",50.08869,14.46837,"Jana Želivského, Prague - Žižkov",1 bedroom with open-plan kitchen,51 m²,"CZK 3,000",Furnished,4,No,No,No,No,No,Yes,No,11. 03. 2022,54,616,20,26,44,139,276,361,307,380,Excellent,"CZK 16,000",Personal,Brick building,,Gas boiler,Middle floor,C,,,,,,,,,
326698,"CZK 10,000",50.0631392,14.4399715,"Sezimova, Prague - Nusle",Small studio,25 m²,CZK 560,Unfurnished,2,No,No,No,No,No,No,No,01. 04. 2022,104,302,83,140,42,129,99,448,334,273,,"CZK 10,560",Personal,Brick building,,,,,,,,,,,,,
710041,"CZK 18,000",50.0891374,14.357751,"Rejchova, Prague - Břevnov",1 bedroom with open-plan kitchen,66 m²,"CZK 4,000",Unfurnished,1,No,No,Yes,No,No,Yes,Yes,01. 04. 2022,176,779,557,"1,101",592,180,147,309,496,334,New build,"CZK 18,000",Personal,Brick building,,,,G,,,,,,,,,
696280,"CZK 9,000",50.017139,14.4360053,"U Kamýku, Prague - Kamýk",Small studio,34 m²,"CZK 3,500",Furnished,9,No,No,Yes,No,No,Yes,No,01. 01. 1970,125,"1,044",171,"1,037",527,280,489,678,542,422,Excellent,"CZK 15,000",Personal,Prefab concrete building,,,,C,,,,,,,,,
332328,"CZK 15,000",50.0567568,14.422654,Prague - Podolí,1 bedroom with open-plan kitchen,50 m²,"CZK 1,500",Partially furnished,3,No,No,No,No,No,No,No,16. 03. 2022,121,425,309,285,171,422,264,648,327,227,,"CZK 30,000",Personal,Brick building,Standard materials and solutions,Gas boiler,Middle floor,,Interior,,,,,,,,
575002,"CZK 12,000",50.0570457,14.4400154,"Soudní, Prague - Nusle",Small studio,35 m²,CZK 500,Partially furnished,3,No,No,Yes,No,No,No,No,10. 03. 2022,133,"1,323",350,629,244,656,543,480,530,262,Excellent,"CZK 24,000",Personal,Brick building,Standard materials and solutions,Gas boiler,,D,Interior,,,,,,,,
649910,"CZK 9,000",50.078325,14.503613,"Kounická, Prague - Strašnice",Studio,25 m²,"CZK 1,140",Partially furnished,1,No,No,Yes,No,No,No,No,14. 03. 2022,206,661,420,569,76,450,640,588,"1,378",479,Excellent,"CZK 9,000",Personal,Brick building,Standard materials and solutions,,Raised ground floor,G,,,,,,,,,
641514,"CZK 8,300",50.041963,14.328425,"Amforová, Prague - Stodůlky",1 bedroom,52 m²,"CZK 4,700",Unfurnished,7,Yes,No,Yes,Yes,No,Yes,No,07. 12. 2020,97,498,496,468,415,476,488,603,224,167,Good,"CZK 13,000",Personal,Prefab concrete building,,District heating,,G,,,,,,,,,
602655,"CZK 20,900",50.089699,14.341763,Prague - Veleslavín,3 bedroom,80 m²,"CZK 4,900",Partially furnished,1,Yes,No,No,No,No,Yes,No,01. 04. 2022,215,609,145,234,199,274,281,145,937,263,Excellent,"CZK 35,000",Cooperative,Brick building,,District heating,,B,Exterior,,,,,,,,
709329,"CZK 17,500",50.02536,14.43833,"Nad Lesním divadlem, Prague - Braník",3 bedroom,74 m²,"CZK 5,500",Partially furnished,9,Yes,No,No,No,Yes,Yes,No,15. 04. 2022,346,387,347,359,434,413,766,190,"1,016",195,Good,"CZK 17,500",Personal,Prefab concrete building,,,,G,,,,,,,,,
562457,"CZK 18,500",50.06721,14.44996,"Sámova, Prague - Vršovice",1 bedroom with open-plan kitchen,50 m²,"CZK 3,500",Furnished,2,No,No,No,No,No,No,No,01. 06. 2022,238,556,185,374,136,83,194,243,327,288,,"CZK 22,000",Personal,Brick building,,Central heating,,,,,,,,,,,
