Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Heating,Total number of floors,Renovation,PENB,New building,Age,Design,Front garden,Administration fee,Developer name,Project name,Kód jednotky
712039,"CZK 16,000",50.10579,14.37746,"Fetrovská, Prague - Dejvice",1 bedroom with open-plan kitchen,55 m²,"CZK 4,000",Partially furnished,1,No,Yes,No,No,No,No,No,01. 05. 2022,433,504,"1,328",544,520,152,29,239,92,,Excellent,"CZK 16,000",Personal,Brick building,Central heating,Ground floor,Overall,G,,1 to 10 years years,Standard materials and solutions,16 m²,,,,
552412,"CZK 32,000",50.10777,14.52681,"Saarinenova, Prague - Hloubětín",2 bedroom with open-plan kitchen,80 m²,"CZK 4,000",Unfurnished,1,No,Yes,Yes,No,Yes,Yes,Yes,01. 06. 2022,117,"1,157",556,"1,138",820,954,"1,104",903,"1,030",363,New build,"CZK 32,000",Personal,Brick building,District heating,Ground floor,,A,Yes,1 to 10 years years,Premium materials and solutions,70 m²,,,,
713346,"CZK 14,990",50.01205444444,14.39988166666,"Vrátnická, Prague - Modřany",Studio,40 m²,"CZK 2,047",Unfurnished,3,Yes,No,Yes,No,No,Yes,No,,198,"1,078",373,"1,322",740,"1,383","1,378",662,,,New build,"CZK 17,037",Personal,Other,,,,A,Yes,,,,"CZK 17,037

                                
                                
                
i",,,
713340,"CZK 14,500",50.10526,14.51782,"Sousedíkova, Prague - Vysočany",Studio,31 m²,"CZK 2,900",Partially furnished,5,Yes,No,Yes,No,Yes,Yes,No,01. 05. 2022,367,619,"1,082",628,"1,294","1,097",890,112,,,New build,"CZK 15,000",Personal,Brick building,,,,C,,,,,,,,
713338,"CZK 19,900",50.05831,14.37501,"Nyklíčkova, Prague - Jinonice",1 bedroom with open-plan kitchen,42 m²,"CZK 4,000",Furnished,2,Yes,No,No,No,No,Yes,Yes,25. 04. 2022,141,358,416,"1,145",318,444,949,267,"1,321",184,New build,CZK 2,Personal,Other,,,,C,,,,,,,,
621379,"CZK 9,800",50.056553,14.495605,"Jabloňová, Prague - Záběhlice",Small studio,25 m²,"CZK 3,200",Furnished,8,No,No,No,No,No,Yes,No,11. 04. 2022,59,616,149,989,200,50,166,658,166,283,Excellent,"CZK 18,000",Personal,Prefab concrete building,,,,,,,,,,,,
713335,"CZK 18,950",50.10608,14.4905,"Drahobejlova, Prague - Libeň",2 bedroom,50 m²,CZK 950,Furnished,1,No,No,No,No,No,No,No,11. 04. 2022,184,143,6,326,135,425,130,356,84,98,Good,"CZK 30,000",Personal,Brick building,,,,C,,,,,,,,
713115,"CZK 19,294",50.0804954,14.4261817,"Štepánská, Prague - Nové Město",2 bedroom,60 m²,"CZK 2,141",,1,No,Yes,No,No,No,No,No,31. 03. 2022,266,558,224,105,0,261,240,664,247,505,Good,"CZK 21,435",Personal,Other,,,,,,,,,"CZK 2,894",,,
713140,"CZK 15,000",50.0933254,14.5130686,"U Smetánky, Prague - Hrdlořezy",1 bedroom with open-plan kitchen,56 m²,"CZK 2,016",,1,No,No,No,No,No,No,No,04. 04. 2022,181,397,174,187,"1,492",322,"1,461",637,394,,Good,"CZK 17,000",Personal,Other,,,,,,,,,"CZK 2,206",,,
713328,"CZK 19,000",50.0997147,14.4323015,"Podplukovníka Sochora, Prague - Holešovice",1 bedroom with open-plan kitchen,42 m²,"CZK 4,000",Partially furnished,2,No,No,No,No,No,No,No,01. 05. 2022,121,765,108,49,106,138,306,220,515,,Excellent,"CZK 19,000",Personal,Brick building,,,,G,,,,,,,,
