Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Heating,Total number of floors,Renovation,PENB,Design,Front garden,New building,Administration fee,Developer name,Project name,Kód jednotky
324795,"CZK 20,000",50.0410429,14.3224894,"Bellušova, Prague - Stodůlky",2 bedroom with open-plan kitchen,73 m²,"CZK 3,500",Furnished,4,Yes,No,Yes,Yes,Yes,Yes,Yes,01. 07. 2022,384,920,595,566,716,630,330,689,483,215,Excellent,"CZK 10,000",Personal,Prefab concrete building,10 to 30 years years,District heating,Middle floor,Overall,,Premium materials and solutions,,,,,,
700087,"CZK 19,500",50.07173,14.41968,"Na Hrádku, Prague - Nové Město",2 bedroom,50 m²,"CZK 4,000",Furnished,,No,No,Yes,No,No,No,No,19. 01. 2022,138,519,100,168,160,80,339,287,459,360,Excellent,"CZK 19,500",Personal,Brick building,,,,,G,,,,,,,
716194,"CZK 18,000",50.07532,14.35971,"Jeřabinová, Prague - Smíchov",1 bedroom with open-plan kitchen,65 m²,"CZK 5,400",Partially furnished,,No,Yes,No,No,No,Yes,No,01. 05. 2022,429,"1,202",675,920,548,519,467,,,,New build,"CZK 25,000",Personal,Brick building,,,,,A,,,,,,,
457935,"CZK 10,500",50.086802,14.3838861,"Za Pohořelcem, Prague - Střešovice",Studio,15 m²,"CZK 2,900",Furnished,,No,No,No,No,No,No,No,,230,440,98,"1,076",198,840,347,337,259,80,,,Personal,Brick building,,,,,,,,,,,,
705384,"CZK 19,500",50.0861644,14.3218614,"Rakovnická, Prague - Ruzyně",2 bedroom with open-plan kitchen,75 m²,"CZK 3,500",Furnished,2,No,No,No,Yes,Yes,No,No,15. 02. 2022,350,"1,494",393,284,"1,025",581,273,273,,,Excellent,"CZK 23,000",Personal,Brick building,,,,,G,,,,,,,
512502,"CZK 20,000",50.0683646,14.4638444,"Altajská, Prague - Vršovice",1 bedroom with open-plan kitchen,50 m²,"CZK 4,500",Furnished,5,Yes,No,No,No,No,No,No,,179,538,265,233,242,581,271,355,652,413,,"CZK 23,000",Personal,Low-energy building,1 to 10 years years,,Middle floor,,,,,,,,,
716190,"CZK 11,400",50.09068,14.45339,"Thámova, Prague - Karlín",Small studio,28 m²,CZK 960,Partially furnished,3,No,No,No,No,No,No,No,28. 04. 2022,275,621,289,249,52,323,279,834,310,243,Excellent,"CZK 11,400",Personal,Brick building,,,,,G,,,,,,,
716174,"CZK 25,000",50.10822,14.55535,"Za černým mostem, Prague - Hloubětín",1 bedroom with open-plan kitchen,58 m²,"CZK 4,000",Furnished,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,01. 05. 2022,141,637,237,149,591,383,"1,160","1,274",640,,New build,"CZK 25,000",Personal,Brick building,,District heating,,,A,,,Yes,,,,
290365,"CZK 9,000",50.0248707,14.4253578,"Údolní, Prague - Braník",Small studio,29 m²,"CZK 4,000",Furnished,1,No,No,No,No,No,No,No,01. 06. 2022,136,725,218,718,65,178,358,369,"1,176",252,Excellent,"CZK 13,000",Personal,Prefab concrete building,1 to 10 years years,District heating,Raised ground floor,,,Standard materials and solutions,,,,,,
715709,"CZK 8,000",50.0570976,14.5007991,"Chrpová, Prague - Záběhlice",Small studio,17 m²,"CZK 2,500",Furnished,,No,No,No,No,No,No,No,25. 04. 2022,158,177,291,652,459,359,439,578,588,45,Excellent,"CZK 13,000",Personal,Brick building,,,,,G,,,,,,,
716180,"CZK 12,000",50.03846,14.50836,"Majerského, Prague - Chodov",Small studio,30 m²,"CZK 2,500",Partially furnished,2,No,No,No,No,No,No,No,01. 05. 2022,202,879,72,364,186,566,326,370,165,,Good,"CZK 14,500",Cooperative,Prefab concrete building,,,,,G,,,,,,,
716178,"CZK 12,000",50.0334774,14.5321147,"Mendelova, Prague - Háje",1 bedroom with open-plan kitchen,43 m²,"CZK 3,350",Partially furnished,2,No,No,Yes,No,No,Yes,No,01. 05. 2022,267,280,49,367,82,348,253,190,396,50,Excellent,"CZK 15,000",Personal,Prefab concrete building,,,,,G,,,,,,,
713206,"CZK 19,000",50.07059,14.30566,"Španielova, Prague - Řepy",3 bedroom,74 m²,"CZK 6,500",Furnished,7,Yes,No,No,No,No,Yes,No,01. 05. 2022,234,969,215,931,184,497,172,364,"1,327",453,Good,"CZK 30,000",Personal,Prefab concrete building,30 to 50 years years,,Middle floor,Exterior,G,Standard materials and solutions,,,,,,
