Listing ID,Price,Latitude,Longitude,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,New building,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Design,Heating,Total number of floors,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Renovation,Age,Front garden,Developer name,Project name,Kód jednotky,Administration fee
552322,"CZK 15,000",50.1106949,14.505841,2 bedroom,,65 m²,"CZK 4,750","CZK 25,000",Cooperative,Brick building,,Partially furnished,3,Yes,No,Yes,No,No,No,No,01. 01. 2022,,,,,52,457,24,273,48,393,204,446,349,355,,,,,,,
680018,"CZK 38,250",50.0710929,14.4032595,3 bedroom with open-plan kitchen,,90 m²,"CZK 12,750",,,,,Furnished,2,No,No,No,No,No,Yes,No,31. 12. 2021,,,,,140,528,224,126,38,67,511,"1,001","1,181",559,,,,,,,
587813,"CZK 13,000",50.036257,14.411461,1 bedroom with open-plan kitchen,Excellent,54 m²,"CZK 4,000","CZK 20,000",Personal,Brick building,,Furnished,2,No,No,No,No,No,No,No,01. 02. 2022,Standard materials and solutions,Gas boiler,Middle floor,D,53,263,88,152,340,293,292,"1,239",253,,Overall,over 50 years years,400 m²,,,,
697425,"CZK 8,200",50.10237,14.47751,Studio,Excellent,28 m²,CZK 800,"CZK 9,000",Personal,Brick building,,Unfurnished,4,No,No,Yes,No,No,Yes,No,01. 01. 2022,,,,E,221,214,54,362,278,397,276,138,200,524,,,,,,,
602386,"CZK 12,500",50.064198,14.381721,Studio,Excellent,33 m²,"CZK 2,500","CZK 15,000",Personal,Prefab concrete building,,Furnished,2,No,No,No,No,No,No,No,01. 12. 2021,Standard materials and solutions,Central heating,Middle floor,F,457,"1,138",556,"1,386",513,"1,493","1,264",692,"1,166",601,Interior,10 to 30 years years,,,,,
690538,"CZK 13,500",50.04595,14.32223,Studio,New build,27 m²,CZK 133,"CZK 27,000",Personal,Other,Yes,Partially furnished,7,No,No,Yes,No,Yes,Yes,No,26. 11. 2021,,,,A,,,,,,,,,,,,,,Luka Residential s.r.o.,Luka Living Rental apartments,708,
693967,"CZK 26,900",50.04595,14.32223,3 bedroom,New build,79 m²,CZK 133,"CZK 53,800",Personal,Other,Yes,Furnished,4,No,Yes,Yes,No,Yes,Yes,No,20. 01. 2022,Premium materials and solutions,,Middle floor,A,,,,,,,,,,,,1 to 10 years years,,Luka Residential s.r.o.,Luka Living Rental apartments,418,
693971,"CZK 18,600",50.04595,14.32223,2 bedroom,New build,40 m²,CZK 133,"CZK 37,200",Personal,Other,Yes,Furnished,4,No,No,Yes,No,Yes,Yes,No,14. 01. 2022,,,,A,,,,,,,,,,,,,,Luka Residential s.r.o.,Luka Living Rental apartments,401,
673330,"CZK 24,300",50.04595,14.32223,1 bedroom with open-plan kitchen,New build,70 m²,CZK 133,"CZK 48,600",Personal,Other,Yes,Furnished,14,No,Yes,Yes,No,Yes,Yes,No,07. 01. 2022,Premium materials and solutions,,Middle floor,A,,,,,,,,,,,,1 to 10 years years,,Luka Residential s.r.o.,Luka Living Rental apartments,1408,
371759,"CZK 11,500",50.0404002,14.3360865,Studio,New build,37 m²,"CZK 2,300","CZK 23,000",Personal,Brick building,,Furnished,4,Yes,No,Yes,No,No,Yes,No,01. 01. 1970,,District heating,,,86,612,7,582,361,12,328,593,352,335,,1 to 10 years years,,,,,
630760,"CZK 12,900",50.052905,14.503896,1 bedroom,New build,50 m²,"CZK 3,000","CZK 25,000",Personal,Brick building,Yes,Partially furnished,2,No,Yes,No,No,Yes,Yes,No,01. 03. 2022,,District heating,Middle floor,B,22,713,905,"1,152",111,917,855,335,"1,166",608,,1 to 10 years years,,,,,
680008,"CZK 35,100",50.0882058,14.4262315,1 bedroom with open-plan kitchen,,44 m²,"CZK 11,700",,,,,Furnished,3,No,No,No,No,No,No,No,31. 12. 2021,,,,,281,192,58,183,11,368,315,297,289,305,,,,,,,
695370,"CZK 29,700",50.0739894,14.440101,2 bedroom,,92 m²,"CZK 9,900",,,,,Furnished,7,No,Yes,No,No,No,Yes,No,08. 01. 2022,,,,,149,274,60,441,20,421,59,552,690,457,,,,,,,
449840,"CZK 12,500",50.1053611,14.4883085,2 bedroom,Good,47 m²,"CZK 4,100","CZK 14,500",Personal,Brick building,,Unfurnished,,No,No,Yes,No,No,No,No,17. 12. 2021,Standard materials and solutions,Gas boiler,Ground floor,,205,32,89,151,117,325,306,502,150,75,,10 to 30 years years,,,,,
563249,"CZK 19,000",50.0623095,14.3256648,1 bedroom with open-plan kitchen,Excellent,60 m²,"CZK 4,000","CZK 24,000",Personal,Brick building,,Partially furnished,1,Yes,No,No,No,Yes,No,No,11. 11. 2019,Standard materials and solutions,Gas boiler,Ground floor,,485,"1,479","1,251",799,"1,296","1,308","1,488",572,,,Overall,,,,,,
506149,"CZK 12,500",50.0793541,14.4586451,1 bedroom,,32 m²,"CZK 2,500","CZK 15,000",Personal,Brick building,,Furnished,4,No,No,No,No,No,No,No,01. 01. 1970,Standard materials and solutions,,Middle floor,G,246,516,175,372,67,433,498,361,690,167,Overall,,-1 m²,,,,
291342,"CZK 10,000",50.1155914,14.4718609,1 bedroom,Excellent,37 m²,"CZK 3,000","CZK 10,000",Personal,Brick building,,Furnished,,No,No,Yes,No,No,No,No,01. 02. 2022,Standard materials and solutions,District heating,Raised ground floor,,337,"1,208",16,"1,493",75,501,485,"1,331","1,139",530,Interior,,,,,,
229610,"CZK 19,500",50.1067324,14.4393933,1 bedroom with open-plan kitchen,,60 m²,"CZK 1,500","CZK 42,000",Cooperative,Brick building,,Furnished,5,Yes,No,No,No,No,No,No,,Standard materials and solutions,Other,Middle floor,,196,973,457,"1,045",145,365,114,"1,181",441,275,Interior,1 to 10 years years,,,,,
630457,"CZK 9,000",50.071753,14.431997,Small studio,Good,25 m²,"CZK 3,000",,Other,Brick building,,Furnished,2,No,No,No,No,No,No,No,12. 10. 2020,,,,E,216,344,70,346,22,280,306,274,647,724,,,,,,,
605872,"CZK 14,900",50.040404,14.498412,1 bedroom with open-plan kitchen,New build,42 m²,"CZK 3,600","CZK 28,000",Personal,Brick building,,Partially furnished,1,No,Yes,No,No,No,Yes,No,01. 03. 2022,,,,C,231,"1,064",631,"1,425",185,877,649,832,499,245,,1 to 10 years years,,,,,
697390,"CZK 15,000",50.10481,14.45562,1 bedroom with open-plan kitchen,Excellent,52 m²,"CZK 2,600","CZK 15,000",Personal,Brick building,,Partially furnished,4,Yes,No,No,No,No,Yes,No,01. 03. 2022,,,,G,8,759,166,454,26,365,692,862,242,326,,,,,,,
685308,"CZK 16,000",50.12184,14.47035,1 bedroom with open-plan kitchen,Excellent,80 m²,"CZK 4,200","CZK 20,000",Personal,Brick building,,Partially furnished,1,No,Yes,Yes,No,Yes,Yes,No,06. 12. 2021,,District heating,Middle floor,B,573,902,578,995,759,"1,033","1,095",935,"1,086",502,,,,,,,
680012,"CZK 45,000",50.0822886,14.4155231,2 bedroom,,80 m²,"CZK 15,000",,,,,Furnished,3,No,No,No,No,No,Yes,No,01. 02. 2022,,,,,462,817,70,468,89,510,489,683,411,400,,,,,,,
697383,"CZK 18,000",50.03364,14.50273,1 bedroom with open-plan kitchen,New build,60 m²,"CZK 2,700","CZK 36,000",Personal,Brick building,,Furnished,2,No,No,Yes,No,Yes,Yes,No,01. 03. 2022,,,,A,156,59,248,918,162,357,273,289,641,211,,,,,,,
623917,"CZK 9,950",50.071962,14.432714,Small studio,New build,20 m²,"CZK 2,950","CZK 12,900",Personal,Brick building,,Furnished,3,Yes,No,No,No,No,Yes,Yes,05. 07. 2021,Premium materials and solutions,Central heating,Middle floor,G,155,283,79,285,75,329,300,213,645,732,Overall,1 to 10 years years,,,,,
690507,"CZK 101,363",50.0915501,14.4268683,5 bedroom,,160 m²,"CZK 33,787",,,,,Furnished,6,No,Yes,No,No,No,Yes,No,01. 01. 2022,,,,,102,183,98,123,98,108,208,406,183,306,,,,,,,
688191,"CZK 22,500",50.0291416,14.531568,3 bedroom,,78 m²,"CZK 7,500",,,,,Furnished,11,No,No,No,No,No,Yes,No,03. 01. 2022,,,,,298,519,190,207,386,448,309,344,508,132,,,,,,,
684396,"CZK 13,900",50.11091,14.49956,1 bedroom with open-plan kitchen,Excellent,60 m²,"CZK 4,500","CZK 27,000",Personal,Brick building,,Furnished,3,No,No,No,No,No,Yes,No,15. 01. 2022,Standard materials and solutions,District heating,Middle floor,C,87,250,116,92,150,145,452,716,360,250,,,,,,,
645001,"CZK 17,558",50.067944,14.458641,2 bedroom,Excellent,47 m²,CZK 442,"CZK 32,000",Personal,Brick building,,Unfurnished,2,Yes,No,Yes,No,No,No,No,17. 01. 2022,,,,D,44,431,120,150,49,258,349,395,441,230,,,,,,,
697045,"CZK 15,900",50.110554718177,14.447120816846,1 bedroom with open-plan kitchen,New build,43 m²,"CZK 2,300","CZK 30,000",Personal,Brick building,,Partially furnished,2,No,No,No,No,No,No,No,27. 12. 2021,Premium materials and solutions,,,B,85,859,248,792,423,507,232,"1,219",734,227,,,,,,,
697314,"CZK 13,500",50.07408,14.4918,2 bedroom,Good,58 m²,"CZK 4,000","CZK 13,500",Personal,Brick building,,Partially furnished,2,No,No,Yes,No,No,No,No,29. 12. 2021,,,,G,189,310,136,76,210,90,198,520,530,247,,,,,,,
697379,"CZK 12,800",50.08324,14.3746,1 bedroom,Excellent,40 m²,"CZK 3,000","CZK 25,600",Personal,Brick building,,Partially furnished,1,No,No,No,No,No,No,No,30. 12. 2021,,,,G,362,876,244,376,146,394,342,677,404,536,,,,,,,
689553,"CZK 16,000",50.08678,14.45409,2 bedroom,Excellent,57 m²,"CZK 5,000","CZK 16,000",Personal,Brick building,,Furnished,3,No,No,No,No,No,Yes,No,15. 01. 2022,,,,G,128,178,94,507,109,243,351,293,351,434,,,,,,,
403607,"CZK 12,500",50.102335,14.445112,Studio,,32 m²,"CZK 2,000","CZK 13,000",Personal,Brick building,,Furnished,2,No,No,Yes,No,No,Yes,No,01. 01. 2022,,Other,Middle floor,,163,205,202,443,174,110,138,290,568,91,Interior,,,,,,
556611,"CZK 16,900",50.0899503,14.3420175,1 bedroom with open-plan kitchen,New build,56 m²,"CZK 4,900","CZK 35,000",Personal,Brick building,,Partially furnished,1,Yes,No,Yes,No,No,No,No,01. 12. 2021,Premium materials and solutions,District heating,Middle floor,B,188,582,118,232,196,272,254,118,913,245,Overall,1 to 10 years years,,,,,
695220,"CZK 14,000",50.07711,14.44353,1 bedroom with open-plan kitchen,Good,49 m²,CZK 700,"CZK 14,700",Personal,Brick building,,Partially furnished,1,No,No,No,No,No,No,No,06. 12. 2021,,,,G,135,401,121,310,11,31,410,91,283,390,,,,,,,
618545,"CZK 6,450",49.984797,14.364209,Studio,Excellent,25 m²,"CZK 2,450","CZK 8,900",Personal,Other,,Furnished,,No,No,No,No,Yes,Yes,No,24. 07. 2020,Standard materials and solutions,Central heating,Ground floor,G,55,616,36,12,175,50,572,621,438,339,Interior,1 to 10 years years,,,,,
694876,"CZK 16,000",50.10199,14.42769,1 bedroom with open-plan kitchen,New build,56 m²,"CZK 2,141","CZK 16,000",Personal,Brick building,,Partially furnished,1,No,No,No,No,No,Yes,No,06. 12. 2021,Premium materials and solutions,Electric boiler,Ground floor,G,167,333,117,287,185,262,94,125,520,,Interior,over 50 years years,,,,,
691087,"CZK 15,990",50.0851483,14.4512417,1 bedroom with open-plan kitchen,Excellent,49 m²,CZK 900,"CZK 30,000",Personal,Other,,Partially furnished,2,No,No,No,No,No,Yes,No,31. 12. 2021,Premium materials and solutions,Central heating,Middle floor,B,173,144,56,115,75,165,167,383,199,457,Overall,1 to 10 years years,,,,,
690567,"CZK 16,500",50.07767,14.47706,1 bedroom with open-plan kitchen,Excellent,46 m²,CZK 600,"CZK 17,100",Personal,Brick building,,Unfurnished,4,No,No,No,No,No,Yes,No,02. 11. 2021,,,,G,93,906,51,548,115,81,810,821,237,134,,,,,,,
691034,"CZK 19,298",50.0583559,14.421281,2 bedroom,,54 m²,"CZK 6,432",,,,,Furnished,4,No,No,No,No,No,Yes,No,04. 01. 2022,,,,,147,167,51,1,38,164,120,602,545,210,,,,,,,
601635,"CZK 22,000",50.074884,14.390641,2 bedroom,Excellent,94 m²,"CZK 3,000","CZK 22,000",Personal,Brick building,,Partially furnished,1,No,Yes,No,No,No,No,No,10. 01. 2022,Premium materials and solutions,Central heating,Raised ground floor,C,55,"1,308",262,"1,216",509,"1,167",801,529,"1,238",581,Overall,over 50 years years,450 m²,,,,
697357,"CZK 20,000",50.0863,14.46149,2 bedroom,Excellent,45 m²,"CZK 5,000","CZK 20,000",Personal,Brick building,,Partially furnished,2,Yes,No,Yes,No,Yes,Yes,Yes,03. 01. 2022,,,,D,50,552,65,573,265,525,458,494,374,267,,,,,,,
690636,"CZK 14,500",50.10756,14.39299,1 bedroom,Excellent,56 m²,"CZK 3,500","CZK 14,500",Personal,Brick building,,Partially furnished,1,Yes,No,Yes,No,No,Yes,No,01. 01. 2022,Standard materials and solutions,Central heating,Raised ground floor,G,199,"1,255",183,650,231,98,489,372,570,405,Interior,,,,,,
694859,"CZK 10,500",50.07186,14.46305,Studio,Excellent,25 m²,"CZK 1,500","CZK 24,000",Personal,Brick building,,Partially furnished,4,No,No,No,No,No,No,No,01. 02. 2022,,,,G,201,860,203,689,182,687,525,419,641,161,,,,,,,
694834,"CZK 19,260",50.1013638,14.4546402,Studio,,30 m²,"CZK 6,420",,,,,Furnished,3,No,No,No,No,No,Yes,Yes,01. 02. 2022,,,,,236,686,234,408,154,248,547,510,133,319,,,,,,,
695336,"CZK 18,926",50.0668274,14.3966153,Studio,,35 m²,"CZK 6,309",,,,,Furnished,1,Yes,Yes,No,No,No,Yes,Yes,05. 02. 2022,,,,,234,341,228,706,128,428,324,536,546,328,,,,,,,
696224,"CZK 20,925",50.0864964,14.4433401,2 bedroom,,80 m²,"CZK 6,975",,,,,Furnished,-1,No,No,No,No,No,No,No,13. 02. 2022,,,,,292,720,399,510,347,706,541,581,622,775,,,,,,,
697360,"CZK 48,750",50.0844534,14.4142848,1 bedroom with open-plan kitchen,,72 m²,"CZK 16,250",,,,,Furnished,2,No,No,No,No,No,No,No,28. 02. 2022,,,,,81,691,54,466,24,287,520,610,545,144,,,,,,,
697358,"CZK 12,750",50.0624402,14.4490808,Studio,,26 m²,"CZK 4,250",,,,,Furnished,7,Yes,No,No,No,No,Yes,No,07. 02. 2022,,,,,250,901,344,544,248,651,572,405,884,462,,,,,,,
680251,"CZK 14,400",50.0851483,14.4512417,1 bedroom,Excellent,40 m²,CZK 760,"CZK 20,000",Personal,Other,,Partially furnished,3,Yes,No,No,No,No,No,No,31. 12. 2021,Standard materials and solutions,Central heating,Middle floor,C,173,144,56,115,75,165,167,383,199,457,Overall,1 to 10 years years,,,,,
697352,"CZK 15,000",50.055335,14.4471191,1 bedroom with open-plan kitchen,Excellent,46 m²,"CZK 2,465","CZK 30,000",Personal,Brick building,,Partially furnished,2,No,No,Yes,No,No,No,No,15. 01. 2022,,,,D,449,813,267,566,502,"1,049",351,182,860,405,,,,,,,
697351,"CZK 10,500",50.10999,14.5568,Studio,New build,33 m²,"CZK 2,500","CZK 13,000",Personal,Brick building,,Partially furnished,3,No,No,Yes,No,No,No,No,30. 12. 2021,,District heating,,G,161,979,320,3,933,435,"1,197",415,,,,,,,,,
697349,"CZK 12,500",50.04785,14.44282,2 bedroom,Excellent,42 m²,"CZK 1,900","CZK 12,500",Cooperative,Brick building,,Unfurnished,2,No,No,Yes,No,No,No,No,01. 01. 2022,,,,G,202,216,141,326,208,284,399,799,557,307,,,,,,,
689604,"CZK 37,000",50.078855,14.4503271,4 bedroom,Excellent,145 m²,"CZK 2,400","CZK 74,000",Personal,Brick building,,Partially furnished,2,Yes,No,No,No,No,No,No,01. 01. 2022,,,,G,170,234,0,233,74,262,103,243,592,130,,,,,,,
697346,"CZK 18,000",50.09998,14.40253,3 bedroom,Good,100 m²,,"CZK 18,000",Personal,Brick building,,Partially furnished,3,No,No,No,No,No,No,No,01. 01. 2022,,,,G,92,657,39,382,79,414,266,646,334,271,,,,,,,
693968,"CZK 16,000",50.03234,14.53293,2 bedroom with open-plan kitchen,Excellent,62 m²,"CZK 1,620","CZK 32,000",Cooperative,Prefab concrete building,,Partially furnished,2,No,No,No,Yes,No,Yes,No,26. 11. 2021,Standard materials and solutions,District heating,Middle floor,G,131,184,135,243,102,472,430,273,464,209,Overall,,,,,,
697344,"CZK 13,000",50.0575323,14.29175961696,Studio,New build,28 m²,"CZK 2,000","CZK 13,000",Personal,Other,,Partially furnished,1,Yes,No,Yes,No,No,Yes,No,01. 02. 2022,,Central heating,,G,653,"1,213",459,981,396,782,978,"1,483",247,819,,1 to 10 years years,,,,,
689872,"CZK 12,500",50.07186,14.46305,1 bedroom with open-plan kitchen,Excellent,41 m²,"CZK 1,700","CZK 28,400",Personal,Brick building,,Partially furnished,2,No,No,No,No,No,No,No,01. 02. 2022,,,,G,201,860,203,689,182,687,525,419,641,161,,,,,,,
697343,"CZK 19,500",50.04547,14.51705,2 bedroom with open-plan kitchen,Excellent,74 m²,"CZK 5,000","CZK 50,000",Personal,Prefab concrete building,,Furnished,4,Yes,No,No,No,Yes,Yes,No,01. 01. 2022,,,,C,180,225,"1,471",157,146,852,212,"1,226",24,,,,,,,,
693746,"CZK 33,750",50.0712441,14.3959213,1 bedroom with open-plan kitchen,,50 m²,"CZK 11,250",,,,,Furnished,3,No,No,No,No,No,Yes,Yes,31. 12. 2021,,,,,349,602,192,405,216,577,318,"1,072",539,303,,,,,,,
682344,"CZK 13,823",50.1044601,14.5518792,1 bedroom,,54 m²,"CZK 4,607",,,,,Furnished,2,No,No,No,No,No,Yes,No,31. 12. 2021,,,,,256,674,499,"1,325",205,584,277,"1,192",804,230,,,,,,,
693515,"CZK 14,219",50.046684,14.4391279,1 bedroom with open-plan kitchen,Good,43 m²,"CZK 2,935","CZK 17,000",Personal,Other,,,1,No,No,No,No,No,No,No,16. 11. 2021,,,,,65,417,271,541,289,567,274,397,344,83,,,,,,,
691990,"CZK 17,650",50.05393,14.44023,1 bedroom with open-plan kitchen,Good,47 m²,"CZK 3,823","CZK 21,000",,Other,,,1,No,No,No,No,Yes,No,No,01. 12. 2021,,,,,40,177,122,399,130,154,109,657,647,271,,,,,,,
694790,"CZK 24,000",50.0529129,14.3417717,4 bedroom with open-plan kitchen,Good,119 m²,"CZK 5,000","CZK 30,605",Personal,Other,,,1,No,No,No,No,No,No,No,01. 11. 2021,,,,,298,375,408,381,384,372,264,129,"1,127",15,,,,,,,
695587,"CZK 11,100",50.0671206,14.4573236,Studio,Good,37 m²,"CZK 2,516","CZK 13,600",Personal,Other,,,1,No,No,No,No,No,No,No,07. 12. 2021,,,,,96,251,112,246,127,336,427,550,412,336,,,,,,,
695677,"CZK 25,882",50.1017178,14.419654,3 bedroom,Good,99 m²,"CZK 2,950","CZK 28,832",Personal,Other,,,1,No,No,No,No,No,No,No,23. 11. 2021,,,,,217,399,16,267,151,484,94,280,290,,,,,,,,
693750,"CZK 8,924",50.0596988,14.4971062,Small studio,Good,18 m²,"CZK 2,146","CZK 11,200",Personal,Other,,,1,No,No,No,No,No,No,No,18. 11. 2021,,,,,367,700,403,739,645,431,561,761,501,235,,,,,,,
691992,"CZK 18,430",50.05393,14.44023,1 bedroom with open-plan kitchen,Good,56 m²,"CZK 4,129","CZK 23,000",,Other,,,1,No,No,No,No,Yes,No,No,01. 12. 2021,,,,,40,177,122,399,130,154,109,657,647,271,,,,,,,
693377,"CZK 19,000",50.0435687,14.3274021,2 bedroom with open-plan kitchen,Good,83 m²,"CZK 4,452","CZK 24,000",,Other,,,1,No,No,No,No,No,No,No,08. 11. 2021,,,,,221,354,355,382,422,374,333,439,431,268,,,,,,,
684713,"CZK 35,000",50.0762,14.45144,2 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 1,500","CZK 50,000",Other,Brick building,,Partially furnished,3,Yes,No,Yes,No,No,Yes,No,01. 01. 2022,Premium materials and solutions,Gas boiler,Middle floor,G,183,249,190,183,58,185,229,295,673,271,Overall,over 50 years years,,,,,
697337,"CZK 13,000",50.0263518,14.5279865,Studio,New build,40 m²,"CZK 2,500","CZK 15,500",Personal,Low-energy building,Yes,Furnished,1,No,Yes,No,No,No,No,No,01. 01. 2022,,Central heating,Ground floor,E,58,933,342,590,370,664,217,433,725,375,,,12 m²,,,,
680047,"CZK 39,750",50.079465,14.4353199,1 bedroom with open-plan kitchen,,73 m²,"CZK 13,250",,,,,Furnished,5,No,No,No,No,No,Yes,No,31. 12. 2021,,,,,156,408,244,342,59,242,281,281,533,788,,,,,,,
697334,"CZK 10,000",50.02253,14.44006,Studio,Excellent,29 m²,"CZK 2,500","CZK 20,000",Personal,Brick building,,Partially furnished,6,No,No,No,No,No,Yes,No,15. 01. 2022,,,,G,83,542,29,516,589,562,554,294,744,289,,,,,,,
384995,"CZK 13,000",50.0852364,14.4440628,Studio,Excellent,33 m²,"CZK 2,500","CZK 15,500",Personal,Brick building,,Partially furnished,2,No,No,No,No,No,No,No,03. 01. 2022,,Electric boiler,Middle floor,,46,465,29,69,82,486,387,215,546,439,Overall,,,,,,
