Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Age,Design,Heating,Total number of floors,Renovation,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
706825,"CZK 13,000",50.08634,14.37185,"Patočkova, Prague - Břevnov",Studio,Excellent,30 m²,"CZK 2,500","CZK 13,000",Personal,Brick building,Furnished,3,No,No,Yes,No,No,Yes,No,16. 02. 2022,G,38,667,403,609,64,389,417,281,695,494,,,,,,,,,,,,
636623,"CZK 16,000",50.06054,14.441286,"Na Květnici, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,49 m²,"CZK 2,600","CZK 32,000",Personal,Brick building,Furnished,3,No,No,Yes,No,Yes,No,No,01. 04. 2022,D,348,763,356,468,243,491,510,897,243,323,,1 to 10 years years,Standard materials and solutions,,Middle floor,Interior,,,,,,
661144,"CZK 15,900",50.066599,14.396753,Prague - Smíchov,2 bedroom,Excellent,62 m²,CZK 790,"CZK 16,690",Personal,Brick building,Partially furnished,1,Yes,No,No,No,No,No,No,08. 01. 2022,D,223,365,225,754,130,451,312,524,755,325,,,,Electric boiler,Middle floor,Overall,,,,,,
683123,"CZK 12,000",50.09945,14.4709,"Na Kopečku, Prague - Libeň",1 bedroom,Good,49 m²,"CZK 3,000","CZK 15,000",Personal,Brick building,Unfurnished,3,No,No,No,No,No,Yes,No,17. 02. 2022,E,433,656,466,609,383,639,541,265,322,560,,,Standard materials and solutions,Central heating,Middle floor,,,,,,,
639142,"CZK 6,000",50.049512,14.3264238,"Na Dolnici, Prague - Stodůlky",Small studio,Excellent,18 m²,"CZK 1,990",,Personal,Brick building,Furnished,2,No,No,No,No,Yes,No,No,21. 02. 2022,C,210,852,708,805,201,705,594,349,669,409,,10 to 30 years years,Standard materials and solutions,Central heating,Attic,Overall,,,,,,
607626,"CZK 35,000",50.10628,14.46818,"Smrčkova, Prague - Libeň",1 bedroom with open-plan kitchen,New build,76 m²,"CZK 4,500","CZK 39,500",Personal,Brick building,Partially furnished,,No,Yes,Yes,No,Yes,Yes,Yes,01. 04. 2022,B,608,"1,396",719,810,364,731,571,"1,222",253,367,Yes,1 to 10 years years,Premium materials and solutions,,Ground floor,,,,,,,
602012,"CZK 10,000",50.017333,14.435375,"U Kamýku, Prague - Kamýk",Studio,Excellent,40 m²,"CZK 4,700","CZK 15,000",,Brick building,Furnished,3,Yes,No,No,No,No,Yes,No,20. 02. 2022,G,100,"1,018",176,"1,010",411,318,482,715,426,329,,1 to 10 years years,,Central heating,,,,,,,,
619046,"CZK 11,900",50.06071,14.399807,"Na Neklance, Prague - Smíchov",Studio,Excellent,36 m²,"CZK 3,000","CZK 11,900",Personal,Brick building,Furnished,2,Yes,No,No,No,No,Yes,No,26. 07. 2020,B,169,886,221,935,195,434,611,750,672,550,,1 to 10 years years,Standard materials and solutions,Central heating,Middle floor,Overall,,,,,,
352869,"CZK 11,900",50.0561574,14.5133831,"Jasmínová, Prague - Záběhlice",1 bedroom,Excellent,40 m²,"CZK 3,200","CZK 11,900",Personal,Prefab concrete building,Partially furnished,2,No,No,No,Yes,No,Yes,No,17. 01. 2022,C,67,529,326,492,404,534,549,804,840,192,,1 to 10 years years,,District heating,Middle floor,Overall,,,,,,
707650,"CZK 17,500",50.04017,14.33576,"Tlumačovská, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,51 m²,"CZK 2,500","CZK 35,000",Personal,Prefab concrete building,Furnished,2,No,No,No,No,Yes,Yes,No,04. 03. 2022,D,111,636,0,607,386,13,353,618,377,360,,,,,,,,,,,,
618247,"CZK 14,500",50.070905,14.451851,"Moskevská, Prague - Vršovice",Studio,New build,53 m²,"CZK 1,500","CZK 29,000",Personal,Brick building,,4,No,No,No,No,No,No,No,21. 02. 2022,G,53,582,16,165,45,437,94,344,273,260,,,,,,,,,,,,
699655,"CZK 19,000",50.0721,14.47159,"Bělocerkevská, Prague - Vršovice",3 bedroom,Excellent,65 m²,"CZK 4,000","CZK 19,000",Personal,Prefab concrete building,Partially furnished,4,Yes,No,Yes,No,No,Yes,No,17. 01. 2022,G,123,489,113,398,315,4,495,383,602,229,,,,,,,,,,,,
531724,"CZK 15,000",50.1064556,14.4471687,"Osadní, Prague - Holešovice",Studio,Excellent,49 m²,"CZK 3,000","CZK 30,000",Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,Yes,Yes,No,01. 06. 2021,,163,331,175,344,88,237,352,691,345,279,,,,,,,,,,,,
