Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Designe,Condition,Ownership,EPC,Heating,New-build,Reconstruction,Terrace,Cellar,Balcony,Parking,Garage,Domácí mazlíčci vítáni,Enclosed balcony,Administrative fee,Plot space,Plot type
"CZK 14,900","CZK 3,300",570282,Studio,10/1/2022,33 m²,Fully furnished,2,1.0,217.82,1579.87,778.68,898.42,525.92,766.94,621.01,720.34,2166.54,559.12,"Štverákova, Prague - Horní Počernice",50.1118599,14.6268181,"CZK 30,000",Brick,,,,Personal,B,,1.0,,,,1.0,,,,,,,
"CZK 20,000","CZK 2,500",577284,2+kk,10/23/2022,62 m²,Partly,1,1.0,33.11,987.61,363.88,969.16,628.75,914.45,908.02,958.36,839.36,322.99,"Saarinenova, Prague - Hloubětín",50.1067841,14.5284169,"CZK 22,000",Low-energy,Up to 10 years,Luxurious,New-build,Cooperative,,Distance,1.0,,1.0,,,,,,,,,
"CZK 9,300","CZK 4,500",729762,Studio,8/20/2022,26 m²,Partly,2,1.0,114.97,208.62,396.31,1615.36,9.96,1381.57,274.93,170.26,414.89,259.12,Prague - Střešovice,50.08912,14.38529,"CZK 15,000",Brick,,,Very good,,G,,,,,,1.0,1.0,,,,,,
"CZK 18,000","CZK 3,500",730581,Studio,8/20/2022,30 m²,Fully furnished,3,,249.44,775.46,296.54,454.56,346.44,471.4,754.24,623.73,388.52,189.67,Prague - Strašnice,50.07918,14.48536,"CZK 43,000",Brick,,Luxurious,New-build,,C,Central,1.0,Complete,1.0,,1.0,,,,,,,
"CZK 22,500","CZK 5,000",683548,2+kk,10/1/2022,68 m²,Partly,4,1.0,231.82,688.19,238.77,396.79,288.67,346.25,666.97,484.38,370.9,167.66,"Janýrova, Prague - Strašnice",50.0792694,14.4866147,"CZK 45,000",Brick,,,Very good,Personal,D,Distance,,,1.0,1.0,1.0,1.0,1.0,,,,,
"CZK 12,250","CZK 2,615",485661,Studio,9/1/2022,50 m²,Partly,,,227.37,259.16,190.25,329.28,123,273.52,789.96,952.36,1293.57,401.17,"Hnězdenská, Prague - Troja",50.1263568,14.4202859,"CZK 20,000",Prefab concrete,10 to 30 years,,Very good,Personal,C,Distance,,Interior,,,,,,,,,,
"CZK 8,000","CZK 1,500",666742,Small studio,8/22/2022,14 m²,Fully furnished,1,,63.56,2382.3,502.13,2085.54,453.16,1020.53,1623.0,348.67,951.91,676.91,"Bělohorská, Prague - Břevnov",50.07573,14.33054,CZK 0,Brick,10 to 30 years,Standard,Good,Personal,A,Central,,,,,,1.0,,,,,,
"CZK 22,000","CZK 6,500",607367,2+kk,9/1/2022,55 m²,Fully furnished,4,1.0,198.58,426.93,115.73,304.68,64.1,257.35,115.49,281.56,645.2,300.83,"Mlynářská, Prague - Nové Město",50.0920451,14.4340658,"CZK 42,000",Brick,Up to 10 years,Standard,Very good,Personal,E,Gas boiler,,Interior,,,,,,,,,,
"CZK 13,000","CZK 4,000",547090,Studio,9/1/2022,30 m²,Partly,4,,102.18,995.39,143.74,941.57,148.56,695.47,686.19,602.9,719.44,255.35,"K Olympiku, Prague - Karlín",50.0979809,14.4663685,"CZK 17,000",Prefab concrete,,,Very good,Personal,,Central,,Complete,,,1.0,,,,,,,
"CZK 12,000",CZK 750,730527,1 bedroom,9/1/2022,45 m²,Partly,4,,153.35,303.75,10.45,286.53,24.33,238.01,302.67,247.29,712.85,737.48,Prague - Vinohrady,50.07217,14.43243,"CZK 12,000",Brick,,,Good,,G,,,,,,,,,,,,,
