Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,New building,Design,Heating,Total number of floors,Renovation,Administration fee,Age,Developer name,Project name,Kód jednotky,Front garden,Investment Advisor
717772,"CZK 10,500",50.0849244,14.3741148,"Pod Marjánkou, Prague - Břevnov",1 bedroom with open-plan kitchen,55 m²,"CZK 2,000",Partially furnished,1,No,No,No,No,No,Yes,No,10. 05. 2022,106,626,197,387,182,89,117,302,395,277,Excellent,"CZK 12,500",Personal,Brick building,B,,,,,,,,,,,,
718500,"CZK 16,500",50.064779,14.5525555,"Františka Jansy, Prague - Dolní Měcholupy",1 bedroom with open-plan kitchen,55 m²,"CZK 3,500",Furnished,5,Yes,No,No,No,No,Yes,No,01. 06. 2022,150,845,468,387,639,"1,165",809,100,,,New build,"CZK 33,000",Cooperative,Brick building,A,,,,,,,,,,,,
693924,"CZK 9,990",50.05306694444,14.51150777777,"Mikanova, Prague - Záběhlice",Studio,28 m²,"CZK 3,112",Furnished,5,No,No,No,No,No,Yes,No,,148,797,786,745,562,793,835,842,805,268,Excellent,"CZK 13,102",Personal,Brick building,G,,,,,,"CZK 13,102

                                
                                
                
i",,,,,,
716838,"CZK 23,000",50.07665,14.36829,"Zdíkovská, Prague - Smíchov",3 bedroom,67 m²,"CZK 5,500",Partially furnished,3,No,No,Yes,Yes,No,No,Yes,06. 06. 2022,89,"1,287","1,035","1,149",693,"1,159","1,131","1,332",419,464,Excellent,"CZK 46,000",Personal,Brick building,G,,Standard materials and solutions,,Middle floor,,,,,,,,
131105,"CZK 25,000",50.0830177,14.4394326,"Italská, Prague - Vinohrady",1 bedroom with open-plan kitchen,52 m²,"CZK 5,500",Furnished,2,Yes,No,No,No,Yes,Yes,No,01. 07. 2022,125,777,394,114,169,464,557,383,655,495,New build,"CZK 61,000",Personal,Low-energy building,,,,Gas boiler,,,,,,,,,
718496,"CZK 21,000",50.07294,14.46445,"Ruská, Prague - Vršovice",1 bedroom with open-plan kitchen,50 m²,"CZK 2,700",Furnished,2,Yes,No,No,No,No,Yes,No,01. 06. 2022,306,769,371,685,300,633,448,333,603,279,Excellent,"CZK 20,000",Personal,Brick building,G,,,,,,,,,,,,
413102,"CZK 5,000",50.0842092,14.5135598,Prague - Malešice,Studio,24 m²,"CZK 3,000",Furnished,2,Yes,No,No,No,No,No,No,12. 05. 2021,254,"1,034",373,992,265,395,869,995,313,78,,"CZK 8,000",Personal,Prefab concrete building,,,,,,,,,,,,,
718492,"CZK 14,250",50.0705847,14.4064774,"Jindřicha Plachty, Prague - Smíchov",1 bedroom with open-plan kitchen,70 m²,"CZK 4,750",Furnished,3,No,No,No,No,No,Yes,No,01. 07. 2022,185,620,138,274,86,216,657,"1,148","1,019",505,,,,,,,,,,,,,,,,,
581839,"CZK 17,400",50.128615,14.483932,"Březenská, Prague - Libeň",1 bedroom with open-plan kitchen,62 m²,"CZK 3,550",Furnished,2,No,No,No,No,Yes,Yes,Yes,18. 05. 2022,163,"1,180",257,"1,235",458,249,195,728,919,192,New build,"CZK 55,000",Personal,Low-energy building,B,Yes,Premium materials and solutions,District heating,Middle floor,,,1 to 10 years years,,,,,
718489,"CZK 14,490",50.11847972222,14.47255944444,"Střížkovská, Prague - Libeň",Studio,45 m²,"CZK 1,920",Furnished,4,No,No,No,No,No,Yes,No,,310,"1,228",368,328,614,741,"1,262","1,226",820,,Excellent,"CZK 16,410",Personal,Brick building,C,,,,,,"CZK 16,410

                                
                                
                
i",,,,,,
