Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Administration fee,Ownership Type,Building Type,Age,Design,Heating,Total number of floors,Renovation,PENB,New building,Front garden,Investment Advisor,Developer name,Project name,Kód jednotky
710256,"CZK 14,100",50.12228,14.5008,"Ctěnická, Prague - Prosek",1 bedroom with open-plan kitchen,40 m²,"CZK 2,900",Partially furnished,6,No,No,No,No,No,Yes,No,01. 04. 2022,286,305,191,395,302,476,171,398,"1,356",114,Excellent,"CZK 17,000",,Personal,Prefab concrete building,,,District heating,Middle floor,,G,,,,,,
711120,"CZK 27,000",50.07389,14.44219,"Budečská, Prague - Vinohrady",2 bedroom with open-plan kitchen,79 m²,"CZK 1,500",Unfurnished,2,No,No,No,No,No,Yes,No,01. 04. 2022,225,105,125,517,69,448,186,416,559,522,Excellent,"CZK 50,000",,Personal,Brick building,,,,,,G,,,,,,
346124,"CZK 13,500",50.1110451477,14.4969713587,"Paříkova, Prague - Vysočany",Studio,40 m²,"CZK 3,000",Partially furnished,1,Yes,No,No,No,No,No,No,,184,435,282,203,244,75,702,854,368,434,Excellent,"CZK 18,000",,Personal,Brick building,,Premium materials and solutions,District heating,Raised ground floor,,B,,,,,,
710568,"CZK 22,000",50.10900315,14.506642726155,Prague - Vysočany,1 bedroom with open-plan kitchen,55 m²,"CZK 3,000",Partially furnished,3,Yes,No,Yes,No,No,No,Yes,21. 03. 2022,233,623,224,469,200,583,244,191,597,574,New build,"CZK 45,000",,Personal,Prefab concrete building,,,,,,A,,,,,,
711111,"CZK 15,500",50.10391,14.47661,"Novákových, Prague - Libeň",2 bedroom with open-plan kitchen,100 m²,"CZK 4,000",Partially furnished,4,Yes,No,No,No,No,Yes,No,01. 05. 2022,166,249,75,232,119,94,255,447,275,322,Excellent,"CZK 30,000",,Personal,Brick building,,,,,,G,,,,,,
705842,"CZK 24,148",50.12878,14.49267,"Lovosická, Prague - Střížkov",2 bedroom,89 m²,"CZK 3,524",Furnished,3,Yes,No,No,No,No,Yes,No,01. 05. 2022,119,936,97,836,393,239,456,328,947,121,New build,"CZK 27,672",,Personal,Low-energy building,,,,,,B,,,,,,
711025,"CZK 15,000",50.0671705,14.3994952,"U Nikolajky, Prague - Smíchov",2 bedroom,52 m²,"CZK 2,500",Partially furnished,2,No,No,Yes,No,No,No,No,01. 04. 2022,56,181,17,512,133,264,145,347,609,116,Good,"CZK 20,000",,Personal,Brick building,,,,,,G,,,,,,
711108,"CZK 11,647",50.0848635,14.3736342,"Pod Marjánkou, Prague - Břevnov",1 bedroom,42 m²,"CZK 3,116",,3,No,No,No,No,No,No,No,20. 03. 2022,141,591,231,405,217,124,152,336,429,312,Good,"CZK 14,763","CZK 1,747",Personal,Other,,,,,,,,,,,,
711107,"CZK 12,000",50.09798,14.36135,"Kamerunská, Prague - Vokovice",2 bedroom,54 m²,"CZK 3,500",Partially furnished,4,No,No,Yes,Yes,No,Yes,No,01. 04. 2022,183,166,272,253,235,283,427,301,"1,455",391,Excellent,"CZK 12,000",,Personal,Prefab concrete building,,,,,,G,,,,,,
711105,"CZK 11,765",50.0666944,14.4339106,"Rejskova, Prague - Vinohrady",1 bedroom with open-plan kitchen,48 m²,"CZK 2,462",,1,No,No,No,No,No,No,No,20. 03. 2022,374,610,332,744,243,497,400,453,269,389,Good,"CZK 14,227","CZK 1,765",Personal,Other,,,,,,,,,,,,
710702,"CZK 13,000",50.10035,14.42911,"Heřmanova, Prague - Holešovice",1 bedroom,38 m²,"CZK 2,500",Partially furnished,2,No,No,Yes,No,No,Yes,No,17. 03. 2022,150,521,82,188,103,202,319,186,583,,Good,"CZK 18,000",,Personal,Brick building,,,,,,G,,,,,,
698479,"CZK 14,000",50.09015,14.30737,Prague - Ruzyně,1 bedroom with open-plan kitchen,42 m²,"CZK 3,000",Partially furnished,12,No,No,No,No,No,Yes,No,01. 04. 2022,157,225,132,119,238,176,353,"1,387","1,394",136,Excellent,"CZK 28,000",,Personal,Prefab concrete building,,,,,Overall,C,,,,,,
711103,"CZK 16,500",50.0633997,14.4328561,"Čiklova, Prague - Nusle",1 bedroom with open-plan kitchen,51 m²,CZK 500,Partially furnished,1,Yes,No,Yes,No,No,No,No,01. 04. 2022,425,567,370,534,325,480,104,214,249,386,Excellent,"CZK 30,000",,Personal,Brick building,,,,,,G,,,,,,
710561,"CZK 12,000",50.10374,14.47491,"Heydukova, Prague - Libeň",1 bedroom with open-plan kitchen,42 m²,CZK 800,Unfurnished,3,No,No,No,No,No,No,No,16. 03. 2022,27,254,39,147,34,79,217,410,434,388,Excellent,"CZK 24,000",,Personal,Brick building,,,,,,C,,,,,,
338040,"CZK 16,000",50.0400835249,14.4973857442,"Babická, Prague - Chodov",1 bedroom with open-plan kitchen,56 m²,"CZK 5,000",Furnished,4,Yes,No,Yes,No,Yes,Yes,Yes,01. 06. 2022,209,"1,219",338,"1,359",220,"1,098",826,"1,054",721,489,Excellent,"CZK 42,000",,Personal,Brick building,10 to 30 years years,Standard materials and solutions,District heating,Top floor,,C,,,,,,
711100,"CZK 19,412",50.032408,14.5051186,"Valentova, Prague - Chodov",2 bedroom with open-plan kitchen,63 m²,"CZK 2,437",,9,No,No,No,No,No,No,No,20. 03. 2022,80,255,349,"1,181",197,548,403,108,709,150,Good,"CZK 21,849","CZK 2,912",Personal,Other,,,,,,,,,,,,
597330,"CZK 12,000",50.066052,14.460206,"Přípotoční, Prague - Vršovice",Studio,30 m²,"CZK 1,500",Partially furnished,3,Yes,No,Yes,No,No,Yes,No,01. 04. 2022,109,552,123,480,2,588,561,340,200,234,Excellent,"CZK 11,500",,Personal,Brick building,,,,,Overall,C,,,,,,
711098,"CZK 15,606",50.0478296,14.5599363,"Boloňská, Prague - Horní Měcholupy",1 bedroom with open-plan kitchen,45 m²,"CZK 1,949",,1,No,No,No,No,No,No,No,20. 03. 2022,348,959,491,"1,037",69,"1,104",231,238,749,85,Good,"CZK 17,555","CZK 2,341",Personal,Other,,,,,,,,,,,,
711096,"CZK 8,500",50.06855,14.47001,"U Slavie, Prague - Vršovice",Small studio,21 m²,"CZK 2,447",Furnished,1,No,No,No,No,No,No,No,21. 03. 2022,107,181,226,131,403,557,365,467,469,508,Good,"CZK 10,947",,Personal,Brick building,,,,,,G,,,,,,
711085,"CZK 15,000",50.03172,14.53492,"Janouchova, Prague - Háje",1 bedroom with open-plan kitchen,45 m²,"CZK 4,500",Furnished,7,No,No,Yes,No,No,Yes,No,21. 03. 2022,40,287,311,329,271,581,375,222,631,156,Excellent,"CZK 20,000",,Personal,Prefab concrete building,,,,,,D,,,,,,
711095,"CZK 15,599",50.0290803,14.5278832,"Tatarkova, Prague - Háje",1 bedroom with open-plan kitchen,43 m²,"CZK 2,136",,3,No,No,No,No,No,No,No,20. 03. 2022,215,633,132,304,303,364,455,299,424,395,Good,"CZK 17,735","CZK 2,340",Personal,Other,,,,,,,,,,,,
354937,"CZK 14,000",50.094286,14.4942423,"U kněžské Louky, Prague - Žižkov",1 bedroom with open-plan kitchen,44 m²,"CZK 1,500",Partially furnished,3,Yes,No,No,No,No,No,No,01. 01. 2021,203,351,238,644,151,374,232,513,395,187,Excellent,"CZK 20,000",,Personal,Brick building,10 to 30 years years,Standard materials and solutions,Electric boiler,Middle floor,Overall,A,,,,,,
660503,"CZK 13,500",50.06662,14.43407,"Rejskova, Prague - Vinohrady",1 bedroom with open-plan kitchen,50 m²,"CZK 3,500",Furnished,4,No,No,Yes,No,No,Yes,No,01. 05. 2022,321,596,317,730,257,511,385,439,283,403,Excellent,"CZK 20,000",,Personal,Brick building,,Standard materials and solutions,Gas boiler,,,G,,,,,,
711081,"CZK 14,800",50.10602,14.47162,"Chocholouškova, Prague - Libeň",1 bedroom with open-plan kitchen,52 m²,"CZK 2,600",Partially furnished,2,No,No,No,No,No,Yes,No,01. 04. 2022,175,704,179,209,216,210,238,695,351,178,Excellent,"CZK 15,000",,Personal,Brick building,,Standard materials and solutions,District heating,Middle floor,Overall,G,,,,,,
550879,"CZK 12,900",50.0639544,14.2854037,"Lačnovská, Prague - Zličín",Studio,36 m²,"CZK 2,839",Furnished,2,Yes,No,No,No,Yes,No,No,01. 04. 2022,304,361,"1,215","1,060",875,"1,338",551,,,,New build,"CZK 25,800",,Personal,Low-energy building,1 to 10 years years,Premium materials and solutions,Other,Middle floor,,B,Yes,,,,,
600748,"CZK 17,000",50.082054,14.445145,"Bořivojova, Prague - Žižkov",Studio,31 m²,CZK 550,Furnished,1,No,No,No,No,No,Yes,No,01. 04. 2022,465,572,204,569,14,278,313,263,588,250,Excellent,"CZK 17,000",,Personal,Brick building,,Standard materials and solutions,Central heating,Middle floor,Overall,G,,,,,,
382874,"CZK 15,000",50.0318488,14.596929,"Přátelství, Prague - Uhříněves",3 bedroom,70 m²,"CZK 5,000",Partially furnished,6,Yes,No,No,No,No,Yes,No,01. 04. 2022,145,282,102,231,90,185,590,445,797,256,Good,"CZK 20,000",,Cooperative,Prefab concrete building,30 to 50 years years,Standard materials and solutions,District heating,Top floor,Overall,,,,,,,
711070,"CZK 16,900",50.0573177,14.4207856,Prague - Podolí,1 bedroom with open-plan kitchen,59 m²,"CZK 3,100",Partially furnished,2,Yes,No,No,No,No,Yes,No,01. 04. 2022,172,280,180,81,167,277,67,681,458,95,Excellent,"CZK 25,000",,Personal,Brick building,,,,,,C,,,,,,
561837,"CZK 12,000",50.0290466,14.5305879,"Mnichovická, Prague - Háje",1 bedroom with open-plan kitchen,41 m²,"CZK 4,000",Partially furnished,11,No,No,No,No,No,Yes,No,01. 04. 2022,254,593,117,280,345,406,382,271,466,165,,"CZK 16,000",,Personal,Prefab concrete building,,,,,,A,,,,,,
