Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,Heating,Total number of floors,Front garden,Renovation,Age,Administration fee,New building,Developer name,Project name,Kód jednotky
699531,"CZK 14,100",50.09033,14.4739536,"Viklefova, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,52 m²,"CZK 2,000","CZK 28,000",Other,Brick building,Partially furnished,6,No,No,No,No,No,Yes,No,07. 03. 2022,C,193,"1,012",134,259,16,116,321,332,358,420,Standard materials and solutions,Other,Middle floor,,,30 to 50 years years,,,,,
699530,"CZK 15,000",49.99957,14.42119,"Platónova, Prague - Modřany",3 bedroom,Excellent,78 m²,"CZK 5,000","CZK 30,000",Personal,Prefab concrete building,Partially furnished,3,No,No,Yes,Yes,Yes,Yes,No,16. 01. 2022,G,205,"1,022","1,267","1,089",390,"1,095",126,224,"1,068",246,Standard materials and solutions,District heating,Middle floor,,Interior,10 to 30 years years,,,,,
639417,"CZK 12,300",50.107726,14.447911,"Ortenovo náměstí, Prague - Holešovice",1 bedroom,Excellent,37 m²,"CZK 1,910","CZK 24,600",Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,01. 03. 2022,G,54,557,196,436,205,257,258,917,398,185,,Central heating,Middle floor,,Interior,10 to 30 years years,,,,,
461862,"CZK 19,500",50.0865576,14.4999493,"Marciho, Prague - Malešice",1 bedroom with open-plan kitchen,,57 m²,"CZK 4,500","CZK 39,000",Personal,Low-energy building,Furnished,1,No,Yes,No,No,No,Yes,No,01. 02. 2022,B,211,640,670,683,466,845,604,570,466,109,Premium materials and solutions,,Ground floor,50 m²,,1 to 10 years years,,Yes,,,
700254,"CZK 15,000",50.03043,14.51503,"Mikulova, Prague - Chodov",2 bedroom with open-plan kitchen,Excellent,65 m²,"CZK 3,860","CZK 20,000",Personal,Prefab concrete building,Partially furnished,10,No,No,Yes,No,No,Yes,No,01. 02. 2022,D,180,289,225,"1,125",423,406,325,217,703,117,,District heating,,,Overall,,,,,,
700188,"CZK 10,500",50.08994,14.47427,"Viklefova, Prague - Žižkov",Studio,Excellent,32 m²,"CZK 3,000","CZK 13,500",Personal,Brick building,Unfurnished,2,No,No,No,No,No,Yes,No,01. 02. 2022,G,241,964,182,307,64,164,331,285,405,400,,Gas boiler,Middle floor,,,,,,,,
64128,"CZK 16,400",50.0724091,14.3884302,"Holeckova, Prague - Košíře",1 bedroom with open-plan kitchen,Excellent,46 m²,"CZK 2,100","CZK 18,000",Personal,Brick building,Furnished,2,No,Yes,No,No,No,Yes,No,01. 03. 2022,,172,"1,189",159,994,219,"1,140",499,792,"1,306",255,,Gas boiler,Middle floor,,Overall,,,,,,
593481,"CZK 11,000",50.067562,14.505403,"Žernovská, Prague - Strašnice",1 bedroom,Excellent,40 m²,"CZK 4,000","CZK 15,000",Personal,Brick building,Furnished,2,Yes,No,No,Yes,No,No,No,17. 01. 2022,G,164,"1,426",340,"1,101",206,391,359,352,"1,125",195,,District heating,Middle floor,,,,,,,,
700237,"CZK 12,400",50.08117,14.45362,"Ondříčkova, Prague - Žižkov",Studio,Excellent,23 m²,"CZK 3,000","CZK 15,400",Personal,Brick building,Furnished,4,No,No,No,No,Yes,Yes,Yes,20. 01. 2022,D,319,256,176,395,22,477,353,402,664,171,,,,,,,,,,,
513145,"CZK 13,000",50.0327585,14.5137099,Prague - Chodov,1 bedroom with open-plan kitchen,,43 m²,"CZK 3,800","CZK 15,000",Personal,Prefab concrete building,Partially furnished,7,Yes,No,Yes,No,Yes,Yes,No,15. 03. 2022,,187,567,210,"1,341",532,684,357,289,505,229,,District heating,Middle floor,,Interior,,,,,,
