Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Age,Design,Heating,Total number of floors,Renovation,New building,Front garden,Developer name,Project name,Kód jednotky
503703,"CZK 14,000",50.0716385,14.4535707,"Estonská, Prague - Vršovice",1 bedroom,Excellent,34 m²,"CZK 2,006","CZK 18,000",,Personal,Brick building,Unfurnished,5,No,No,No,No,No,No,No,,196,708,196,352,163,483,119,252,413,204,,1 to 10 years years,Standard materials and solutions,Gas boiler,Middle floor,Interior,,,,,
714363,"CZK 27,000",50.09478,14.50282,"Nad Smetankou, Prague - Hrdlořezy",2 bedroom with open-plan kitchen,Excellent,106 m²,"CZK 7,000","CZK 54,000",,Personal,Brick building,Furnished,2,No,Yes,No,No,Yes,Yes,Yes,D,536,"1,045",460,"1,370",670,507,943,824,"1,203",196,19. 04. 2022,,,,,,,,,,
714362,"CZK 10,000",50.06693,14.46399,"Taškentská, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,66 m²,"CZK 2,500",,,Personal,Brick building,Furnished,3,Yes,No,No,No,Yes,No,No,G,193,507,206,472,186,746,626,38,281,607,16. 04. 2022,,,,,,,,,,
240794,"CZK 15,000",50.1363086059,14.3804926233,"Suchdolské náměstí, Prague - Suchdol",Studio,Excellent,45 m²,"CZK 3,000","CZK 30,000",,Personal,Brick building,Furnished,3,Yes,No,Yes,No,No,Yes,Yes,,129,59,413,154,169,20,560,497,952,785,07. 03. 2022,10 to 30 years years,Standard materials and solutions,Central heating,Middle floor,,,,,,
713920,"CZK 86,625",50.0882058,14.4262315,"Rybná, Prague - Staré Město",3 bedroom with open-plan kitchen,,150 m²,"CZK 28,875",,,,,Furnished,4,No,No,No,No,No,No,No,,281,192,58,183,11,368,315,297,289,305,11. 06. 2022,,,,,,,,,,
713919,"CZK 13,875",50.0406167,14.4989504,"Babická, Prague - Chodov",Studio,,40 m²,"CZK 4,625",,,,,Furnished,-1,No,Yes,No,No,No,Yes,No,,128,"1,194",658,199,822,595,778,444,349,,11. 06. 2022,,,,,,,,,,
714359,"CZK 21,000",50.107989,14.3791722,"Šárecká, Prague - Dejvice",1 bedroom with open-plan kitchen,,60 m²,"CZK 7,000",,,,,Furnished,1,No,No,No,No,No,No,No,,423,672,"1,367",598,865,490,316,584,300,,15. 06. 2022,,,,,,,,,,
572023,"CZK 18,000",50.0853905,14.3438632,"Nad Alejí, Prague - Břevnov",2 bedroom,Excellent,54 m²,"CZK 4,000","CZK 30,000",,Personal,Prefab concrete building,Furnished,3,No,No,No,No,No,No,No,,215,648,278,410,132,428,77,197,638,226,01. 05. 2022,1 to 10 years years,Premium materials and solutions,District heating,Middle floor,Overall,,,,,
713752,"CZK 25,000",50.06977,14.45441,"Holandská, Prague - Vršovice",2 bedroom with open-plan kitchen,Excellent,68 m²,"CZK 1,200","CZK 26,200",,Other,Brick building,Unfurnished,3,No,No,Yes,No,No,Yes,No,D,190,438,132,197,140,232,189,156,322,169,11. 04. 2022,over 50 years years,Premium materials and solutions,Gas boiler,Middle floor,Interior,,,,,
713747,"CZK 19,500",50.07719,14.47697,"Hollarovo náměstí, Prague - Vinohrady",1 bedroom with open-plan kitchen,Excellent,47 m²,"CZK 3,000","CZK 39,000",,Personal,Brick building,Partially furnished,1,Yes,No,Yes,No,No,No,No,G,146,902,104,492,168,134,761,817,290,130,01. 05. 2022,,,,,,,,,,
713570,"CZK 13,650",50.0727107,14.4298541,"Tyršova, Prague - Nové Město",Studio,,24 m²,"CZK 4,550",,,,,Furnished,1,No,No,No,No,No,No,No,,207,626,116,221,143,278,376,548,644,639,01. 06. 2022,,,,,,,,,,
361523,"CZK 12,000",50.1390794,14.5127743,"Stará náves, Prague - Letňany",Studio,Excellent,35 m²,"CZK 3,500","CZK 15,000",,Cooperative,Brick building,Furnished,2,Yes,No,No,No,No,No,No,,404,397,572,851,300,348,458,750,708,159,01. 06. 2022,10 to 30 years years,Standard materials and solutions,,Middle floor,,,,,,
714352,"CZK 15,000",50.12934,14.47498,"Střekovská, Prague - Kobylisy",2 bedroom,Excellent,60 m²,"CZK 6,000","CZK 30,000",,Personal,Prefab concrete building,Partially furnished,13,Yes,No,No,Yes,No,Yes,No,G,231,482,179,582,167,583,276,361,"1,418",140,16. 04. 2022,,,,,,,,,,
711694,"CZK 14,300",50.06918,14.43767,"Perucká, Prague - Vinohrady",Studio,New build,46 m²,"CZK 2,980","CZK 20,000",,Personal,Prefab concrete building,Furnished,3,No,Yes,Yes,No,No,Yes,No,C,699,818,597,886,615,859,685,606,752,906,15. 04. 2022,1 to 10 years years,Premium materials and solutions,Central heating,,Overall,Yes,,,,
714349,"CZK 35,000",50.09099,14.42074,"Bílkova, Prague - Staré Město",3 bedroom,Excellent,125 m²,"CZK 5,000","CZK 60,000",,Personal,Brick building,Partially furnished,4,No,No,Yes,No,No,Yes,No,G,166,512,178,306,63,299,202,445,233,420,25. 05. 2022,,,,,,,,,,
290196,"CZK 12,000",50.0863558,14.4597572,"Jeseniova, Prague - Žižkov",Studio,,38 m²,"CZK 2,500",,,Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,,148,378,49,568,362,350,283,319,451,176,,,,,,,,,,,
714347,"CZK 8,000",50.0864,14.44595,"Orebitská, Prague - Žižkov",Small studio,Good,16 m²,"CZK 1,500","CZK 10,000",,Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,G,88,602,361,557,79,570,337,377,418,571,01. 05. 2022,,,,,,,,,,
561107,"CZK 26,500",50.067138793,14.399408500327,"U Santošky, Prague - Smíchov",2 bedroom with open-plan kitchen,Excellent,82 m²,"CZK 3,440","CZK 29,940",,Personal,Brick building,Furnished,2,No,No,No,No,No,Yes,No,,51,182,26,521,128,268,140,356,618,125,23. 05. 2022,,,District heating,Middle floor,Overall,,,,,
669723,"CZK 14,000",50.0921664,14.4969774,"Koněvova, Prague - Žižkov",Small studio,,33 m²,CZK 600,"CZK 20,000",,Personal,Brick building,,4,No,Yes,No,No,No,Yes,No,,119,382,144,732,7,341,605,292,870,131,01. 01. 1970,,,,,,,,,,
713528,"CZK 41,250",50.0912734,14.4238585,"Haštalské náměstí, Prague - Staré Město",2 bedroom,,50 m²,"CZK 13,750",,,,,Furnished,-1,No,Yes,No,No,No,No,No,,55,370,51,238,66,242,352,396,158,122,26. 05. 2022,,,,,,,,,,
713728,"CZK 35,000",50.07792,14.42263,"Příčná, Prague - Nové Město",4 bedroom,Excellent,89 m²,"CZK 8,000","CZK 35,000",,Personal,Brick building,Unfurnished,2,No,No,No,No,No,Yes,No,G,216,537,130,225,29,230,302,479,475,416,11. 04. 2022,,,,,,,,,,
600532,"CZK 65,000",50.075681,14.408523,"Janáčkovo Nábřeží, Prague - Smíchov",5 bedroom,Excellent,165 m²,"CZK 10,000","CZK 65,000",,Personal,Brick building,Partially furnished,6,No,Yes,No,No,No,Yes,No,G,279,223,344,342,68,418,193,839,"1,059",309,11. 04. 2022,1 to 10 years years,Premium materials and solutions,Central heating,Top floor,,,,,,
589443,"CZK 23,000",50.140024,14.519857,"Veselská, Prague - Letňany",2 bedroom with open-plan kitchen,New build,90 m²,"CZK 5,000","CZK 30,000",,Personal,Brick building,Partially furnished,4,Yes,No,No,No,No,Yes,Yes,B,408,535,"1,038","1,122",278,659,935,"1,066","1,197",213,01. 06. 2022,1 to 10 years years,Standard materials and solutions,District heating,,,,,,,
713515,"CZK 36,338",50.0183023,14.5625656,"Ibišková, Prague - Křeslice",4 bedroom with open-plan kitchen,,180 m²,"CZK 12,112",,,,,Furnished,1,Yes,Yes,No,No,No,No,Yes,,695,843,921,,,,,,,,01. 06. 2022,,,,,,,,,,
