Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,New building,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Heating,Total number of floors,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Age,Design,Renovation,Administration fee,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
708630,"CZK 12,990",50.13097083333,14.48613611111,"Černého, Prague - Střížkov",Studio,Good,27 m²,"CZK 1,045","CZK 14,035",Cooperative,Prefab concrete building,,Unfurnished,7,Yes,No,Yes,No,No,Yes,No,,,,G,337,"1,368",530,"1,403",378,523,288,907,"1,130",79,,,,"CZK 14,035

                                
                                
                
i",,,,,
707575,"CZK 13,000",50.06601,14.46174,"Baškirská, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,34 m²,"CZK 5,041","CZK 15,000",Personal,Prefab concrete building,,Furnished,5,No,No,Yes,Yes,No,Yes,No,14. 03. 2022,,Middle floor,G,159,666,173,530,192,638,669,166,216,341,,,,,,,,,
694414,"CZK 15,000",50.1049402,14.448922,"U Průhonu, Prague - Holešovice",2 bedroom,Excellent,54 m²,"CZK 4,000","CZK 10,000",Cooperative,Brick building,,Partially furnished,2,No,No,No,No,No,No,No,18. 01. 2022,Gas boiler,Middle floor,C,81,271,148,37,100,87,487,546,273,384,over 50 years years,Standard materials and solutions,Interior,,,,,,
641461,"CZK 27,000",50.013519,14.413676,"Hřebíkova, Prague - Modřany",4 bedroom,,102 m²,"CZK 1,300","CZK 50,000",Personal,Brick building,,Partially furnished,1,Yes,No,Yes,No,No,No,No,20. 03. 2022,Gas boiler,Middle floor,G,231,"1,189",577,"1,091",361,"1,057",505,626,611,,,Premium materials and solutions,Overall,,,,,,
708557,"CZK 11,200",50.08345,14.37474,"Šlikova, Prague - Břevnov",1 bedroom with open-plan kitchen,Good,38 m²,CZK 800,"CZK 10,000",Personal,Other,,Partially furnished,,No,No,No,No,No,No,No,01. 04. 2022,,,G,377,890,230,391,131,408,327,662,389,521,,,,,,,,,
645343,"CZK 11,000",50.067817,14.397468,Prague - Smíchov,3 bedroom,Excellent,62 m²,CZK 500,"CZK 10,000",Personal,Brick building,,Partially furnished,3,Yes,Yes,No,No,Yes,No,No,01. 05. 2022,Gas boiler,Top floor,G,249,180,172,545,26,267,338,551,550,343,,Standard materials and solutions,Interior,,,,,,
230110,"CZK 25,000",50.0735417,14.4431932,"Lužická, Prague - Vinohrady",1 bedroom with open-plan kitchen,,81 m²,"CZK 2,000","CZK 27,000",Personal,Brick building,,Furnished,5,Yes,No,No,No,No,Yes,No,01. 05. 2022,Electric boiler,Top floor,,168,234,151,635,168,503,305,383,503,256,1 to 10 years years,Premium materials and solutions,Overall,,,,,,
556264,"CZK 14,500",50.090953,14.4524052,Prague - Karlín,Studio,,33 m²,"CZK 1,800","CZK 43,500",Personal,Brick building,,Furnished,7,No,No,No,No,No,No,No,01. 03. 2022,Electric boiler,Top floor,F,257,525,285,253,54,320,183,910,314,250,,,Overall,,,,,,
708607,"CZK 26,000",50.064779,14.5525555,"Františka Jansy, Prague - Dolní Měcholupy",2 bedroom with open-plan kitchen,New build,93 m²,"CZK 5,000","CZK 40,000",Cooperative,Brick building,Yes,Partially furnished,3,Yes,No,No,No,Yes,No,Yes,01. 04. 2022,District heating,Middle floor,D,150,845,468,387,639,"1,165",809,100,,,1 to 10 years years,Standard materials and solutions,Overall,,,,,,
595944,"CZK 22,000",50.12013,14.463409,"Rozšířená, Prague - Libeň",3 bedroom,Excellent,85 m²,,"CZK 22,000",Personal,Prefab concrete building,,Partially furnished,2,Yes,No,Yes,Yes,No,Yes,No,10. 02. 2022,Gas boiler,,D,232,287,338,639,435,373,748,404,849,489,,,,,,,,,
653208,"CZK 11,000",50.1042381,14.4556996,Prague - Holešovice,1 bedroom with open-plan kitchen,Excellent,41 m²,"CZK 2,500","CZK 11,000",Personal,Brick building,,Furnished,1,No,No,No,No,No,Yes,No,01. 04. 2021,District heating,,C,73,697,121,291,82,302,737,699,178,392,,,,,,,,,
705747,"CZK 14,500",50.0768455,14.4604693,"Slezská, Prague - Vinohrady",Studio,Good,32 m²,"CZK 3,000","CZK 14,500",Personal,Brick building,,,6,No,No,Yes,No,No,No,No,01. 03. 2022,Central heating,Top floor,G,191,239,115,185,75,141,472,438,517,73,,,,,,,,,
703508,"CZK 29,500",50.07423,14.44072,"Sázavská, Prague - Vinohrady",2 bedroom,Excellent,100 m²,"CZK 3,400","CZK 33,000",Personal,Brick building,,Partially furnished,2,Yes,No,No,No,No,Yes,No,25. 01. 2022,,,G,164,172,115,409,97,498,44,465,609,471,,,,,,,,,
708573,"CZK 12,000",50.06296,14.30847,"Jiránkova, Prague - Řepy",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 3,500","CZK 15,500",Personal,Low-energy building,,Furnished,11,No,No,Yes,No,No,Yes,No,01. 03. 2022,,,B,178,201,326,223,425,330,405,612,"1,465",518,,,,,,,,,
340644,"CZK 13,000",50.0703083,14.4587678,"Slovinská, Prague - Vršovice",Studio,,30 m²,CZK 600,"CZK 13,000",Personal,Brick building,,Partially furnished,5,No,No,No,No,No,Yes,No,19. 02. 2022,Gas boiler,,,120,556,124,291,25,330,203,233,630,131,1 to 10 years years,Standard materials and solutions,Interior,,,,,,
708574,"CZK 12,500",50.0736565,14.4926777,"Saratovská, Prague - Strašnice",2 bedroom,Good,68 m²,CZK 800,"CZK 25,000",Personal,Brick building,,Unfurnished,2,No,No,No,No,No,No,No,01. 03. 2022,,,G,165,314,218,196,278,208,85,524,521,313,,,,,,,,,
697214,"CZK 13,000",50.06194,14.43608,"Petra Rezka, Prague - Nusle",1 bedroom,Excellent,49 m²,"CZK 2,500","CZK 31,000",Personal,Other,,Unfurnished,2,Yes,No,No,No,No,Yes,No,01. 01. 2022,,,G,167,614,151,528,121,457,121,445,399,278,,,,,,,,,
708551,"CZK 14,000",50.11086,14.496,"Nepilova, Prague - Vysočany",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 3,000","CZK 14,000",Personal,Brick building,,Partially furnished,5,Yes,Yes,No,No,Yes,Yes,No,01. 03. 2022,Central heating,Middle floor,G,326,473,297,223,158,158,740,682,193,234,,Standard materials and solutions,,,,,,,
644348,"CZK 8,500",50.111219,14.394438,"Podbabská, Prague - Bubeneč",1 bedroom,Good,31 m²,"CZK 3,000","CZK 12,000",Personal,Brick building,,Partially furnished,1,No,No,No,No,No,No,No,01. 04. 2022,,,C,169,"1,473",167,859,301,634,766,533,622,435,,,,,,,,,
