Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Balcony,Terrace,Refundable security deposit,Building type,Condition,EPC,Ownership,Reconstruction,Heating,Designe,Cellar,Garage,Parking,Enclosed balcony,Age,New-build,Plot type,Administrative fee,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 13,000","CZK 3,500",35047,2+kk,,45 m²,Fully furnished,7,1.0,208.95,425.27,163.69,984.37,247.38,421.97,190.55,339.43,279.22,61.98,Prague - Stodůlky,50.0364367,14.3381615,,,"CZK 20,000",Prefab concrete,,,Personal,Complete,Distance,,1.0,,1.0,,,,,,
"CZK 29,250","CZK 9,750",724407,2 bedroom,8/11/2022,65 m²,Fully furnished,4,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",720700,2+kk,8/2/2022,60 m²,Fully furnished,2,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,
"CZK 10,500","CZK 4,000",723115,Small studio,6/21/2022,30 m²,Unfurnished,5,1.0,138.02,608.1,43.33,384.76,120.77,383.1,197.7,324.32,619.79,316.09,Prague - Vršovice,50.0717,14.45883,,,"CZK 10,500",Brick,Very good,G,,,,,,,,,,,,,
"CZK 48,000","CZK 16,000",717684,3+1,9/16/2022,72 m²,Fully furnished,5,1.0,273.55,299.9,80.57,586.7,68.95,312.33,103.27,252.88,792.89,567.68,"Americká, Prague - Vinohrady",50.0718291,14.4385892,,,,,,,,,,,,,,,,,,,
"CZK 20,400","CZK 6,800",722729,2+kk,8/2/2022,35 m²,Fully furnished,4,,356.54,736.2,458.21,353.24,376.04,829.05,1040.15,326.58,1014.22,65.27,"Buštěhradská, Prague - Střešovice",50.0968441,14.3897247,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 6,151",394152,2 bedroom,2/7/2022,53 m²,Unfurnished,3,1.0,107.46,461.52,110.16,174.76,208.41,192.53,325.09,209.12,770.72,77.52,"Brunclíkova, Prague - Břevnov",50.0875586,14.3439497,1.0,,"CZK 30,000",Prefab concrete,Very good,C,Personal,Complete,Distance,Standard,1.0,,,1.0,,,,,
"CZK 22,000","CZK 2,000",727707,2+kk,9/1/2022,55 m²,Fully furnished,3,1.0,272.99,792.09,338.11,718.19,332.93,794.61,481.21,355.63,570.02,180.42,Prague - Vršovice,50.0729,14.46399,,,"CZK 44,000",Brick,Very good,G,,,,,1.0,,,,,,,,
"CZK 21,000","CZK 2,500",157460,2 bedroom,8/1/2022,70 m²,Partly,3,,320.54,1200.06,178.03,1171.01,247.43,432.04,100.24,605.98,54.83,211.46,Prague - Libeň,50.1136507599,14.4678697476,1.0,,"CZK 23,500",Brick,New-build,,Cooperative,Interior,Electric boiler,Luxurious,,,,,,,,,
"CZK 20,000","CZK 4,800",726503,2 bedroom,7/19/2022,64 m²,Fully furnished,3,,77.26,1194.19,749.99,1186.85,601.55,675.04,515.47,826.4,1235.44,627.62,Prague - Braník,50.02706,14.41658,1.0,,"CZK 20,000",Brick,Very good,,Cooperative,,,Standard,,,1.0,,,,,,
"CZK 29,520","CZK 9,840",717600,2+kk,8/2/2022,39 m²,Fully furnished,3,,416.82,407.31,197.18,385.84,61.6,672.56,443.17,554.95,732.4,173.97,"Na Kampě, Prague - Malá Strana",50.0861053,14.4085409,,,,,,,,,,,,,,,,,,,
"CZK 36,338","CZK 12,112",727265,5+kk,8/2/2022,180 m²,Fully furnished,1,,710.63,2420.81,2011.34,2281.37,826.06,2150.45,2487.2,2253.5,2584.79,783.97,"Ibišková, Prague - Křeslice",50.0183023,14.5625656,1.0,1.0,,,,,,,,,,1.0,,,,,,,
"CZK 30,000","CZK 7,000",724616,3+kk,7/4/2022,110 m²,Unfurnished,4,,134.84,389.72,10.81,375.7,11.2,30.53,358.82,90.64,282.58,389.14,Prague - Vinohrady,50.07711,14.44353,,,"CZK 37,000",Brick,Good,G,,,,,,,,,,,,,
"CZK 12,900","CZK 1,900",454769,1 bedroom,9/1/2022,40 m²,Partly,,,110.16,921.75,78.97,955.36,83.76,182.12,543.71,478.69,1123.84,204.09,"Mahenova, Prague - Košíře",50.0710233,14.3875162,,,"CZK 14,800",Brick,,,Personal,Complete,,Standard,,,,,,,,,
"CZK 19,000","CZK 4,500",689177,2+kk,9/19/2022,34 m²,Fully furnished,3,1.0,205.66,530.83,108.66,270.37,118.21,197.26,382.84,474.36,641.06,689.01,"Tyršova, Prague - Nové Město",50.07306,14.43085,,,"CZK 47,000",Brick,Very good,G,Personal,Complete,Central,Luxurious,,,,,Up to 10 years,,,,
"CZK 31,590","CZK 10,530",722787,1 bedroom,8/4/2022,52 m²,Fully furnished,3,1.0,194.81,408.3,97.23,765.36,41.67,716.59,415.49,296.07,511.26,224.74,"Rybalkova, Prague - Vinohrady",50.0719171,14.4429188,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",726019,2+kk,8/16/2022,75 m²,Fully furnished,6,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,1.0,1.0,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 3,320",727725,3+kk,7/28/2022,70 m²,Partly,2,1.0,38.66,495.29,239.66,370.71,34.71,470.76,389.01,579.35,436.93,317.69,Prague - Podolí,50.05769,14.4233,,,"CZK 21,000",Brick,Very good,G,,,,,,,,,,,,,
"CZK 18,400","CZK 4,500",239742,2 bedroom,9/15/2022,60 m²,Partly,4,1.0,244.96,708.82,264.08,425.71,217.89,557.69,216.53,299.14,186.53,205.66,"Moldavská, Prague - Vršovice",50.069494,14.4621684,,,"CZK 22,900",Brick,Good,C,Personal,Bathroom unit,Distance,Standard,,,,,,,,,
"CZK 13,000","CZK 4,000",727051,1 bedroom,7/23/2022,35 m²,Partly,11,1.0,261.71,261.35,260.03,231.91,178.73,239.75,261.25,523.59,495.34,44.4,Prague - Stodůlky,50.04329,14.33048,,,"CZK 10,000",Prefab concrete,Very good,C,,,,,,,,1.0,,,,,
"CZK 23,000","CZK 5,000",727723,3+1,9/1/2022,74 m²,Fully furnished,2,1.0,86.81,1466.58,323.61,1481.29,20.02,1405.5,880.48,655.29,260.48,145.52,Prague - Liboc,50.0891,14.32657,1.0,,"CZK 40,000",Prefab concrete,Very good,G,,,,,1.0,,1.0,,,,,,
"CZK 15,500","CZK 5,000",598655,2+kk,9/1/2022,48 m²,Fully furnished,3,,119.94,752.83,26.77,575.15,204.97,172.56,464.53,561.86,369.12,185.87,"Oldřichova, Prague - Nusle",50.065872,14.429614,,,"CZK 15,000",Brick,Very good,C,Personal,Interior,Gas boiler,Standard,,,,,,,,,
"CZK 15,900","CZK 5,200",727047,2+kk,8/8/2022,44 m²,Partly,3,1.0,106.67,504.81,361.61,427.87,304.98,78.1,85.64,249.91,970.4,223.13,Prague - Řepy,50.06775,14.30736,,,"CZK 15,900",Prefab concrete,Very good,,Personal,Complete,Central,,1.0,,1.0,,,,,,
"CZK 20,000","CZK 4,500",663625,3+1,7/24/2022,69 m²,Unfurnished,,1.0,246.06,440.09,163.71,310.3,85.08,481.26,95.62,210.34,773.03,227.74,"Amurská, Prague - Vršovice",50.06945,14.47384,,,"CZK 40,000",Brick,Very good,G,Personal,,Central,,1.0,,,,,,,,
"CZK 29,925","CZK 9,975",717597,1 bedroom,8/28/2022,30 m²,Fully furnished,2,1.0,22.29,463.39,80.9,95.69,72.35,158.42,361.29,435.63,383.68,450.56,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,,,,,,,,,,,
"CZK 22,493","CZK 7,497",725078,Studio,9/1/2022,30 m²,Fully furnished,3,1.0,258.66,685.78,233.92,407.82,154.16,415.37,547.3,506.41,132.73,464.34,"V Háji, Prague - Holešovice",50.1013638,14.4546402,,,,,,,,,,,,1.0,,,,,,,
"CZK 22,500","CZK 3,500",641221,3+kk,8/1/2022,86 m²,Unfurnished,2,1.0,118.5,471.04,156.01,301.16,128.33,229.81,70.76,581.93,325.02,158.33,"Táborská, Prague - Nusle",50.0628274,14.4382025,1.0,,"CZK 30,000",Brick,Good,G,Cooperative,,,,1.0,,,,,,,,
"CZK 26,000","CZK 1,500",727717,3+kk,8/15/2022,81 m²,Unfurnished,4,1.0,324.49,1226.28,283.26,420.63,65.3,231.97,118.18,387.03,338.22,74.4,Prague - Vyšehrad,50.06614,14.4193,,,"CZK 52,000",Brick,Very good,G,,,,,1.0,,,,,,,,
"CZK 52,500","CZK 17,500",723111,4+1,8/2/2022,110 m²,Fully furnished,7,1.0,137.99,750.11,161.99,51.36,36.39,308.63,639.86,669.46,545.17,200.72,"Koněvova, Prague - Žižkov",50.0896259,14.4652159,,,,,,,,,,,,1.0,,,,,,,
"CZK 18,750","CZK 6,250",727242,3+1,9/15/2022,90 m²,Fully furnished,2,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,
"CZK 14,800","CZK 3,400",519071,Studio,8/1/2022,35 m²,Fully furnished,1,,270.8,465.97,462.71,505.95,362.97,524.87,359.82,260.66,144.15,249.62,Prague - Hostivař,50.0514172,14.5222681,,1.0,"CZK 35,000",Brick,New-build,B,Personal,,Distance,Standard,,,,,Up to 10 years,,,,
"CZK 18,500","CZK 3,500",727701,2 bedroom,7/28/2022,54 m²,Partly,2,1.0,103.04,284.96,132.08,107.67,160.16,174.62,316.4,825.43,245.24,418.02,Prague - Břevnov,50.08336,14.36169,,,"CZK 22,000",Brick,Very good,B,,,,,,,,,,,,,
"CZK 24,000","CZK 8,000",721726,Studio,8/14/2022,20 m²,Fully furnished,4,1.0,135.73,343.51,169.52,240.21,114.43,5.65,313.21,791.73,231.47,538.72,"Washingtonova, Prague - Nové Město",50.0805511,14.4309281,,,,,,,,,,,,,,,,,,,
"CZK 19,800","CZK 6,600",726085,3+1,8/31/2022,90 m²,Fully furnished,5,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,
"CZK 21,019","CZK 7,006",717606,Studio,8/31/2022,28 m²,Fully furnished,1,,192.2,792.19,136.81,285.46,92.76,475.4,242.58,336.79,507.76,82.3,"U Zeměpisného ústavu, Prague - Bubeneč",50.1033901,14.4020568,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 2,170",603985,2+kk,7/25/2022,50 m²,Unfurnished,1,1.0,251.07,470.36,25.37,214.01,34.62,213.78,513.84,554.06,688.53,592.43,"Mečislavova, Prague - Nusle",50.063978,14.444161,,,"CZK 15,000",Brick,Very good,C,Personal,,Gas boiler,,1.0,,,,Up to 10 years,,,,
"CZK 15,500","CZK 3,000",376475,2+kk,9/1/2022,48 m²,Partly,3,,221.9,918.39,36.24,482.02,172.72,345.16,138.5,1120.63,395.68,182.95,"Křižíkova, Prague - Karlín",50.0940784,14.4587182,,,"CZK 31,000",Brick,Very good,C,Personal,Complete,Electric boiler,Luxurious,1.0,,,,Over 50 years,,,,
"CZK 18,000","CZK 3,600",727687,2+kk,7/28/2022,52 m²,Unfurnished,4,1.0,304.94,909.6,426.15,956.81,340.85,442.76,521.62,665.01,367.22,305.45,Prague - Vysočany,50.1066,14.4969,,,"CZK 36,000",Other,Very good,C,,,Central,Luxurious,1.0,,,,10 to 30 years,,,,
"CZK 16,000","CZK 4,500",727684,3+1,8/1/2022,70 m²,Unfurnished,2,1.0,171.7,615.31,188.05,766.11,148.95,820.86,377.03,197.41,1558.8,182.55,Prague - Prosek,50.12402,14.5049,1.0,,"CZK 20,000",Prefab concrete,Very good,G,,,Central,,1.0,,,,,,,,
"CZK 34,500","CZK 11,500",721077,2+kk,8/21/2022,45 m²,Fully furnished,6,1.0,149.44,274.13,59.7,440.76,20.27,421.03,58.77,552.06,690.27,456.83,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,,,,
"CZK 35,000","CZK 9,500",727597,3+kk,9/1/2022,91 m²,Partly,3,,107.77,1186.64,810.63,1121.47,,993.06,1441.45,978.22,1317.44,446.23,Prague - Troja,50.12075,14.41037,,,"CZK 70,000",Brick,Very good,,Personal,,,Luxurious,,,1.0,,Up to 10 years,,,,
"CZK 14,600","CZK 5,671",576034,2+kk,8/14/2022,44 m²,Fully furnished,1,,137.61,837.11,172.6,282.47,120.62,798.27,367.39,521.92,805.03,254.75,"Dolní, Prague - Nusle",50.0598128,14.4484623,,,"CZK 20,000",Brick,Very good,G,Personal,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",719138,2+kk,8/2/2022,60 m²,Fully furnished,4,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,
"CZK 16,000",CZK 1,425185,2+kk,8/15/2022,56 m²,Fully furnished,1,,85.3,212.78,59.97,163.18,127.61,304.28,276.4,561.91,304.53,301.03,"Za Poštou, Prague - Strašnice",50.0761964,14.4905813,,,"CZK 22,000",Brick,,C,Personal,,Other,Luxurious,1.0,,,,Up to 10 years,,,,
"CZK 39,600","CZK 13,200",717648,2+kk,8/18/2022,46 m²,Fully furnished,2,,249.05,258.88,108.69,237.41,65.07,536.83,294.74,273.73,806.33,231.2,"Míšeňská, Prague - Malá Strana",50.0876118,14.4080467,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 2,000",723910,3+1,9/1/2022,79 m²,Partly,2,,237.02,843.2,191.79,619.85,114.39,618.19,432.8,347.63,586.67,230.14,Prague - Vršovice,50.07198,14.46205,1.0,,"CZK 40,000",Brick,Very good,G,,,,Standard,1.0,,,,,,,,
"CZK 14,500","CZK 7,000",727662,2+kk,9/1/2022,64 m²,Unfurnished,2,1.0,166.46,849.34,479.34,3122.27,366.27,524.23,1014.54,2763.04,1662.36,590.41,Prague - Dolní Počernice,50.08321,14.57635,1.0,,"CZK 43,500",Brick,New-build,G,,,Central,,1.0,1.0,,,Up to 10 years,1.0,,,
"CZK 11,500",CZK 500,727657,Studio,8/1/2022,23 m²,Partly,-1,,249.05,1298.51,202.07,945.42,111.09,404.63,240.65,327.01,265.7,149.78,Prague - Vokovice,50.09842,14.34624,,,"CZK 12,000",Brick,Very good,D,Personal,Complete,Electric boiler,Standard,,,,,,,,,
"CZK 30,000","CZK 10,000",718922,Studio,8/2/2022,45 m²,Fully furnished,5,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 2,000",727658,Studio,7/28/2022,34 m²,Fully furnished,1,1.0,739.75,1224.14,1101.34,2535.62,847.06,1131.9,1049.47,1987.95,1793.56,1084.56,Prague - Libuš,50.01514,14.46293,1.0,,"CZK 40,000",Brick,New-build,B,,,,,,,1.0,,,1.0,,,
"CZK 17,500","CZK 6,500",683853,2+kk,9/1/2022,51 m²,Fully furnished,3,1.0,110.77,1250.55,479.28,1192.14,315.55,1100.88,1161.34,843.42,457.05,275.81,"Podle Náhonu, Prague - Záběhlice",50.05446,14.48328,1.0,,"CZK 25,000",Brick,New-build,G,Personal,,Central,Standard,,1.0,,,10 to 30 years,,,,
"CZK 24,900","CZK 2,000",725593,2+kk,7/18/2022,56 m²,Partly,2,,249.75,207.6,184.22,275.89,122.97,297.68,80.66,939.83,165.92,490.29,Prague - Nové Město,50.08354,14.43059,,,"CZK 49,800",Brick,Very good,G,,Complete,,,,,,,Over 50 years,,,,
"CZK 42,000","CZK 14,000",724430,2+kk,9/15/2022,70 m²,Fully furnished,6,1.0,131.02,427.0,167.64,222.78,153.5,424.47,453.78,447.06,416.6,569.82,"Rubešova, Prague - Vinohrady",50.0782991,14.4323831,,,,,,,,,,,,1.0,,,,,,,
"CZK 32,400","CZK 10,800",722376,2 bedroom,8/14/2022,62 m²,Fully furnished,2,1.0,115.5,432.36,102.25,252.86,101.54,270.19,296.51,392.65,201.07,164.93,"U Obecního dvora, Prague - Staré Město",50.091319,14.4234523,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",719175,2 bedroom,8/9/2022,50 m²,Fully furnished,-1,1.0,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",718920,2+kk,8/4/2022,60 m²,Fully furnished,3,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,1.0,1.0,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",718218,2+kk,8/5/2022,45 m²,Fully furnished,2,1.0,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,
"CZK 74,813","CZK 24,937",722375,4+1,9/9/2022,136 m²,Fully furnished,3,1.0,305.35,609.48,123.44,435.97,59.26,202.94,375.9,628.46,401.54,92.23,"Betlémská, Prague - Staré Město",50.0837893,14.416317,,,,,,,,,,,,,,,,,,,
"CZK 25,808","CZK 8,602",725069,2 bedroom,9/6/2022,54 m²,Fully furnished,5,,221.57,827.75,176.34,604.4,98.94,602.74,417.35,332.18,571.22,245.6,"Bulharská, Prague - Vršovice",50.0720218,14.4618189,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",724600,2+kk,9/5/2022,56 m²,Fully furnished,4,,91.98,204.34,98.75,50.9,42.55,154.76,196.57,433.55,409.29,205.78,"náměstí Bratří Synků, Prague - Nusle",50.0640124,14.439955,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",717602,2+kk,8/2/2022,56 m²,Fully furnished,5,1.0,242.69,541.12,99.79,271.87,177.08,314.62,456.71,820.48,635.04,594.38,"Mečislavova, Prague - Nusle",50.0633339,14.4440155,,,,,,,,,,,,,,,,,,,
"CZK 19,100",CZK 850,566448,3+1,8/15/2022,85 m²,Unfurnished,3,,51.73,331.17,161.11,354.19,85.77,364.91,121.15,155.18,633.79,687.66,"Korunní, Prague - Vinohrady",50.0755043,14.439581,,,"CZK 38,200",Brick,Good,,Personal,Complete,Electric boiler,Standard,,,,,10 to 30 years,,,,
"CZK 13,000","CZK 3,000",723145,2+kk,8/1/2022,42 m²,Partly,,,161.0,646.53,541.8,707.65,651.16,416.78,234.74,155.58,885.16,9.37,Prague - Řepy,50.06832,14.31244,,,"CZK 26,000",Prefab concrete,Very good,G,,,Central,,1.0,,,,,,,,
"CZK 8,000","CZK 3,000",727627,2 bedroom,8/3/2022,80 m²,Partly,3,,77.59,403.02,18.88,2.27,15.24,288.54,492.46,490.65,819.56,301.09,Prague - Nové Město,50.07333,14.41618,1.0,,"CZK 13,000",Brick,Very good,G,,,,,,,,,,,,,
"CZK 13,500","CZK 2,500",727624,2+kk,10/1/2022,40 m²,Unfurnished,3,,180.88,999.84,410.24,1041.31,454.95,949.99,393.17,449.09,688.8,174.96,Prague - Michle,50.0449,14.46611,,,"CZK 27,000",Prefab concrete,Very good,C,,,,,,,,,,,,,
"CZK 25,000","CZK 6,900",727617,4+kk,7/27/2022,97 m²,Partly,2,,308.41,633.11,721.97,3020.92,780.91,3026.34,830.26,698.46,1184.91,125.3,Prague - Kolovraty,50.0108,14.62982,1.0,,"CZK 40,000",Brick,Very good,G,,,,,1.0,1.0,,,,,,,
"CZK 14,500","CZK 4,000",727618,2+kk,8/1/2022,54 m²,Fully furnished,5,1.0,352.7,1091.86,301.23,912.56,484.05,619.95,537.64,362.7,784.74,229.87,Prague - Strašnice,50.07121,14.50088,,,"CZK 25,000",Other,New-build,G,,,,,,,,,,1.0,,,
"CZK 21,990","CZK 4,373",727613,3+1,7/31/2022,69 m²,Partly,1,1.0,421.11,581.77,133.57,711.61,417.5,624.73,234.2,193.74,1545.62,233.66,"Chabařovická, Prague - Kobylisy",50.130515,14.4754525,1.0,,"CZK 26,363",Brick,Very good,G,Personal,,,,,,,,,,,"CZK 26,363",
"CZK 15,800",CZK 740,724909,2 bedroom,7/6/2022,60 m²,Unfurnished,2,,109.74,980.99,386.17,954.65,148.18,1005.58,631.08,500.51,373.2,376.53,Prague - Hostivař,50.05216,14.53013,,,"CZK 31,600",Brick,Good,G,,,,,,,,,,,,,
"CZK 13,000","CZK 2,000",727605,2+kk,7/27/2022,50 m²,Partly,3,,,,,,,,,,,,Prague - Řepy,50.0662,14.30539,,,"CZK 13,000",Prefab concrete,Very good,B,,,,,,,,,,,,,
"CZK 12,500","CZK 3,830",727602,Studio,7/27/2022,34 m²,Partly,2,1.0,419.22,1300.74,1308.62,1345.5,1021.54,1398.09,651.81,482.16,1045.55,376.02,Prague - Košíře,50.06164,14.36178,1.0,,"CZK 25,000",Other,New-build,B,,,,,,,,,,1.0,,,
"CZK 21,000","CZK 5,500",386956,3+kk,9/19/2022,85 m²,Fully furnished,5,1.0,280.58,594.53,280.71,334.69,330.61,408.9,573.31,547.03,561.08,221.57,"Na Palouku, Prague - Strašnice",50.0789836,14.4876272,1.0,,"CZK 26,500",Brick,Very good,,Personal,,Distance,,,,,,,,,,
"CZK 15,900","CZK 3,500",727603,2+kk,7/27/2022,33 m²,Unfurnished,1,,293.71,579.59,99.96,342.54,29.1,382.52,345.31,640.9,372.61,68.75,Prague - Staré Město,50.08385,14.41669,,,"CZK 15,900",Brick,Very good,G,,Complete,,Standard,,,,,Over 50 years,,,,
"CZK 28,500","CZK 6,600",691271,3+kk,9/30/2022,75 m²,Fully furnished,3,1.0,203.17,1204.35,397.85,1051.32,518.69,1097.6,996.62,686.7,724.63,557.62,"U Staré cihelny, Prague - Žižkov",50.08634,14.48319,1.0,,"CZK 40,000",Brick,New-build,B,Personal,,Central,,1.0,1.0,1.0,,Up to 10 years,1.0,,,
"CZK 18,900","CZK 5,100",727592,2 bedroom,9/19/2022,50 m²,Fully furnished,1,,409.38,1010.8,730.44,2069.31,711.39,1823.32,1767.04,913.92,857.09,1138.35,Prague - Troja,50.11821,14.42667,,1.0,"CZK 40,000",Brick,Very good,,,,,Luxurious,1.0,,1.0,,Over 50 years,,,,
"CZK 33,000","CZK 4,000",727587,4+1,7/27/2022,104 m²,Partly,2,1.0,311.43,774.88,366.8,794.37,529.41,695.98,222.51,189.87,1015.83,159.36,Prague - Libeň,50.12454,14.47613,1.0,,"CZK 35,000",Other,New-build,,Personal,,Electric boiler,,,1.0,1.0,,,,,,
"CZK 43,000","CZK 7,000",727577,3+kk,7/27/2022,103 m²,Partly,3,1.0,150.73,43.34,1.87,184.43,64.99,232.74,296.94,213.87,341.53,289.49,Prague - Vinohrady,50.07723,14.46331,,1.0,"CZK 50,000",Brick,Very good,G,Personal,Complete,Distance,Luxurious,1.0,,1.0,1.0,10 to 30 years,,,,
"CZK 13,900","CZK 5,700",603121,2+kk,9/1/2022,43 m²,,1,,144.74,565.31,142.58,179.68,127.38,197.41,357.54,413.05,450.07,192.99,"Světova, Prague - Libeň",50.1057,14.474523,,,"CZK 30,000",Brick,Good,F,Personal,,,,1.0,,,,,,,,
"CZK 11,490","CZK 3,399",727572,1 bedroom,8/1/2022,42 m²,Partly,,1.0,95.77,83.13,513.79,617.71,159.11,1125.39,626.58,760.18,633.84,806.3,"U plynárny, Prague - Michle",50.05513722222,14.45547277777,1.0,,"CZK 14,889",Brick,Very good,G,Personal,,,,1.0,,,,,,,"CZK 14,889",
"CZK 21,000","CZK 3,500",670573,4+1,8/1/2022,76 m²,Fully furnished,1,,347.67,603.74,546.27,738.32,320.63,608.08,774.63,453.42,466.05,307.56,"Květinková, Prague - Žižkov",50.08943,14.49284,,,"CZK 24,500",Prefab concrete,Good,G,Personal,,,,,,,,,,,,
"CZK 12,000","CZK 2,800",727568,1 bedroom,10/1/2022,33 m²,Fully furnished,1,,227.47,1141.23,474.24,1264.41,200.28,322.42,459.85,430.37,518.28,374.12,Prague - Modřany,50.0013,14.40581,1.0,,"CZK 30,000",Brick,Very good,G,,,,,,,1.0,,,,,,
"CZK 14,900","CZK 2,800",395003,2 bedroom,8/15/2022,40 m²,Fully furnished,2,1.0,406.92,1265.64,120.61,1021.82,393.04,372.92,508.94,294.65,280.1,282.22,"Písečná, Prague - Troja",50.1241075,14.4393621,,,"CZK 30,000",Prefab concrete,Very good,,Personal,Complete,Distance,Standard,1.0,,,,,,,,
"CZK 15,000","CZK 1,800",545848,2 bedroom,8/1/2022,49 m²,Partly,1,,173.27,1025.47,133.71,559.96,129.28,588.5,460.88,303.16,221.32,257.05,Prague - Libeň,50.1072306,14.4876828,,,"CZK 40,000",Brick,Very good,C,Cooperative,Complete,Gas boiler,,,,,,,,,,
"CZK 11,500","CZK 3,610",727557,Studio,8/1/2022,35 m²,Fully furnished,2,,437.95,1088.63,770.88,1128.76,421.17,1048.36,783.13,938.97,629.24,270.31,Prague - Stodůlky,50.03679,14.32827,1.0,,"CZK 20,000",Brick,Very good,D,,,,,,,,,,,,,
"CZK 13,000","CZK 3,000",727551,2+kk,7/27/2022,44 m²,Fully furnished,6,1.0,410.91,546.67,483.03,689.17,383.87,551.01,711.39,390.18,529.29,244.32,Prague - Žižkov,50.08961,14.49286,1.0,,"CZK 32,000",Prefab concrete,Good,A,,,,,1.0,,,,,,,,
"CZK 17,000","CZK 3,000",726943,2+kk,8/1/2022,52 m²,Partly,1,,313.44,1874.42,398.41,1594.22,524.81,410.96,1311.56,55.55,1378.06,594.4,Prague - Břevnov,50.07746,14.33701,,1.0,"CZK 20,000",Brick,Very good,G,,,,,,,,,,,,,
"CZK 50,000","CZK 3,000",727531,3+kk,7/27/2022,119 m²,Partly,5,1.0,175.72,338.13,169.76,216.77,145.26,173.83,550.73,732.66,735.27,303.35,Prague - Michle,50.04836,14.44483,1.0,,"CZK 50,000",Brick,Very good,D,,,,,1.0,,1.0,,,,,,
"CZK 30,000","CZK 3,000",716384,3+kk,6/1/2022,77 m²,Partly,7,1.0,333.31,299.19,45.56,214.52,54.5,38.78,271.42,790.21,190.1,583.95,"Opletalova, Prague - Nové Město",50.08123,14.42982,1.0,,"CZK 30,000",Brick,Very good,G,Personal,Interior,Distance,Luxurious,,,1.0,1.0,Up to 10 years,,,,
"CZK 15,000",CZK 682,727527,Studio,9/1/2022,32 m²,Unfurnished,2,1.0,132.93,1232.34,483.29,486.74,1.83,489.97,795.86,377.21,363.51,546.7,"5. května, Prague - Nusle",50.05624815,14.43716165,,,"CZK 31,400",Brick,Good,E,Personal,,,,1.0,,,,,,,,
"CZK 18,000","CZK 6,842",723669,2 bedroom,8/1/2022,52 m²,Partly,5,,335.02,414.88,193.82,445.36,167.41,386.08,241.36,360.95,701.29,238.6,Prague - Krč,50.04501,14.44388,,,"CZK 36,000",Prefab concrete,Very good,B,,Complete,,Standard,,,,,,,,,
"CZK 14,000","CZK 4,000",726883,2+kk,7/21/2022,39 m²,Fully furnished,2,1.0,54.25,793.37,102.25,3050.1,248.29,43.99,839.48,1440.15,1022.95,677.0,Prague - Čakovice,50.15084,14.531,,,"CZK 28,000",Prefab concrete,Very good,C,Personal,,,,1.0,,,,,,,,
