Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Age,Total number of floors,Design,Front garden,Heating,Renovation,New building,Developer name,Project name,Kód jednotky
468373,"CZK 15,000",50.0886582,14.4839684,"Olgy Havlové, Prague - Žižkov",1 bedroom with open-plan kitchen,New build,51 m²,"CZK 2,800",,,Personal,Low-energy building,Partially furnished,3,No,No,No,No,No,Yes,No,B,391,821,433,633,148,676,500,368,365,124,,,,,,,,Yes,,,
560871,"CZK 19,000",50.0467784,14.5206332,Prague - Hostivař,2 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 5,000","CZK 20,000",,Personal,Prefab concrete building,Partially furnished,1,No,No,Yes,Yes,Yes,Yes,No,B,210,"1,221",293,"1,184",263,351,564,285,"1,054",71,16. 06. 2022,,Middle floor,Premium materials and solutions,,District heating,Overall,,,,
710699,"CZK 9,990",50.02972083333,14.44998888888,"Štúrova, Prague - Krč",Studio,Good,26 m²,"CZK 3,100","CZK 13,090","CZK 13,090

                                
                                
                
i",Personal,Prefab concrete building,Partially furnished,,No,No,No,No,No,No,No,G,113,"1,284",200,101,713,832,"1,163",548,369,,,,,,,,,,,,
683821,"CZK 23,000",50.05484,14.44049,"Spolupráce, Prague - Nusle",2 bedroom with open-plan kitchen,Excellent,58 m²,"CZK 3,200","CZK 23,000",,Personal,Brick building,Furnished,5,No,Yes,No,No,No,No,No,G,184,"1,129",323,565,140,485,462,303,711,319,01. 04. 2022,,,Premium materials and solutions,,Gas boiler,Interior,,,,
710118,"CZK 17,000",50.06355,14.45312,"Petrohradská, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,60 m²,"CZK 1,000","CZK 20,000",,Personal,Brick building,Unfurnished,5,No,Yes,No,No,No,Yes,No,G,127,584,125,706,5,569,367,393,371,450,14. 03. 2022,,,,,,,,,,
575334,"CZK 25,000",50.0312027,14.4462594,"Pod Višňovkou, Prague - Krč",3 bedroom,Excellent,98 m²,"CZK 7,000","CZK 30,000",,Personal,Brick building,Furnished,1,Yes,No,No,No,No,No,Yes,D,138,"1,466",435,"1,412",434,856,882,"1,114",934,755,01. 05. 2022,,Raised ground floor,,500 m²,Gas boiler,Overall,,,,
695007,"CZK 14,000",50.101802239666,14.452645931906,"Tusarova, Prague - Holešovice",Studio,New build,30 m²,"CZK 2,500","CZK 18,000",,Personal,Brick building,Furnished,5,No,No,No,No,No,Yes,No,B,171,523,79,246,9,188,385,347,96,262,01. 04. 2022,,,,,,,,,,
710458,"CZK 5,000",50.08156,14.64289,"Nesměřická, Prague - Újezd nad Lesy",Other,Excellent,25 m²,,CZK 500,,Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,G,359,851,433,768,887,703,310,,,,05. 04. 2022,,,Standard materials and solutions,10 m²,,,,,,
180914,"CZK 11,000",50.0621567,14.4516187,"Bartoškova, Prague - Nusle",Studio,,45 m²,"CZK 2,700","CZK 22,000",,Cooperative,Brick building,Furnished,2,No,No,No,No,No,No,No,,253,848,363,583,381,720,611,191,837,248,,,,,,,,,,,
539268,"CZK 11,500",49.9848776,14.3593628,"náměstí Osvoboditelů, Prague - Radotín",1 bedroom with open-plan kitchen,,48 m²,"CZK 3,500","CZK 15,000",,Personal,Prefab concrete building,Partially furnished,8,No,No,Yes,No,No,Yes,No,,199,172,98,548,148,422,532,727,496,45,01. 05. 2022,,,,,,,,,,
705700,"CZK 14,000",49.99128,14.40904,"U Vlečky, Prague - Modřany",1 bedroom with open-plan kitchen,Good,46 m²,"CZK 4,000","CZK 25,000",,Personal,Low-energy building,Partially furnished,3,No,No,Yes,No,Yes,Yes,No,G,258,214,226,"1,151",29,,,,,,15. 02. 2022,,,,,,Interior,,,,
646029,"CZK 10,000",50.07513,14.38313,"U Pernikářky, Prague - Smíchov",Studio,Excellent,21 m²,"CZK 2,043","CZK 15,000",,Personal,Brick building,Partially furnished,2,No,No,Yes,No,No,Yes,No,D,533,"1,143",696,"1,324",746,"1,383",721,327,"1,097",363,27. 07. 2021,,,,,,,,,,
