Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Ownership,Heating,Age,New-build,Parking,Cellar,Lift,Designe,Reconstruction,Balkón 4 m²,Garage,Sklep 2 m²,Balkón 5 m²,Lodžie 4 m²,Lodžie 3 m²,Sklep 5 m²,Balkón 6 m²,Balkón 4.21 m²,Sklep 3 m²,Sklep 1 m²,Domácí mazlíčci vítáni,Lodžie 6 m²,Balkón 2 m²,Balkón 1 m²,Balkón 10 m²,Balcony,Terrace,Terasa 5 m²,Sklep 36 m²,Sklep 7 m²,Terasa 20 m²,Terasa 8 m²,Terasa 25 m²,Balkón 7 m²,Sklep 4 m²,Balkón 40 m²,Terasa 50 m²,Sklep 6.1 m²,Lodžie 7 m²,Terasa 40 m²,Terasa 12 m²,Terasa 15 m²,Administrative fee,Enclosed balcony,Terasa 36 m²,Balkón 11 m²,Terasa 14 m²,Sklep 6 m²,Balkón 3 m²,Terasa 100 m²,Balkón 0 m²,Sklep 10 m²,Lodžie 10 m²,Terasa 60 m²,Terasa 7 m²,Balkón 72 m²,Balkón 8 m²,Sklep 1.5 m²,Lodžie 10.8 m²,Sklep 3.6 m²,Balkón 14 m²,Terasa 49 m²,Terasa 28 m²,Balkón 3.7 m²,Terasa 16 m²,Lodžie 16 m²,Terasa 37 m²,Lodžie 5 m²,Lodžie 9 m²,Balkón 9 m²,Balkón 18 m²,Lodžie 18 m²,Terasa 18 m²,Terasa 22 m²,Terasa 6 m²,Sklep 8 m²,Terasa 29 m²,Terasa 3.1 m²,Terasa 35 m²,Balkón 1.5 m²,Sklep 2.8 m²,Balkón 90 m²,Sklep 2.5 m²,Lodžie 8.2 m²,Terasa 11 m²,Terasa 34 m²,Lodžie 8 m²,Balkón 50 m²,Lodžie 12 m²,Sklep 20 m²,Lodžie 2 m²,Terasa 21 m²,Terasa 9 m²,Balkón 13 m²,Balkón 15 m²,Sklep 2.9 m²,Balkón 2.3 m²,Balkón 60 m²,Sklep 10.1 m²,Plot type,Sklep 12 m²,Balkón 12 m²,Terasa 30 m²,Balkón 20 m²,Terasa 80 m²,Terasa 66 m²,Sklep 9 m²,Terasa 13 m²,Terasa 3 m²,Lodžie 4.5 m²,Balkón 16 m²,Plot space,Terasa 10 m²,Balkón 3.5 m²,Terasa 9.8 m²,Terasa 78 m²,Terasa 2 m²,Lodžie 15 m²,Lodžie 7.1 m²,Lodžie 20 m²,Balkón 29 m²,Terasa 70 m²,Terasa 300 m²,Balkón 2.6 m²,Lodžie 6.1 m²,Terasa 32 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 200 m²,Sklep 6.4 m²
"CZK 11,400","CZK 3,800",,750439,3+1,1/10/2023,3,,,Fully furnished,,,167.6,1136.36,471.96,1225.73,639.79,604.4,380.84,967.44,280.7,269.46,"náměstí Před Bateriemi, Prague - Střešovice",50.0904295,14.3730244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,800","CZK 6,600",,752180,3+kk,1/19/2023,2,,90 m²,Fully furnished,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,743","CZK 8,247",,751231,2+kk,1/15/2023,1,,56 m²,Fully furnished,,,367.14,971.43,109.11,519.79,345.16,908.48,267.85,184.01,845.29,349.25,"U Družstva Život, Prague - Nusle",50.0559404,14.4464229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 33,675","CZK 11,225",,750070,2+kk,12/2/2022,2,,55 m²,Fully furnished,,,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,947","CZK 4,982",,751530,Studio,1/17/2023,1,,19 m²,Fully furnished,,,126.19,670.53,145.31,408.99,138.64,543.24,178.24,219.08,298.17,317.3,"Kodaňská, Prague - Vršovice",50.0701958,14.4617404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,500","CZK 3,500","CZK 45,000",752074,2+kk,12/1/2022,1,G,47 m²,Partly,Very good,Prefab concrete,392.1,1436.7,482.19,1000.33,326.12,863.47,149.63,736.87,913.99,435.45,Prague - Karlín,50.09386,14.46422,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 52,500","CZK 17,500",,731817,2+kk,1/2/2023,3,,80 m²,Fully furnished,,,281.86,547.59,69.97,211.73,9.84,221.9,245.36,614.41,367.39,520.5,"Ve Smečkách, Prague - Nové Město",50.0795975,14.4273504,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 31,875","CZK 10,625",,746367,2 bedroom,11/30/2022,7,,57 m²,Fully furnished,,,7.74,76.74,105.28,213.89,45.41,117.47,178.45,327.18,381.26,239.99,"Dělnická, Prague - Holešovice",50.1031132,14.4472134,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,750","CZK 9,250",,750278,2+kk,1/8/2023,5,,56 m²,Fully furnished,,,240.81,540.67,44.44,271.87,34.53,284.1,466.7,624.38,640.6,582.46,"Mečislavova, Prague - Nusle",50.0633339,14.4440155,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 5,000","CZK 25,000",752945,Studio,1/1/2023,3,A,35 m²,Fully furnished,Very good,Brick,104.52,458.06,27.08,154.99,26.12,172.31,211.1,293.72,219.21,230.39,"Haštalská, Prague - Staré Město",50.09074,14.42252,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 3,000",CZK 1,750054,2+kk,11/8/2022,1,B,73 m²,Partly,New-build,Brick,299.09,1278.15,884.76,1206.38,1154.98,798.06,899.09,1094.46,1699.45,808.78,Prague - Uhříněves,50.03621,14.57374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 59,250","CZK 19,750",,717599,4+kk,11/28/2022,2,,90 m²,Fully furnished,,,140.09,527.92,223.64,125.85,37.89,66.77,510.79,1001.31,1180.94,559.23,"Stroupežnického, Prague - Smíchov",50.0710929,14.4032595,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 40,500","CZK 13,500",,733049,3+kk,12/11/2022,5,,78 m²,Fully furnished,,,122.69,292.83,150.02,222.27,31.53,246.25,406.08,512.95,283.22,254.06,"Křižíkova a, Prague - Karlín",50.0928722,14.4500782,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 41,100","CZK 13,700",,750069,2+kk,12/30/2022,2,,68 m²,Fully furnished,,,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,400","CZK 5,000","CZK 60,000",599410,2+kk,1/2/2023,5,F,81 m²,Partly,Very good,Brick,197.97,916.53,147.9,589.08,91.76,171.73,397.33,338.31,673.33,430.76,"Bořivojova, Prague - Žižkov",50.082411,14.446713,Personal,Gas boiler,Up to 10 years,,,,1.0,Standard,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,500","CZK 4,500","CZK 45,000",528601,2 bedroom,12/1/2022,2,D,70 m²,Partly,Very good,Brick,255.27,1028.87,319.89,1053.27,311.64,495.83,715.17,521.33,473.07,403.17,Prague - Smíchov,50.0599289,14.3998514,Personal,Central,Up to 10 years,,,,,Standard,Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,800","CZK 2,474","CZK 20,000",752941,Studio,11/23/2022,4,B,31 m²,Partly,New-build,Brick,447.93,1351.19,688.97,1332.74,900.69,698.35,1282.3,1302.57,870.55,271.96,"Modrého, Prague - Hloubětín",50.10555,14.52163,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 55,399","CZK 18,466",,717682,2+kk,11/28/2022,6,,69 m²,Fully furnished,,,104.56,349.59,143.75,145.93,108.83,150.53,431.56,393.96,289.53,329.01,"Na Maninách, Prague - Holešovice",50.1025661,14.4522431,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 39,600","CZK 13,200",,717648,2+kk,12/18/2022,2,,46 m²,Fully furnished,,,249.05,258.88,108.69,237.41,65.07,536.83,294.74,273.73,806.33,231.2,"Míšeňská, Prague - Malá Strana",50.0876118,14.4080467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 33,000","CZK 3,500","CZK 50,000",752938,3+kk,12/22/2022,3,G,81 m²,Fully furnished,Very good,Brick,185.5,1013.48,244.95,434.37,134.29,404.84,541.48,322.03,97.7,128.35,"Pod Děkankou, Prague - Nusle",50.05586,14.43029,Personal,Central,10 to 30 years,,,,1.0,Luxurious,Complete,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 3,000","CZK 20,000",550800,Studio,11/25/2022,3,C,36 m²,Fully furnished,New-build,Brick,298.8,895.62,551.47,756.44,676.07,352.2,453.22,615.55,1253.59,362.91,"Modenská, Prague - Horní Měcholupy",50.0401942,14.5684528,Personal,Central,Up to 10 years,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,500","CZK 2,665","CZK 22,000",751765,2+kk,12/1/2022,2,A,50 m²,Partly,New-build,Low-energy,419.78,1447.14,349.51,1340.87,428.72,1023.74,1194.45,1401.35,500.64,185.1,"Kolbenova, Prague - Vysočany",50.109598221878,14.518618318482,Personal,,Up to 10 years,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,250","CZK 6,750",,749068,1 bedroom,12/31/2022,3,,30 m²,Fully furnished,,,169.94,657.22,187.03,47.07,30.44,118.16,20.05,94.58,357.1,201.44,"Ječná, Prague - Nové Město",50.0756771,14.4268037,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 48,645","CZK 16,215",,732720,3+1,12/20/2022,2,,55 m²,Fully furnished,,,158.42,248.82,154.82,246.13,112.68,264.3,390.21,408.3,154.53,114.55,"Řásnovka, Prague - Staré Město",50.0918754,14.4250902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 74,813","CZK 24,937",,740299,4+1,1/2/2023,3,,136 m²,Fully furnished,,,305.35,603.07,123.44,366.02,52.59,406,368.79,628.46,396.1,92.23,"Betlémská, Prague - Staré Město",50.0837893,14.416317,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,900","CZK 4,000",CZK 0,621047,2+kk,1/1/2023,5,D,46 m²,Partly,Very good,Brick,151.94,426.72,190.13,165.94,85.24,172.55,318.39,256.06,641.77,65.64,"Pod Kavalírkou, Prague - Košíře",50.069542,14.370718,Personal,Gas boiler,,,,,,Standard,Interior,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 1,400","CZK 30,000",752057,Studio,12/1/2022,1,G,30 m²,Fully furnished,Very good,Brick,198.44,966.6,376.16,357.54,334.94,790.38,762.36,269.69,1122.57,420.11,"Velvarská, Prague - Dejvice",50.09931,14.38416,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 4,000","CZK 14,000",752776,2+kk,11/22/2022,2,G,45 m²,Partly,Very good,Prefab concrete,353.35,1394.38,170.91,1735.49,605.0,546.2,264.82,861.05,1780.34,214.12,"Zdiměřická, Prague - Chodov",50.0225,14.51278,Personal,Central,,,,,1.0,Standard,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,250","CZK 8,750",,748922,Studio,1/8/2023,5,,45 m²,Fully furnished,,,239.73,541.75,45.52,270.79,35.61,285.18,465.63,625.46,639.52,581.38,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,925","CZK 10,975",,747955,1 bedroom,1/2/2023,3,,30 m²,Fully furnished,,,22.29,481.37,107.82,95.32,6.34,158.39,351.4,425.94,380.79,468.94,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 6,000","CZK 30,000",752930,1 bedroom,11/23/2022,4,G,44 m²,Unfurnished,Very good,Brick,174.96,394.24,117.24,137.89,146.05,137.66,437.73,683.8,648.51,516.31,"Vlastislavova, Prague - Nusle",50.06435,14.44294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,500","CZK 4,800","CZK 25,000",752296,Studio,11/20/2022,3,A,39 m²,Partly,New-build,Brick,86.33,2057.17,1706.67,2166.55,1721.91,2098.17,2245.57,2284.04,2433.36,177.03,"V Pitkovičkách, Prague - Pitkovice",50.02361,14.57837,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,000","CZK 4,800","CZK 12,000",714371,Studio,12/1/2022,3,E,30 m²,Fully furnished,New-build,Brick,98.04,853.28,355.68,916.94,70.49,1068.89,629.28,1097.04,110.13,362.22,"Na Radosti, Prague - Zličín",50.05974,14.2945,Personal,,Up to 10 years,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,800","CZK 4,460","CZK 24,000",752927,2+kk,12/1/2022,1,C,84 m²,Fully furnished,New-build,Brick,219.33,344.26,333.98,328.72,114.56,340.22,868.07,877.6,693.31,266.48,"Mikanova, Prague - Záběhlice",50.05348,14.51329,Personal,Central,Up to 10 years,,,,,Luxurious,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,588","CZK 7,862",,750787,1 bedroom,1/2/2023,3,,35 m²,Fully furnished,,,97.26,259.91,105.72,291.36,79.07,194.41,340.41,525.24,106.28,298.87,"Koněvova, Prague - Žižkov",50.088447,14.458108,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 2,000","CZK 42,000",752784,3+kk,11/22/2022,3,G,63 m²,Unfurnished,Very good,Prefab concrete,295.0,282.03,51.42,368.93,84.79,321.09,279.71,162.97,369.32,76.55,"Mendelova, Prague - Háje",50.03324,14.53196,,Central,,,1.0,,1.0,,Complete,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 3,500","CZK 45,000",751051,2+kk,12/1/2022,6,G,60 m²,Fully furnished,Very good,Brick,234.26,729.44,226.47,415.76,218.78,485.2,392.89,265.43,309.44,258.16,"Lumírova, Prague - Nusle",50.06359,14.4238,,,10 to 30 years,,,,1.0,Standard,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,800","CZK 6,600",,744347,3+1,12/13/2022,5,,90 m²,Fully furnished,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 5,000","CZK 22,000",533976,2+kk,5/15/2021,1,G,58 m²,Partly,Very good,Brick,152.95,354.12,124.22,186.46,95.47,138.16,621.51,297.9,707.09,208.98,"Sudoměřská, Prague - Žižkov",50.0781436,14.4597148,Personal,Electric boiler,Up to 10 years,,,,1.0,Luxurious,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 3,000","CZK 30,000",752043,2+kk,11/18/2022,1,D,60 m²,Unfurnished,Very good,Brick,78.71,377.97,227.59,358.64,152.04,353.44,376.95,462.03,319.61,386.65,"Na Zlatnici, Prague - Podolí",50.0579,14.42437,,,,,,,,,Interior,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,900","CZK 4,000","CZK 40,000",91826,2+kk,1/1/2023,1,,60 m²,Unfurnished,New-build,Brick,302.91,1584.44,308.23,1288.06,399.79,603.29,178.73,455.43,963.11,544.24,"Strančická, Prague - Strašnice",50.0651735,14.4972273,Personal,Central,Up to 10 years,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 3,000","CZK 18,000",748616,2+kk,11/1/2022,1,G,40 m²,Fully furnished,Very good,Brick,168.35,2672.43,167.24,2811.16,413.31,249.09,441.15,828.01,511.4,225.1,Prague - Šeberov,50.0121,14.51519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 4,000","CZK 30,000",752912,1 bedroom,12/4/2022,5,G,40 m²,Fully furnished,Very good,Brick,94.09,254.81,125.6,270.58,63.77,510.81,406.85,405.72,174.1,303.95,Prague - Libeň,50.10408,14.47984,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 2,500","CZK 27,000",729950,Studio,8/22/2022,2,G,28 m²,Unfurnished,Very good,Brick,111.85,1169.22,640.68,883.83,539.37,955.29,719.13,425.1,588.16,295.46,Prague - Žižkov,50.08774,14.47907,Personal,Electric boiler,,,,,1.0,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 35,250","CZK 11,750",,748395,Studio,12/3/2022,1,,56 m²,Fully furnished,,,96.44,280.97,14.82,508.63,72.69,336.4,388.51,158.74,542.27,280.28,"Korunní, Prague - Vinohrady",50.075535,14.4452886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 45,750","CZK 15,250",,744738,3+1,11/28/2022,1,,72 m²,Fully furnished,,,259.15,217.0,193.62,285.29,113.57,307.09,74.34,930.42,156.52,482.04,"Růžová, Prague - Nové Město",50.0835446,14.4307958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,500","CZK 2,399","CZK 27,899",647662,2 bedroom,11/30/2022,4,D,80 m²,Partly,Very good,Brick,151.76,672.17,40.9,444.13,81.51,447.16,261.76,307.57,546.62,276.84,"Slovinská, Prague - Vršovice",50.07161,14.459453,Personal,Gas boiler,,,,,1.0,Standard,Complete,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
