Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Ownership,Heating,Age,New-build,Parking,Cellar,Lift,Designe,Reconstruction,Balkón 4 m²,Garage,Sklep 2 m²,Balkón 5 m²,Lodžie 4 m²,Lodžie 3 m²,Sklep 5 m²,Balkón 6 m²,Balkón 4.21 m²,Sklep 3 m²,Sklep 1 m²,Domácí mazlíčci vítáni,Lodžie 6 m²,Balkón 2 m²,Balkón 1 m²,Balkón 10 m²,Balcony,Terrace,Terasa 5 m²,Sklep 36 m²,Sklep 7 m²,Terasa 20 m²,Terasa 8 m²,Terasa 25 m²,Balkón 7 m²,Sklep 4 m²,Balkón 40 m²,Terasa 50 m²,Sklep 6.1 m²,Lodžie 7 m²,Terasa 40 m²,Terasa 12 m²,Terasa 15 m²,Administrative fee,Enclosed balcony,Terasa 36 m²,Balkón 11 m²,Terasa 14 m²,Sklep 6 m²,Balkón 3 m²,Terasa 100 m²,Balkón 0 m²,Sklep 10 m²,Lodžie 10 m²,Terasa 60 m²,Terasa 7 m²,Balkón 72 m²,Balkón 8 m²,Sklep 1.5 m²,Lodžie 10.8 m²,Sklep 3.6 m²,Balkón 14 m²,Terasa 49 m²,Terasa 28 m²,Balkón 3.7 m²,Terasa 16 m²,Lodžie 16 m²,Terasa 37 m²,Lodžie 5 m²,Lodžie 9 m²,Balkón 9 m²,Balkón 18 m²,Lodžie 18 m²,Terasa 18 m²,Terasa 22 m²,Terasa 6 m²,Sklep 8 m²,Terasa 29 m²,Terasa 3.1 m²,Terasa 35 m²,Balkón 1.5 m²,Sklep 2.8 m²,Balkón 90 m²,Sklep 2.5 m²,Lodžie 8.2 m²,Terasa 11 m²,Terasa 34 m²,Lodžie 8 m²,Balkón 50 m²,Lodžie 12 m²,Sklep 20 m²,Lodžie 2 m²,Terasa 21 m²,Terasa 9 m²,Balkón 13 m²,Balkón 15 m²,Sklep 2.9 m²,Balkón 2.3 m²,Balkón 60 m²,Sklep 10.1 m²,Plot type,Sklep 12 m²,Balkón 12 m²,Terasa 30 m²,Balkón 20 m²,Terasa 80 m²,Terasa 66 m²,Sklep 9 m²,Terasa 13 m²,Terasa 3 m²,Lodžie 4.5 m²,Balkón 16 m²,Plot space,Terasa 10 m²,Balkón 3.5 m²,Terasa 9.8 m²,Terasa 78 m²,Terasa 2 m²,Lodžie 15 m²,Lodžie 7.1 m²,Lodžie 20 m²,Balkón 29 m²,Terasa 70 m²,Terasa 300 m²,Balkón 2.6 m²,Lodžie 6.1 m²,Terasa 32 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 200 m²,Sklep 6.4 m²
"CZK 11,900","CZK 3,500","CZK 15,400",753396,Studio,2/1/2023,4,G,32 m²,Fully furnished,Very good,Brick,146.4,263.57,135.5,233.43,146.82,147.29,329.47,279.05,1027.79,153.0,"Sluneční náměstí, Prague - Stodůlky",50.05049,14.34209,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 3,000","CZK 16,500",752541,Studio,1/1/2023,3,B,33 m²,Partly,New-build,Prefab concrete,600.15,938.21,1258.49,1517.16,202.13,1054.39,1343.63,1171.63,324.3,162.26,Prague - Letňany,50.14234,14.52168,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 4,800","CZK 19,000",753395,2+kk,12/1/2022,5,G,43 m²,Partly,Very good,Prefab concrete,198.1,874.04,411.95,914.01,182.96,943.36,644.34,449.24,325.16,328.49,"Hostivařská, Prague - Hostivař",50.05143,14.52727,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 3,000","CZK 30,000",753393,Studio,12/1/2022,6,B,43 m²,Partly,New-build,Brick,176.21,1286.64,237.36,961.18,298.44,796.92,237.53,942.17,1226.43,1052.29,"Čerpadlová, Prague - Vysočany",50.10186,14.50525,,Central,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 7,000","CZK 50,000",753394,3+kk,1/1/2023,3,B,70 m²,Partly,New-build,Low-energy,494.15,955.32,805.51,1047.1,864.5,907.4,1036.81,809.68,1580.66,861.39,Prague - Uhříněves,50.03403,14.58734,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,000",CZK 0,CZK 0,753391,1 bedroom,11/26/2022,3,G,40 m²,Fully furnished,Very good,Brick,134.16,820.95,179.9,1043.55,116.63,362.12,703.4,509.56,835.0,564.06,"Na Neklance, Prague - Smíchov",50.06084,14.40077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 4,500","CZK 30,000",753390,3+1,12/19/2022,5,,65 m²,Partly,Very good,Prefab concrete,123.12,255.38,213.66,226.11,302.74,281.67,592.21,466.63,881.66,460.11,"Nad Lesním divadlem, Prague - Braník",50.02595,14.43543,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,185","CZK 9,395",,752745,2+kk,12/1/2022,2,,48 m²,Fully furnished,,,135.11,912.46,214.19,950.58,205.94,453.63,610.43,416.59,742.03,542.67,"Na Neklance, Prague - Smíchov",50.0605987,14.3995526,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 30,675","CZK 10,225",,742158,Studio,11/28/2022,2,,30 m²,Fully furnished,,,210.86,390.29,319.5,985.86,301.65,338.01,858.33,290.45,385.77,539.9,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,925","CZK 10,975",,745540,2 bedroom,11/28/2022,-1,,50 m²,Fully furnished,,,210.86,390.29,319.5,985.86,301.65,338.01,858.33,290.45,385.77,539.9,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
