Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Heating,Total number of floors,PENB,Design,Renovation,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky
704571,"CZK 12,000",50.08951,14.47416,"Viklefova, Prague - Žižkov",1 bedroom with open-plan kitchen,39 m²,"CZK 3,000",Partially furnished,1,No,No,Yes,No,No,No,No,01. 02. 2022,320,920,226,350,108,208,287,241,449,356,Excellent,"CZK 24,000",Personal,Brick building,,,,G,,,,,,,,
563681,"CZK 10,500",50.054462,14.483288,"Podle náhonu, Prague - Záběhlice",Studio,40 m²,"CZK 3,400",Furnished,3,Yes,No,No,No,No,Yes,No,01. 03. 2022,118,"1,266",479,"1,207",316,"1,104","1,104",852,457,276,Excellent,"CZK 15,000",Personal,Brick building,,District heating,,,,,,,,,,
704564,"CZK 13,000",50.0647,14.45137,"Novgorodská, Prague - Vršovice",1 bedroom with open-plan kitchen,45 m²,CZK 900,Partially furnished,1,No,No,No,No,No,Yes,No,14. 02. 2022,131,500,133,623,116,428,284,558,288,466,Excellent,"CZK 26,000",Personal,Brick building,,,,G,,,,,,,,
704562,"CZK 10,500",50.06632,14.42646,"Sekaninova, Prague - Nusle",Small studio,28 m²,CZK 700,Partially furnished,2,No,No,Yes,No,No,No,No,01. 02. 2022,272,"1,052",215,452,150,412,739,827,443,114,Excellent,"CZK 10,000",Personal,Brick building,,Other,Middle floor,G,Standard materials and solutions,Interior,,,,,,
705262,"CZK 12,000",50.04902,14.3506,"Ovčí hájek, Prague - Stodůlky",1 bedroom with open-plan kitchen,43 m²,"CZK 2,315",Partially furnished,5,No,No,Yes,No,No,Yes,No,05. 02. 2022,255,864,218,407,226,302,317,214,"1,264",238,Good,"CZK 24,000",Personal,Prefab concrete building,,,Middle floor,G,Standard materials and solutions,,,,,,,
705261,"CZK 15,000",50.1033853,14.402519,"Puškinovo náměstí, Prague - Bubeneč",1 bedroom with open-plan kitchen,61 m²,"CZK 3,500",Partially furnished,4,No,No,No,No,No,Yes,No,05. 02. 2022,234,810,145,419,111,493,307,402,526,35,Excellent,"CZK 15,000",Personal,Brick building,,Central heating,Middle floor,E,,,,,,,,
704560,"CZK 9,900",50.0522,14.53259,"Hornoměcholupská, Prague - Hostivař",Small studio,24 m²,"CZK 2,640",Furnished,,No,No,Yes,No,No,Yes,No,01. 02. 2022,203,"1,050",479,"1,104",42,"1,050",480,698,562,565,Excellent,"CZK 12,640",Personal,Brick building,1 to 10 years years,District heating,Ground floor,G,,Overall,,,,,,
524714,"CZK 22,000",50.0817465,14.4271892,"Václavské náměstí, Prague - Nové Město",Studio,80 m²,"CZK 3,000",Furnished,2,No,No,No,No,No,Yes,No,04. 05. 2020,159,379,137,87,20,155,398,847,114,372,,"CZK 25,000",Other,Brick building,,,,,,,,,,,,
693247,"CZK 21,000",50.08758,14.45659,"Lukášova, Prague - Žižkov",2 bedroom with open-plan kitchen,65 m²,"CZK 5,600",Partially furnished,3,No,No,Yes,No,No,Yes,No,01. 04. 2022,203,100,38,451,36,34,164,333,69,281,Excellent,"CZK 21,000",Personal,Brick building,,,,G,,,,,,,,
699478,"CZK 15,000",50.10187,14.36356,"Nad Šárkou, Prague - Dejvice",1 bedroom with open-plan kitchen,55 m²,"CZK 3,500",Partially furnished,1,No,No,Yes,No,No,No,No,24. 01. 2022,341,748,833,384,579,649,876,673,"1,037",420,Excellent,"CZK 20,000",Personal,Brick building,,,,G,,,,,,,,
705255,"CZK 10,500",50.05484,14.43963,"Na Veselí, Prague - Nusle",Studio,38 m²,"CZK 3,000",Partially furnished,2,No,No,Yes,No,No,No,No,21. 02. 2022,145,"1,043",315,479,54,399,551,217,626,328,Excellent,"CZK 20,000",Cooperative,Brick building,,,,G,,,,,,,,
679998,"CZK 37,500",50.0932606,14.457484,"Lyčkovo náměstí, Prague - Karlín",1 bedroom,46 m²,"CZK 12,500",Furnished,3,No,No,No,No,No,Yes,No,07. 02. 2022,254,835,179,436,125,299,66,"1,356",350,193,,,,,,,,,,,,,,,,
491837,"CZK 9,900",50.1245981,14.4959949,"Českolipská, Prague - Střížkov",1 bedroom,27 m²,"CZK 3,700",Furnished,5,No,No,No,No,No,No,No,,299,231,251,182,174,336,518,336,"1,054",191,,,Personal,Prefab concrete building,,,,,,,,,,,,
203657,"CZK 14,200",50.1155867,14.4743483,"Na sypkém, Prague - Libeň",1 bedroom with open-plan kitchen,55 m²,"CZK 3,500",Furnished,2,Yes,No,Yes,No,Yes,Yes,No,20. 02. 2022,143,"1,362",395,"1,237",150,656,536,"1,350",883,321,New build,"CZK 17,700",Personal,Brick building,1 to 10 years years,,Middle floor,,,,Yes,,,,,
221478,"CZK 10,500",50.1248198,14.4963623,"Českolipská, Prague - Střížkov",Studio,31 m²,"CZK 2,500",Furnished,6,No,No,No,Yes,No,Yes,No,03. 02. 2022,263,267,231,218,210,341,384,335,"1,061",155,,"CZK 10,500",Personal,Prefab concrete building,,District heating,Middle floor,,Standard materials and solutions,Overall,,,,,,
690184,"CZK 60,000",50.0757302,14.4269087,"Ječná, Prague - Nové Město",1 bedroom with open-plan kitchen,,"CZK 20,000",Furnished,3,No,No,No,No,No,No,No,07. 02. 2022,177,647,182,40,38,122,28,102,350,194,,,,,,,,,,,,,,,,
704699,"CZK 33,000",50.0626569,14.3913498,"Xaveriova, Prague - Smíchov",4 bedroom,102 m²,"CZK 11,000",Furnished,2,Yes,No,No,No,No,No,No,07. 02. 2022,188,955,416,742,203,"1,118",820,240,504,294,,,,,,,,,,,,,,,,
226489,"CZK 18,000",50.1038989,14.4542366,"V háji, Prague - Holešovice",2 bedroom,85 m²,CZK 750,Unfurnished,2,Yes,No,No,No,No,Yes,No,01. 04. 2022,92,623,49,251,73,160,727,660,189,503,,"CZK 18,000",,Brick building,,,,,,,,,,,,
705249,"CZK 9,500",50.12473,14.48906,"Rumburská, Prague - Střížkov",Studio,34 m²,"CZK 2,300",Furnished,1,No,No,Yes,Yes,Yes,Yes,No,07. 02. 2022,193,862,218,800,375,290,531,254,374,134,Excellent,"CZK 11,800",Personal,Prefab concrete building,,,,D,,,,,,,,
21053,"CZK 20,000",50.0564497,14.4410954,"Na Veselí, Prague - Nusle",2 bedroom,60 m²,"CZK 4,500",Furnished,3,Yes,No,No,No,Yes,Yes,No,01. 01. 2022,23,"1,207",191,696,169,586,386,360,"1,078",160,Excellent,"CZK 24,500",Personal,Brick building,,District heating,Middle floor,G,Standard materials and solutions,Interior,,,,,,
