Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Heating,Total number of floors,Renovation,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Age,Design,Administration fee,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
716991,"CZK 15,500",50.06265,14.44798,"U Křížku, Prague - Nusle",2 bedroom,Excellent,50 m²,"CZK 3,500","CZK 15,500",Cooperative,Prefab concrete building,Furnished,-1,No,No,Yes,No,No,No,No,01. 06. 2022,C,,,,223,813,263,525,239,563,710,550,821,607,,,,,,,,,
717896,"CZK 29,000",50.10181,14.52994,"Nademlejnská, Prague - Hloubětín",2 bedroom with open-plan kitchen,New build,83 m²,"CZK 6,000","CZK 60,000",Personal,Brick building,Partially furnished,4,No,Yes,No,No,Yes,Yes,Yes,16. 05. 2022,G,,,,302,951,437,933,553,659,647,920,799,24,,,,,,,,,
717899,"CZK 10,500",49.99684,14.3205,"Na Cikánce, Prague - Radotín",Studio,Excellent,35 m²,"CZK 2,500","CZK 30,000",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,16. 05. 2022,G,,,,127,,,,,,,,,,,,,,,,,,
222383,"CZK 24,000",50.0792487,14.4494301,Prague - Vinohrady,2 bedroom,Excellent,104 m²,"CZK 3,000","CZK 23,000",Personal,Brick building,Partially furnished,5,No,No,Yes,Yes,No,Yes,No,13. 05. 2022,,Electric boiler,Middle floor,Overall,271,335,101,334,95,363,204,204,554,231,,1 to 10 years years,Standard materials and solutions,,,,,,
715898,"CZK 26,000",50.07245,14.39363,"Plzeňská, Prague - Smíchov",1 bedroom with open-plan kitchen,New build,54 m²,"CZK 4,000","CZK 45,000",Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,01. 06. 2022,B,,,,42,871,178,562,166,691,172,997,907,293,,1 to 10 years years,Premium materials and solutions,,,,,,
716985,"CZK 12,500",50.0951749,14.5092549,"Mezilehlá, Prague - Hrdlořezy",Small studio,New build,37 m²,"CZK 3,120","CZK 37,000",Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,No,Yes,Yes,01. 05. 2022,A,,,,203,514,668,478,976,743,"1,293","1,106",276,,,,,,,,,,
501746,"CZK 10,000",50.0225003,14.4280058,"Vavřenova, Prague - Braník",Studio,Excellent,25 m²,"CZK 1,200","CZK 20,000",Personal,Prefab concrete building,Furnished,9,No,No,Yes,No,Yes,Yes,No,01. 06. 2022,,District heating,Middle floor,Overall,67,590,253,583,374,360,57,466,771,140,,1 to 10 years years,Standard materials and solutions,,,,,,
717880,"CZK 8,500",50.09146,14.47332,"Koněvova, Prague - Žižkov",Small studio,Excellent,28 m²,CZK 700,"CZK 17,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 06. 2022,G,,,,120,"1,177",93,151,131,98,217,440,250,313,,,,,,,,,
717886,"CZK 17,000",50.0757441,14.419910107829,Prague - Nové Město,3 bedroom,Excellent,83 m²,"CZK 1,900","CZK 17,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,Yes,No,16. 05. 2022,C,,,,70,148,147,161,110,90,176,420,754,244,,,,,,,,,
717884,"CZK 18,000",50.10161,14.42644,"Kamenická, Prague - Bubeneč",1 bedroom with open-plan kitchen,Excellent,53 m²,"CZK 2,600","CZK 18,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,30. 06. 2022,G,,,,281,406,31,220,103,147,212,75,458,,,,,,,,,,
717881,"CZK 21,000",50.0465,14.4053,"Prosluněná, Prague - Hlubočepy",2 bedroom with open-plan kitchen,Excellent,77 m²,"CZK 3,759","CZK 42,000",Personal,Prefab concrete building,Partially furnished,3,No,No,No,Yes,No,No,No,10. 05. 2022,G,,,,344,672,520,991,"1,080","1,107",573,,,,,,,,,,,,
368508,"CZK 12,500",50.0693725,14.3751814,"Pod Kavalírkou, Prague - Košíře",1 bedroom with open-plan kitchen,Good,45 m²,CZK 850,"CZK 12,500",Personal,Brick building,Furnished,5,No,No,Yes,No,No,Yes,No,01. 06. 2022,,,Middle floor,,172,237,369,344,406,452,363,925,892,292,,,,,,,,,
715950,"CZK 17,000",50.08309,14.56256,"U Hostavického potoka, Prague - Hostavice",1 bedroom with open-plan kitchen,New build,57 m²,"CZK 5,000","CZK 34,000",Personal,Brick building,Furnished,1,Yes,No,No,No,Yes,Yes,Yes,11. 06. 2022,G,,,,586,521,791,107,,,,,,,,,,,,,,,
497737,"CZK 11,000",50.1342504,14.4772132,"Ďáblická, Prague - Kobylisy",Studio,,40 m²,"CZK 2,500","CZK 11,000",Personal,Brick building,Furnished,3,Yes,No,No,No,Yes,No,No,,B,,Attic,,186,"1,076",570,"1,185",162,807,434,558,"1,267",486,,,,,,,,,
648533,"CZK 16,000",50.0185889,14.4326357,"Ve Lhotce, Prague - Kamýk",1 bedroom with open-plan kitchen,Excellent,42 m²,"CZK 3,000","CZK 32,000",Personal,Prefab concrete building,Partially furnished,4,No,No,Yes,No,Yes,Yes,No,01. 06. 2022,G,District heating,Middle floor,Overall,236,763,439,756,248,665,610,748,233,513,,,,,,,,,
716390,"CZK 19,200",50.08781,14.4725,"Ambrožova, Prague - Žižkov",1 bedroom with open-plan kitchen,New build,57 m²,"CZK 2,500",,Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,Yes,Yes,No,01. 08. 2022,B,Central heating,Middle floor,Overall,102,622,257,413,274,484,238,58,551,172,Yes,1 to 10 years years,Premium materials and solutions,,,,,,
717879,"CZK 13,000",50.07767,14.47706,"Hollarovo náměstí, Prague - Vinohrady",1 bedroom with open-plan kitchen,Good,38 m²,"CZK 5,000","CZK 18,000",Personal,Brick building,Unfurnished,3,No,No,No,No,No,No,No,09. 05. 2022,G,,,,93,906,51,548,115,81,810,821,237,134,,,,,,,,,
