Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Age,Design,Heating,Total number of floors,New building,Renovation,Front garden,Developer name,Project name,Kód jednotky
712102,"CZK 14,500",50.0651,14.50935,"Uhříněveská, Prague - Strašnice",1 bedroom with open-plan kitchen,Excellent,53 m²,"CZK 4,358","CZK 30,000",,Personal,Brick building,Furnished,3,No,No,Yes,No,Yes,No,Yes,G,394,"1,431",440,"1,106",223,431,396,447,590,342,04. 04. 2022,,,,,,,,,,
697214,"CZK 12,500",50.06194,14.43608,"Petra Rezka, Prague - Nusle",1 bedroom,Excellent,49 m²,"CZK 2,500","CZK 30,000",,Personal,Other,Unfurnished,2,Yes,No,No,No,No,Yes,No,G,167,614,151,528,121,457,121,445,399,278,01. 04. 2022,,,,,,,,,,
711568,"CZK 24,900",50.10594,14.4733,"Světova, Prague - Libeň",2 bedroom with open-plan kitchen,Excellent,80 m²,"CZK 5,000","CZK 25,000",,Personal,Brick building,Partially furnished,3,No,No,No,No,Yes,Yes,No,G,56,607,54,92,39,108,218,497,362,264,01. 05. 2022,,,,,,,,,,
712094,"CZK 13,000",50.09033,14.4739536,"Biskupcova, Prague - Žižkov",2 bedroom,Good,50 m²,"CZK 3,500","CZK 16,500",,Personal,Brick building,Partially furnished,5,No,No,Yes,No,No,No,No,G,193,"1,012",134,259,16,116,321,332,358,420,29. 03. 2022,,,,,,,,,,
574900,"CZK 24,000",50.0280815,14.5150316,"Křejpského, Prague - Chodov",4 bedroom,Excellent,75 m²,"CZK 3,000","CZK 48,000",,Personal,Prefab concrete building,Partially furnished,5,No,No,No,No,No,Yes,No,C,385,495,345,"1,158",260,470,199,158,998,110,01. 06. 2022,,,District heating,,,Overall,,,,
563070,"CZK 21,450",50.1086988,14.375396,"Na Pískách, Prague - Dejvice",2 bedroom with open-plan kitchen,,64 m²,"CZK 2,400","CZK 42,900",,Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,B,57,656,293,738,469,438,289,277,,,01. 06. 2022,,,,,,,,,,
711554,"CZK 14,000",50.08352,14.50419,"Káranská, Prague - Malešice",2 bedroom,Good,50 m²,"CZK 6,000","CZK 28,000",,Cooperative,Prefab concrete building,Unfurnished,4,No,No,Yes,No,No,No,No,A,262,477,435,496,302,651,605,342,906,168,24. 03. 2022,,,,,,,,,,
712068,"CZK 13,000",50.08862,14.46377,"Domažlická, Prague - Žižkov",1 bedroom,Good,34 m²,"CZK 1,000","CZK 13,000",,Cooperative,Brick building,Unfurnished,7,No,No,Yes,No,No,Yes,No,G,143,576,256,191,140,435,621,696,466,345,01. 05. 2022,,,,,,,,,,
512262,"CZK 9,800",50.0699333,14.3923511,"Nad Bertramkou, Prague - Smíchov",Studio,Good,27 m²,"CZK 2,500","CZK 25,000",,Personal,Brick building,Furnished,1,No,No,Yes,No,No,No,No,,217,799,671,878,468,885,690,"1,102",346,542,01. 05. 2022,,Standard materials and solutions,Central heating,Raised ground floor,,,,,,
540297,"CZK 19,999",50.04304,14.31343,"Toufarova, Prague - Stodůlky",1 bedroom with open-plan kitchen,New build,60 m²,"CZK 2,500","CZK 40,000",,Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,No,No,B,258,485,231,799,821,429,778,559,"1,031",582,01. 04. 2022,1 to 10 years years,Premium materials and solutions,Central heating,Middle floor,,,,,,
