Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Administrative fee,Floor space,Fully furnished,Condition,Ownership,EPC,Balcony,Parking,New-build,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Terrace,Designe,Reconstruction,Cellar,Domácí mazlíčci vítáni,Age,Heating,Enclosed balcony,Garage,Plot type
"CZK 19,000","CZK 6,000","CZK 19,000",394927,2 bedroom,10/17/2022,3,Brick,,61 m²,Partly,,Personal,,1.0,,,,318.56,1536.53,349.22,1172.74,346.82,327.9,572.83,674.95,360.33,289.73,"Synkovská, Prague - Dejvice",50.1060842,14.3707115,,,,,,,,,,
"CZK 9,500","CZK 4,300","CZK 19,000",733925,Small studio,9/15/2022,8,Prefab concrete,,20 m²,Partly,Very good,,C,,,,1.0,107.44,1295.05,188.34,1644.08,112.71,709.13,842.85,1174.67,559.7,380.76,Prague - Krč,50.02978,14.44976,,,,,,,,,,
"CZK 26,000","CZK 5,800","CZK 35,000",7470,3+1,10/1/2022,5,Brick,,74 m²,Fully furnished,Very good,Other,,,,,1.0,150.51,196.53,104.3,148.88,91.27,155.43,412.76,685.47,227.64,371.42,"Veletržní, Prague - Holešovice",50.1005696368,14.4250488281,,Standard,,,,,Electric boiler,,,
"CZK 11,000","CZK 3,000","CZK 22,000",472976,Small studio,3/1/2022,1,Brick,,30 m²,Fully furnished,Very good,Personal,C,,,,,254.54,628.17,233.96,374.62,97.09,234.99,492.8,301.47,333.29,336.8,"V Domově, Prague - Žižkov",50.0931211,14.4835126,,,,,,,Gas boiler,,,
"CZK 13,500","CZK 1,500","CZK 13,000",189710,1 bedroom,10/1/2022,,Brick,,38 m²,Fully furnished,Good,Personal,C,,1.0,,,173.35,310.17,262.09,2308.82,105.24,239.11,757.87,994.55,2521.74,323.39,"Prunéřovská, Prague - Dolní Chabry",50.1451706,14.4501183,,Standard,,,,Over 50 years,Central,,,
"CZK 14,000","CZK 2,500","CZK 28,000",730724,Studio,8/21/2022,1,Brick,,42 m²,Fully furnished,New-build,,G,1.0,1.0,1.0,,1478.51,2152.1,1779.95,2050.57,1884.71,2089.31,1389.09,1749.38,2849.26,1483.91,Prague - Uhříněves,50.04535,14.59727,,Standard,,,1.0,10 to 30 years,,,,
"CZK 17,500","CZK 3,500","CZK 17,500",730701,2+kk,8/21/2022,2,Brick,,65 m²,Partly,New-build,,C,1.0,,,1.0,265.0,976.08,523.77,941.25,483.3,496.25,908.9,521.25,436.99,403.29,Prague - Stodůlky,50.05178,14.33128,,,,1.0,,,,,,
"CZK 13,800","CZK 2,297","CZK 13,800",448060,Studio,8/21/2022,4,Brick,,31 m²,Partly,New-build,Personal,A,1.0,,1.0,1.0,777.75,1515.39,1436.1,2118.41,297.18,1411.22,1521.23,1349.24,501.91,402.89,"Kadečkové, Prague - Letňany",50.1425035,14.5253098,1.0,Standard,,1.0,,Up to 10 years,,,,
"CZK 22,900","CZK 6,500","CZK 30,000",288880,1 bedroom,9/16/2022,3,Brick,,40 m²,Fully furnished,,Personal,,,,,,155.43,635.73,116.88,416.91,211.27,239.55,65.19,711.04,125.56,503.16,"Umělecká, Prague - Holešovice",50.1022043,14.4276994,,,,,,,,,,
"CZK 37,500","CZK 12,500",,733712,2+kk,9/8/2022,5,,,56 m²,Fully furnished,,,,,,,1.0,240.81,540.67,44.44,271.87,34.53,284.1,466.7,624.38,640.6,582.46,"Mečislavova, Prague - Nusle",50.0633339,14.4440155,,,,,,,,,,
"CZK 13,000",CZK 500,"CZK 13,000",733606,1 bedroom,9/6/2022,1,Brick,,37 m²,Partly,Very good,,B,,,,,173.23,983.18,830.15,1328.81,235.14,972.83,799.29,705.37,1337.26,248.5,Prague - Braník,50.03836,14.42214,,,,1.0,,,,,,
"CZK 24,500","CZK 3,900","CZK 28,400",647743,2+kk,9/8/2022,6,Brick,,52 m²,Fully furnished,Very good,Personal,D,,1.0,,1.0,321.74,272.42,32.18,227.85,42.93,69.06,244.65,812.35,163.33,572.38,"Opletalova, Prague - Nové Město",50.0814214,14.4299039,1.0,Luxurious,Complete,,,,Central,,,
"CZK 25,000","CZK 4,000","CZK 50,000",725938,2+kk,9/1/2022,3,Brick,,70 m²,Partly,Very good,,C,,,,,140.77,418.51,1.12,206.71,25.27,177.85,464.47,473.18,267.6,390.96,Prague - Karlín,50.0919,14.44126,,,,,,,,,,
