Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Heating,Total number of floors,Age,Design,Front garden,Renovation,New building,Administration fee,Developer name,Project name,Kód jednotky
624565,"CZK 9,500",50.090722,14.424008,"Rámová, Prague - Staré Město",Studio,Excellent,20 m²,"CZK 2,500","CZK 9,990",Other,Brick building,Furnished,,No,No,No,No,No,No,No,10. 01. 2022,D,27,370,32,168,31,160,334,316,150,152,Gas boiler,Ground floor,,Standard materials and solutions,,Interior,,,,,
502088,"CZK 9,500",50.040186,14.4167521,"Na Rozhledu, Prague - Braník",Small studio,,30 m²,"CZK 2,500","CZK 18,000",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,ihned,,179,760,603,591,892,528,603,226,,,,,,,,,,,,,
697736,"CZK 20,000",50.1045,14.56735,"Smikova, Prague - Černý Most",4 bedroom,New build,105 m²,"CZK 5,000","CZK 30,000",Cooperative,Prefab concrete building,Partially furnished,4,No,No,Yes,Yes,Yes,No,No,01. 03. 2022,G,293,953,176,"1,074",721,458,385,189,"1,160",198,,,,,,,,,,,
698524,"CZK 38,000",50.06829,14.37004,"Slávy Horníka, Prague - Košíře",2 bedroom with open-plan kitchen,New build,182 m²,"CZK 4,000","CZK 76,000",Personal,Brick building,Furnished,4,Yes,Yes,Yes,No,Yes,Yes,Yes,10. 01. 2022,A,413,928,462,584,419,477,320,"1,221",593,570,,Top floor,1 to 10 years years,Premium materials and solutions,,,Yes,,,,
697706,"CZK 13,500",50.09689,14.3627,"Kladenská, Prague - Vokovice",1 bedroom with open-plan kitchen,Excellent,32 m²,"CZK 2,000","CZK 17,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,10. 01. 2022,G,295,99,187,303,211,244,479,485,"1,223",258,Central heating,Middle floor,1 to 10 years years,Standard materials and solutions,,Interior,,,,,
697691,"CZK 12,500",50.09276,14.33047,"Evropská, Prague - Veleslavín",1 bedroom with open-plan kitchen,Excellent,49 m²,"CZK 3,000","CZK 13,000",Personal,Brick building,Furnished,3,No,No,Yes,No,No,No,No,01. 02. 2022,C,36,184,611,328,"1,226",759,601,236,491,,,,,,,,,,,,
698503,"CZK 11,000",50.00138,14.429,"Vokrojova, Prague - Modřany",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 3,000","CZK 14,000",Personal,Prefab concrete building,Partially furnished,10,No,No,No,Yes,No,Yes,No,10. 01. 2022,G,249,"1,321","1,388",600,"1,395",317,215,"1,367",427,,,,,,,,,,,,
386973,"CZK 12,500",50.0841261,14.3786415,"Šlikova, Prague - Břevnov",Studio,Excellent,32 m²,"CZK 3,200","CZK 25,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,Yes,No,15. 02. 2022,,259,979,200,748,128,486,406,411,128,286,Central heating,Middle floor,10 to 30 years years,,,Overall,,,,,
586299,"CZK 15,000",50.109737,14.557212,"Lipnická, Prague - Kyje",2 bedroom with open-plan kitchen,Excellent,64 m²,"CZK 4,500","CZK 30,000",Personal,Brick building,Unfurnished,2,Yes,No,No,No,No,Yes,No,02. 12. 2019,D,231,"1,049",390,73,"1,002",505,"1,267",485,,,Central heating,Middle floor,10 to 30 years years,Standard materials and solutions,,Overall,,,,,
642265,"CZK 57,500",50.103053,14.448298,"Dělnická, Prague - Holešovice",2 bedroom with open-plan kitchen,Excellent,250 m²,"CZK 7,500","CZK 130,000",Personal,Brick building,Partially furnished,1,Yes,Yes,Yes,No,Yes,Yes,Yes,01. 02. 2022,G,69,154,119,137,20,195,256,385,585,317,Gas boiler,Top floor,10 to 30 years years,Premium materials and solutions,,,,,,,
