Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Heating,Floor space,Fully furnished,Condition,Ownership,EPC,Reconstruction,Balcony,Parking,Cellar,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Age,Designe,Enclosed balcony,Domácí mazlíčci vítáni,Terrace,Garage,New-build,Administrative fee
"CZK 18,000","CZK 4,000","CZK 40,000",738062,2+kk,9/12/2022,4,Brick,,53 m²,Fully furnished,Very good,,G,,,,1.0,,140.43,192.7,275.57,462.44,229.16,261.26,120.24,96.33,534.26,253.95,Prague - Břevnov,50.08823,14.34953,,,,,,,,
"CZK 12,000","CZK 3,000","CZK 25,000",725587,Studio,9/18/2022,,Brick,,33 m²,Partly,Very good,,G,,,,,,817.84,1330.16,1030.06,1156.88,691.6,1186.71,1014.98,1019.92,1014.62,670.9,Prague - Vokovice,50.10321,14.35191,,,,,1.0,,,
"CZK 22,000","CZK 6,000","CZK 40,000",735470,3+kk,10/17/2022,3,Prefab concrete,,74 m²,Partly,Very good,,G,,1.0,,1.0,1.0,405.96,554.48,127.21,416.85,404.22,445.92,164.65,727.62,580.02,145.17,Prague - Modřany,50.00835,14.41991,,,,,,,,
"CZK 18,000","CZK 3,500","CZK 18,000",734031,Studio,10/1/2022,,Brick,Central,34 m²,Fully furnished,Very good,Personal,G,,,,,,249.44,775.46,296.54,454.56,346.44,471.4,754.24,623.73,388.52,189.67,Prague - Strašnice,50.07918,14.48536,10 to 30 years,Standard,,,1.0,,,
"CZK 13,500","CZK 2,800","CZK 16,300",524929,Studio,9/1/2018,1,Brick,,32 m²,Fully furnished,,Personal,,,1.0,,,,321.01,3235.79,590.23,3591.25,347.74,2875.71,2207.72,2716.78,2751.33,367.32,"Kestřanská, Prague - Cholupice",49.9887823,14.4454149,,,,1.0,,,,
"CZK 16,500","CZK 3,331","CZK 30,000",492630,2+kk,10/1/2022,2,Brick,,53 m²,Fully furnished,,Personal,,,,,1.0,1.0,355.4,903.76,583.42,1031.58,338.62,863.49,598.27,754.11,532.05,81.03,"Karla Kryla, Prague - Stodůlky",50.0368204,14.330625,,,1.0,,,,,
"CZK 20,500",CZK 880,"CZK 20,500",381587,2 bedroom,9/12/2022,3,Brick,,90 m²,Unfurnished,,Personal,,,,,,,72.57,89.05,84.69,56.33,4.22,136.59,320.86,798.22,409.8,337.3,"Šmeralova, Prague - Bubeneč",50.1002722,14.4225082,,,,,,,,
"CZK 18,200","CZK 1,800","CZK 40,000",632473,Studio,10/1/2022,1,Brick,Electric boiler,43 m²,Fully furnished,Very good,Personal,A,Complete,,,,1.0,294.94,409.3,45.18,338.8,178.53,254.54,193.85,710.73,84.22,381.6,"U Studánky, Prague - Bubeneč",50.102025,14.425824,Up to 10 years,Luxurious,,,,,,
"CZK 12,000","CZK 3,000","CZK 15,000",737802,2+kk,9/19/2022,3,Prefab concrete,,44 m²,Partly,Good,,E,,,,1.0,1.0,372.24,595.96,363.77,889.08,667.91,825.75,526.91,608.99,598.11,44.36,Prague - Horní Měcholupy,50.04313,14.55293,,,,,,,,
"CZK 11,990","CZK 1,759","CZK 13,749",737803,Studio,9/21/2022,5,Other,,38 m²,Fully furnished,New-build,Personal,B,,1.0,1.0,1.0,1.0,239.9,898.28,492.58,763.17,617.18,354.86,455.88,556.66,1256.24,365.57,"Modenská, Prague - Horní Měcholupy",50.04008111111,14.56814888888,,,,,,,1.0,"CZK 13,749"
