Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Administrative fee,Floor space,Fully furnished,Condition,Ownership,EPC,Cellar,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Age,Reconstruction,Heating,Parking,Balcony,Terrace,New-build,Enclosed balcony,Designe,Garage,Plot type,Plot space,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 12,000","CZK 1,000","CZK 20,000",625364,2+kk,7/15/2022,2,Brick,,42 m²,,Very good,Personal,C,1.0,,129.01,745.87,105.05,191.24,29.39,809.06,276.16,437.44,713.79,163.52,"Jaurisova, Prague - Nusle",50.059674,14.449463,,,Electric boiler,,,,,,,,,,
"CZK 20,500","CZK 5,000","CZK 20,500",725035,3+kk,7/7/2022,4,Brick,,56 m²,Partly,Very good,,D,,,188.98,491.36,73.16,231.13,113.36,264.78,449.33,856.09,340.68,537.98,Prague - Karlín,50.09409,14.45383,,,,,1.0,,,,,,,,
"CZK 18,150","CZK 2,500","CZK 20,000",475569,Studio,6/6/2022,3,Other,,44 m²,Fully furnished,New-build,Personal,B,1.0,1.0,220.36,542.54,209.52,220.45,154.51,96.06,368.01,232.46,1419.29,111.62,"Petržílkova, Prague - Stodůlky",50.051419284003,14.349179095801,Up to 10 years,,Central,,,,1.0,,Luxurious,,,,
"CZK 17,000","CZK 4,000","CZK 30,000",418258,2 bedroom,8/1/2022,1,Prefab concrete,,65 m²,Partly,,Personal,,1.0,,527.0,1126.42,279.08,1501.83,573.56,336.77,527.15,957.15,2130.31,31.35,"Žlebská, Prague - Újezd nad Lesy",50.0693979,14.6767921,,Complete,,,,,,1.0,,,,,
"CZK 14,000","CZK 3,170","CZK 20,000",662678,Studio,7/11/2022,4,Brick,,29 m²,Fully furnished,Very good,Personal,C,,1.0,232.96,1125.45,90.44,1246.84,259.12,362.56,166.4,518.4,275.79,244.81,"Kašparovo náměstí, Prague - Libeň",50.11401,14.46984,10 to 30 years,Interior,Distance,,,,,,Standard,,,,
"CZK 15,900","CZK 5,000","CZK 24,000",694609,2+kk,7/1/2022,2,Brick,,41 m²,Fully furnished,Very good,Personal,G,,,196.44,320.18,160.43,551.82,59.49,401.75,153.63,130.48,783.16,595.97,"Záhřebská, Prague - Vinohrady",50.07257,14.43893,,Complete,,,,,,,Standard,,,,
"CZK 20,000","CZK 5,000","CZK 50,000",725019,3+kk,7/25/2022,4,Brick,,71 m²,Partly,Good,Personal,D,1.0,1.0,242.3,881.12,142.38,599.77,165.59,324.45,359.4,194.93,159.69,148.36,Prague - Libeň,50.10801,14.49097,Over 50 years,,Central,,1.0,,,,Standard,,,,
"CZK 12,000","CZK 3,000","CZK 12,000",719697,2 bedroom,5/11/2022,6,Brick,,60 m²,Partly,Good,Personal,C,1.0,1.0,241.0,764.27,130.49,251.51,123.98,468.11,286.06,637.14,542.93,234.11,"Lihovarská, Prague - Libeň",50.105,14.48576,,,,1.0,,,,,,,,,
"CZK 25,808","CZK 8,602",,724292,1 bedroom,7/14/2022,2,,,46 m²,Fully furnished,,,,,,450.08,851.94,613.97,1216.3,634.57,923.06,534.48,156.81,999.06,301.07,"U Pernikářky, Prague - Smíchov",50.0745289,14.3827184,,,,,,,,,,,,,
"CZK 29,250","CZK 9,750",,725020,2 bedroom,7/9/2022,3,,,65 m²,Fully furnished,,,,,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,
"CZK 20,000","CZK 3,400","CZK 30,000",725018,2 bedroom,7/7/2022,1,Brick,,57 m²,Partly,Very good,Personal,G,,,245.95,829.21,271.92,437.76,294.35,431.58,604.69,77.33,429.89,205.19,Prague - Vinohrady,50.08084,14.44272,,Interior,,,,,,,,,,,
"CZK 16,000","CZK 3,700","CZK 19,000",713312,2+kk,5/1/2022,2,Brick,,65 m²,Partly,Very good,Personal,B,,,382.88,732.09,635.85,2859.89,570.67,596.02,429.85,429.85,251.5,494.81,Prague - Vinoř,50.1437811339,14.577235101644,Up to 10 years,Complete,Electric boiler,1.0,,,,,Luxurious,,,,
"CZK 21,500","CZK 3,500","CZK 30,000",695442,2 bedroom,7/1/2022,4,Brick,,70 m²,Partly,Good,Personal,G,,1.0,118.29,670.2,187.03,312.26,48.04,14.26,444.24,1923.69,345.16,746.55,"Dukelských hrdinů, Prague - Holešovice",50.10348,14.43225,,,,,,,,,,,,,
"CZK 22,900","CZK 3,500","CZK 22,900",724089,3+kk,6/29/2022,2,Prefab concrete,,72 m²,Partly,Very good,,G,1.0,1.0,106.88,828.11,136.33,811.17,224.98,257.07,613.9,652.26,738.25,340.8,Prague - Michle,50.04287,14.45982,,,,,,,,1.0,,,,,
"CZK 11,000","CZK 3,500","CZK 22,000",724911,Small studio,7/7/2022,9,Brick,,36 m²,Partly,Very good,,G,1.0,1.0,104.44,104.39,43.84,129.37,32.52,0.11,259.25,373.51,895.16,140.17,Prague - Stodůlky,50.0503,14.34209,,,,,,,,,,,,,
"CZK 17,000","CZK 4,500","CZK 40,000",721765,2+kk,7/1/2022,4,Brick,,55 m²,Partly,New-build,,G,,,469.82,1002.94,516.83,1785.28,521.02,614.13,432.57,395.23,480.78,205.34,Prague - Libuš,50.01273,14.44535,,,,,,,,,,,,,
"CZK 14,000","CZK 6,060","CZK 14,000",725006,2 bedroom,7/7/2022,1,Prefab concrete,,60 m²,Partly,Good,,G,1.0,1.0,136.06,726.01,218.73,718.67,65.95,178.47,358.47,369.3,1202.72,252.72,Prague - Braník,50.02487,14.42535,,,,,,,,,,,,,
"CZK 19,000","CZK 1,700","CZK 38,000",721503,2+kk,7/1/2022,1,Brick,,44 m²,Partly,Very good,Personal,G,,,167.17,1090.4,428.19,792.28,256.31,819.1,561.59,536.19,663.41,250.74,Prague - Nusle,50.05835,14.44225,,Complete,Electric boiler,1.0,,,,,,,,,
"CZK 8,600","CZK 2,000","CZK 6,000",418711,Small studio,6/6/2022,1,Brick,,32 m²,Fully furnished,,Personal,,,,194.84,1390.12,337.67,2498.09,467.01,1481.13,360.69,1448.49,706.3,1227.56,"Stochovská, Prague - Ruzyně",50.0836206,14.3137171,,,Electric boiler,,,,,,,,,,
"CZK 11,900","CZK 3,200","CZK 20,000",724998,2+kk,7/7/2022,4,Prefab concrete,,40 m²,Partly,Very good,,G,,1.0,125.28,730.56,292.26,570.25,257.17,187.22,275.72,687.98,330.91,205.87,Prague - Letňany,50.13512,14.51009,,,,,,,,,,,,,
"CZK 21,900",CZK 133,"CZK 43,800",722444,2+kk,8/23/2022,10,Other,,50 m²,Fully furnished,Very good,,A,1.0,1.0,,,,,,,,,,,Prague - Stodůlky,50.04595,14.32223,,,,1.0,1.0,,1.0,,,,,,
"CZK 55,000",CZK 133,"CZK 110,000",711719,2+kk,8/1/2022,4,Brick,,99 m²,Fully furnished,Very good,Personal,A,,1.0,,,,,,,,,,,"Francouzská, Prague - Vinohrady",50.07202,14.44518,,,,,1.0,,1.0,,,,,,
"CZK 8,500","CZK 2,500","CZK 3,000",545400,Small studio,4/21/2022,,Brick,,25 m²,Fully furnished,,Other,,,,514.33,583.07,430.04,1811.89,444.64,572.71,399.18,312.42,1770.04,783.81,Prague - Braník,50.036559,14.4172471,,,,,,,,,,,,,
"CZK 14,000","CZK 3,200","CZK 28,000",608890,2+kk,8/1/2022,3,Other,,42 m²,Fully furnished,Very good,Personal,A,,,364.04,1497.44,387.4,1169.77,333.42,374.73,389.12,309.97,466.13,230.23,"Křenická, Prague - Strašnice",50.065844,14.510378,,Complete,,,,,,,,,,,
"CZK 18,500","CZK 5,500","CZK 18,500",563482,3+kk,8/27/2022,4,Prefab concrete,,72 m²,Fully furnished,,Cooperative,C,1.0,1.0,537.67,857.55,552.8,650.3,505.16,621.72,285.06,294.15,452.95,518.4,"Na Křivině, Prague - Michle",50.0513894,14.4481897,,Complete,Distance,1.0,,,,1.0,Standard,,,,
"CZK 13,500","CZK 2,500","CZK 16,000",724455,2+kk,7/2/2022,1,Brick,,45 m²,Fully furnished,Very good,Personal,B,,,313.69,1332.6,236.49,717.99,264.83,417.77,577.21,576.35,691.56,314.77,Prague - Bubeneč,50.11017,14.39573,,,,,,,,,,,,,
"CZK 13,000","CZK 3,000","CZK 20,000",451866,2+kk,7/7/2022,3,Brick,,44 m²,Fully furnished,,Personal,,1.0,1.0,77.65,913.35,112.63,378.44,62.22,738.3,463.36,461.96,831.39,157.7,"Pod pramenem, Prague - Nusle",50.0601672,14.4487804,,,,1.0,,,,,,,,,
"CZK 12,990","CZK 3,163","CZK 16,153",724988,2 bedroom,7/8/2022,4,Prefab concrete,"CZK 16,153",50 m²,Unfurnished,Good,Personal,G,1.0,1.0,390.46,1066.65,433.4,2137.98,636.6,1237.16,702.9,1078.26,676.0,165.6,"Smotlachova, Prague - Kamýk",50.01114,14.45032055555,,,,,,,,,,,,,
"CZK 19,000","CZK 4,000","CZK 38,000",724987,2+kk,7/7/2022,2,Brick,,42 m²,Fully furnished,Very good,,D,,1.0,209.83,734.87,71.0,362.24,53.17,225.37,159.94,953.66,275.9,274.5,Prague - Karlín,50.0939,14.45688,,,,,,,,,,,,,
"CZK 17,500","CZK 5,000","CZK 30,000",724986,2+kk,7/7/2022,7,Brick,,65 m²,Fully furnished,New-build,,C,1.0,1.0,342.47,1903.49,1052.04,1575.73,,843.56,167.78,1328.48,578.73,775.83,Prague - Košíře,50.07103,14.35706,10 to 30 years,Complete,,1.0,1.0,1.0,1.0,,Luxurious,1.0,,,
"CZK 11,000",CZK 150,"CZK 11,000",724982,2+kk,7/7/2022,-1,Brick,,43 m²,Partly,Good,,G,,,41.06,683.12,60.19,451.26,68.46,458.12,263.36,133.96,373.0,291.83,Prague - Vršovice,50.0704,14.46059,,,,,,,,,,,,,
"CZK 6,500","CZK 2,500","CZK 6,500",724983,2 bedroom,7/7/2022,1,Brick,,80 m²,Unfurnished,Very good,,C,,,267.74,770.22,231.91,516.81,216.74,377.97,709.96,565.47,318.88,148.18,Prague - Podolí,50.0567,14.42814,,,,,,,,,,,,,
"CZK 17,000","CZK 4,500","CZK 25,000",518330,Studio,8/1/2022,3,Low-energy,,47 m²,Partly,New-build,Personal,B,1.0,1.0,409.53,1642.82,477.57,1414.25,556.78,1578.82,1320.81,1527.71,648.98,137.75,"Strnadových, Prague - Vysočany",50.1123225,14.5141944,Up to 10 years,,Central,,,,1.0,1.0,,,,,
"CZK 20,000","CZK 4,500","CZK 40,000",663625,3+1,7/7/2022,,Brick,,69 m²,Unfurnished,Very good,Personal,G,1.0,1.0,246.06,440.09,163.71,310.3,85.08,481.26,95.62,210.34,773.03,227.74,"Amurská, Prague - Vršovice",50.06945,14.47384,,,Central,,,,,,,,,,
"CZK 65,000","CZK 4,800","CZK 139,600",642265,3+kk,7/11/2022,1,Brick,,250 m²,Partly,Very good,Personal,G,1.0,1.0,69.39,153.79,118.64,136.76,19.93,194.52,255.5,381.44,458.31,317.05,"Dělnická, Prague - Holešovice",50.103053,14.448298,10 to 30 years,,Gas boiler,1.0,1.0,1.0,,,Luxurious,1.0,,,
"CZK 12,000","CZK 3,600","CZK 12,000",643580,1 bedroom,7/7/2022,2,Brick,,40 m²,Partly,Very good,Personal,G,,,248.95,652.1,226.07,738.89,45.49,203.28,202.2,542.23,798.97,466.78,"Radimova, Prague - Břevnov",50.087549,14.368275,,,,,,,,,,,,,
"CZK 16,500","CZK 4,500","CZK 21,000",665413,Studio,9/1/2022,3,Other,,32 m²,Fully furnished,New-build,Personal,G,,1.0,155.68,480.27,74.86,782.01,202.26,630.21,205.91,284.36,1101.91,434.15,Prague - Košíře,50.0700464,14.3813528,Up to 10 years,,Electric boiler,1.0,1.0,,1.0,,Standard,1.0,,,
"CZK 18,000","CZK 4,000","CZK 32,000",721969,Studio,8/1/2022,4,Brick,,32 m²,Partly,New-build,Personal,B,,1.0,169.25,382.25,330.11,1343.4,342.21,444.17,980.06,181.31,1465.04,227.22,Prague - Jinonice,50.0583,14.37281,,,,1.0,1.0,,1.0,,,,,,
"CZK 15,900","CZK 3,500","CZK 31,800",723914,Studio,6/27/2022,4,Brick,,40 m²,Partly,New-build,Personal,B,,1.0,181.97,38.89,154.29,1515.19,133.09,946.56,1057.6,649.16,829.44,34.07,Prague - Stodůlky,50.04617,14.30339,Up to 10 years,,,,1.0,,1.0,,Luxurious,,,,
"CZK 10,000","CZK 3,000","CZK 9,500",665286,Studio,7/31/2022,2,Brick,,40 m²,Partly,Very good,Personal,B,,,469.86,449.41,1736.28,2353.08,497.73,803.89,558.9,642.36,869.67,450.72,Prague - Řeporyje,50.0307592,14.3164186,Up to 10 years,,Central,1.0,,1.0,1.0,,Luxurious,1.0,,,
"CZK 23,000","CZK 5,000","CZK 20,000",724961,3+1,10/1/2022,3,Brick,,68 m²,Fully furnished,Very good,,G,,,61.36,1702.86,403.13,1339.9,463.65,552.61,58.75,504.23,418.72,652.12,Prague - Dejvice,50.1095,14.38605,,,,1.0,1.0,,,,,,,,
"CZK 15,000","CZK 3,800","CZK 20,000",556416,2+kk,8/1/2022,6,Brick,,41 m²,Fully furnished,Very good,Personal,,1.0,1.0,152.52,217.58,357.38,363.65,387.76,470.88,343.63,537.28,909.56,311.57,"Pod Kavalírkou, Prague - Košíře",50.0693808,14.3754523,Up to 10 years,,Gas boiler,,,,,,,,,,
"CZK 12,500","CZK 2,000","CZK 12,500",656909,Small studio,7/8/2022,4,Brick,,28 m²,Unfurnished,Very good,Personal,G,,,412.04,445.02,106.76,393.94,41.82,647.36,281.17,523.81,982.83,325.73,"Velehradská, Prague - Vinohrady",50.07923,14.45377,,,Other,,,,,,Standard,,,,
"CZK 13,000","CZK 2,000","CZK 7,000",645425,Studio,7/7/2022,2,Low-energy,,30 m²,Partly,New-build,Personal,B,,1.0,286.07,698.62,268.99,648.32,216.65,759.5,623.22,450.99,77.02,308.47,"Pod Soutratím, Prague - Vršovice",50.06436,14.460205,,Complete,Geothermal,,,,,,Luxurious,,,,
"CZK 12,000","CZK 6,600","CZK 16,000",724935,2+kk,7/7/2022,1,Brick,,38 m²,Partly,Very good,,G,,,71.93,769.47,278.54,1203.4,215.27,236.43,831.2,637.36,979.39,458.06,Prague - Smíchov,50.06065,14.40255,,,,,,,,,,,,,
