Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Age,Floor space,Fully furnished,Condition,Ownership,EPC,New-build,Enclosed balcony,Lift,Cellar,Parking,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Heating,Reconstruction,Designe,Terrace,Domácí mazlíčci vítáni,Garage,Administrative fee,Balcony,Plot type
"CZK 14,000","CZK 3,000","CZK 30,000",731675,Studio,9/10/2022,4,Brick,,34 m²,Fully furnished,Very good,,G,,1.0,1.0,1.0,1.0,159.96,318.63,144.94,410.41,117.64,270.71,737.06,831.3,943.97,238.54,Prague - Uhříněves,50.03064,14.59533,,,,,,,,,
"CZK 15,000","CZK 1,500","CZK 16,500",415259,1 bedroom,9/9/2022,2,Brick,,47 m²,Partly,,Personal,C,,,1.0,1.0,,61.12,117.05,6.26,507.36,31.23,164.69,226.1,226.1,333.66,106.19,"Vršovická, Prague - Vršovice",50.0705542,14.4768657,Central,,,,,,,,
"CZK 19,000","CZK 3,000","CZK 30,000",732197,2+kk,10/30/2022,3,Brick,,69 m²,Fully furnished,Very good,,G,,,,,,159.91,405.02,156.31,287.94,154.49,245.19,390.39,450.11,190.9,156.36,Prague - Staré Město,50.09195,14.42392,,,,,,,,,
"CZK 19,800","CZK 6,600",,735462,3+1,10/19/2022,5,,,90 m²,Fully furnished,,,,,,1.0,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,
"CZK 29,925","CZK 9,975",,731240,1 bedroom,10/4/2022,2,,,30 m²,Fully furnished,,,,,,1.0,,,22.29,481.37,107.82,95.32,6.34,158.39,351.4,425.94,380.79,468.94,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,
"CZK 21,000","CZK 3,900","CZK 30,000",272296,2+kk,6/1/2021,4,Brick,Up to 10 years,58 m²,Fully furnished,Very good,Personal,C,,,,,,296.76,495.49,292.2,508.16,319.52,397.4,353.87,525.47,683.82,409.22,"Radlická, Prague - Smíchov",50.0660628,14.4029194,Electric boiler,,Standard,,,,,1.0,
"CZK 19,000","CZK 4,500","CZK 30,000",732196,Studio,10/1/2022,3,Low-energy,,42 m²,Fully furnished,New-build,,B,1.0,,1.0,,1.0,266.86,1953.91,1116.59,1712.78,452.71,1360.43,808.23,1421.57,1318.95,730.36,Prague - Modřany,50.01299,14.40002,,,Luxurious,,,1.0,,1.0,
"CZK 28,000","CZK 3,000","CZK 50,000",162415,2+kk,10/30/2022,3,Brick,,69 m²,Fully furnished,Very good,Personal,,,,,,,162.74,407.84,159.14,290.76,157.32,242.36,387.56,452.94,188.07,159.18,"Anežská, Prague - Staré Město",50.0919997,14.423822,Gas boiler,Complete,Luxurious,1.0,,,,1.0,
"CZK 15,500","CZK 4,450","CZK 20,000",732193,Studio,9/2/2022,3,Low-energy,,44 m²,Partly,New-build,,B,,,1.0,1.0,,201.7,1308.66,142.89,1129.36,468.82,688.29,322.41,221.9,1021.18,245.67,Prague - Strašnice,50.07153,14.50459,,,,,,1.0,,1.0,
"CZK 9,200","CZK 1,500","CZK 10,000",732128,6+kk,9/24/2022,6,Other,,30 m²,Fully furnished,Very good,,G,,,1.0,,1.0,234.8,215.63,259.34,719.06,313.91,295.2,831.77,407.77,706.11,433.61,"U Stírky, Prague - Libeň",50.11987065,14.46188655,,,,,,,,1.0,
"CZK 23,000","CZK 6,000","CZK 23,000",727258,2+kk,8/1/2022,1,Brick,,70 m²,Partly,New-build,,C,1.0,,,1.0,,88.95,789.5,107.34,385.25,116.2,179.24,235.81,308.48,462.3,315.43,"Na Pěšinách, Prague - Kobylisy",50.1250528,14.4573336,,,Luxurious,1.0,,,,,
"CZK 9,200",CZK 0,"CZK 9,200",574965,4+1,9/1/2022,8,Prefab concrete,,11 m²,Partly,,Personal,,,1.0,1.0,,1.0,366.39,293.95,283.63,423.78,292.38,339.91,239.81,524.49,1380.7,267.44,"Taussigova, Prague - Kobylisy",50.1289857,14.472486,Distance,Complete,,,,,,1.0,
"CZK 23,000","CZK 2,000","CZK 46,000",735452,2+kk,10/1/2022,1,Brick,,52 m²,Partly,Very good,,G,,,,,,45.71,924.4,146.26,646.66,8.7,711.02,847.67,166.72,774.55,203.9,Prague - Smíchov,50.06215,14.38988,,,,1.0,,,,,
