Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Condition,Ownership,EPC,Heating,Terrace,Cellar,New-build,Parking,Garage,Reconstruction,Sklep 2 m²,Balcony,Lodžie 7.5 m²,Designe,Balkón 6 m²,Sklep 34 m²,Sklep 4 m²,Domácí mazlíčci vítáni,Balkón 33 m²,Balkón 4 m²,Balkón 9 m²,Enclosed balcony,Balkón 60 m²,Balkón 10 m²,Sklep 10 m²,Balkón 2 m²,Sklep 5 m²,Balkón 8 m²,Terasa 20 m²,Sklep 6 m²,Administrative fee,Terasa 12 m²,Balkón 3.1 m²,Balkón 32 m²,Terasa 32 m²,Terasa 19 m²,Balkón 7 m²,Sklep 20 m²,Sklep 3 m²,Sklep 1 m²,Terasa 40 m²,Lodžie 8 m²,Balkón 3 m²,Lodžie 1 m²,Balkón 5 m²,Terasa 15 m²,Water,Sewage,Plot space,Sklep 44 m²,Terasa 10 m²,Sklep 8 m²
"CZK 12,000","CZK 3,000",744451,2+kk,11/1/2022,42 m²,Partly,2,1.0,174.74,242.3,112.6,1421.09,162.36,235.49,466.36,445.43,4691.85,123.93,Prague - Zbraslav,49.96691,14.38508,"CZK 15,000",Prefab concrete,,Very good,,G,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 5,000",743714,2+kk,10/3/2022,53 m²,Fully furnished,3,1.0,35.48,792.24,20.56,597.64,172.64,638.92,366.88,330.37,486.82,346.4,"28. pluku, Prague - Vršovice",50.07078,14.46279,"CZK 46,000",Brick,,Very good,,B,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 4,808",62183,2+kk,,60 m²,Fully furnished,1,1.0,146.42,801.21,116.97,936.57,391.05,245.91,454.82,267.13,572.36,241.68,Prague - Kunratice,50.0238780908,14.4878232479,"CZK 50,000",Brick,,,Personal,,Central,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 3,000",719319,2+kk,11/1/2022,52 m²,Partly,1,1.0,247.01,716.86,126.75,1561.69,108.31,308.06,300.35,276.64,113.97,14.08,"Donovalská, Prague - Chodov",50.03731,14.50635,"CZK 23,000",Other,Up to 10 years,New-build,Personal,B,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 3,000",574663,2+kk,10/10/2022,43 m²,Unfurnished,3,1.0,306.6,447.84,179.17,919.97,79.57,444.54,244.31,383.45,164.38,149.48,"Přecechtělova, Prague - Stodůlky",50.0370028,14.3380886,"CZK 30,000",Prefab concrete,,Very good,Personal,C,Central,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,300","CZK 1,000",743628,Studio,10/3/2022,33 m²,Partly,6,,314.25,1111.49,273.41,514.79,226.23,518.02,517.41,640.88,391.56,602.95,Prague - Nusle,50.05882,14.43473,"CZK 60,000",Brick,,Very good,,B,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,000","CZK 4,000",476207,2 bedroom,11/1/2022,80 m²,Fully furnished,4,,127.73,886.45,36.32,399.9,121.48,332.84,596.5,641.14,459.0,269.03,"Nezamyslova, Prague - Nusle",50.0648387,14.4266126,"CZK 50,000",Brick,Over 50 years,,Personal,,Gas boiler,,,,,,Interior,,,,Standard,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 38,000","CZK 9,000",659093,3+kk,11/1/2022,128 m²,Fully furnished,6,,217.64,234.28,240.62,629.17,210.31,68.85,525.17,314.44,226.55,376.18,"Pitterova, Prague - Žižkov",50.08457,14.46719,"CZK 47,000",Other,,Very good,Personal,C,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,500","CZK 1,500",559466,2+kk,10/10/2022,45 m²,Fully furnished,4,1.0,15.73,730.24,58.67,443.3,100.86,20.48,352.97,398.94,587.37,509.58,Prague - Nové Město,50.0727402,14.4276339,"CZK 20,000",Brick,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 9,500","CZK 2,000",743592,1 bedroom,10/3/2022,30 m²,Partly,,,111.85,1169.22,640.68,883.83,539.37,955.29,719.13,425.1,588.16,295.46,Prague - Žižkov,50.08774,14.47907,"CZK 11,500",Brick,,Good,Personal,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 31,500","CZK 10,500",734260,2+kk,11/6/2022,41 m²,Fully furnished,5,,394.46,497.82,253.13,432.3,279.54,389.35,316.56,724.72,695.79,345.02,"Krchlebská, Prague - Krč",50.0471114,14.4429584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 4,590",695406,2+kk,10/16/2022,55 m²,Fully furnished,2,1.0,242.0,1405.77,434.48,1311.82,233.48,695.96,611.05,544.66,531.26,281.92,"Františka Kadlece, Prague - Libeň",50.11547,14.47512,"CZK 30,000",Brick,10 to 30 years,Very good,Personal,C,Gas boiler,,,,,1.0,,,,,Standard,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 5,000",504678,2+kk,10/17/2022,73 m²,Fully furnished,2,,97.66,182.06,90.37,108.5,8.34,181.19,283.77,353.17,486.58,337.82,"Dělnická, Prague - Holešovice",50.1029397,14.4486996,CZK 0,Brick,,Very good,Cooperative,C,Central,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 2,800",492070,2+kk,10/8/2022,60 m²,Partly,1,,106.98,885.36,153.07,982.39,346.72,1045.63,553.14,405.03,692.66,335.72,"Boloňská, Prague - Horní Měcholupy",50.0480863,14.5572543,"CZK 13,000",Brick,,New-build,Personal,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,400","CZK 2,300",644163,Studio,6/1/2022,39 m²,Fully furnished,2,1.0,101.18,1778.26,296.43,1452.8,934.99,423.15,647.78,1187.55,891.07,197.77,"Podkovářská, Prague - Vysočany",50.103357,14.512565,"CZK 15,700",Brick,10 to 30 years,Very good,Personal,G,Central,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 5,000",422367,3+1,11/1/2022,60 m²,Fully furnished,5,1.0,180.04,553.4,115.11,491.78,460.17,120.13,264.34,90.46,742.25,59.43,"Veltruská, Prague - Prosek",50.1213041,14.4922812,"CZK 25,000",Prefab concrete,,Very good,Personal,C,Central,,,,1.0,,Complete,1.0,,,Luxurious,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 38,500","CZK 10,000",744444,5+1,10/8/2022,103 m²,Unfurnished,5,1.0,165.83,1026.41,174.23,930.9,276.31,168.19,365.81,474.89,676.17,425.07,Prague - Veleslavín,50.09504,14.34925,"CZK 77,000",Brick,,Very good,,C,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 9,500",CZK 780,15058,Studio,10/3/2022,23 m²,Fully furnished,1,,216.21,580.46,441.94,251.21,32.13,1236.42,234.97,569.15,337.95,410.71,"Magistrů, Prague - Michle",50.0577724828,14.451956749,"CZK 10,280",Brick,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,500",CZK 780,418637,2+kk,10/3/2022,44 m²,Fully furnished,3,,218.9,583.15,439.25,253.9,29.44,1233.73,232.28,566.46,340.64,408.02,Prague - Michle,50.0577986,14.4520798,"CZK 16,060",Brick,,,Personal,,Electric boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 6,000",743548,3+1,10/3/2022,70 m²,Fully furnished,7,1.0,296.75,426.54,327.8,3145.77,298.69,858.83,840.84,1706.82,1710.34,58.77,"K Lukám, Prague - Libuš",50.00778,14.46563,"CZK 30,000",Prefab concrete,,Very good,,C,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 6,210",744445,Studio,10/8/2022,46 m²,Fully furnished,4,1.0,55.02,158.45,35.39,37.46,136.79,243.61,177.71,913.16,368.16,245.95,Prague - Bubeneč,50.10016,14.42107,"CZK 16,000",Brick,,New-build,,G,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
