Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,New building,Heating,Total number of floors,PENB,Age,Design,Renovation,Front garden,Developer name,Project name,Kód jednotky,Administration fee
697227,"CZK 12,000",50.0644293,14.3088043,"Makovského, Prague - Řepy",1 bedroom with open-plan kitchen,40 m²,"CZK 2,500",Furnished,4,No,No,No,Yes,Yes,Yes,No,01. 01. 2022,48,72,197,94,296,200,544,502,532,,Good,"CZK 24,000",Personal,Prefab concrete building,,,,G,,,,,,,,
688385,"CZK 12,000",50.00295,14.39626,"K Sádkám, Prague - Velká Chuchle",1 bedroom,33 m²,"CZK 3,800",Unfurnished,,Yes,Yes,Yes,No,Yes,No,No,27. 12. 2021,535,"1,240","1,140","1,198","1,245","1,296","1,074",,,,Good,"CZK 15,800",Personal,Prefab concrete building,,,,D,,,,,,,,
697114,"CZK 14,000",50.10275,14.47574,"Heydukova, Prague - Libeň",1 bedroom with open-plan kitchen,30 m²,"CZK 2,000",Furnished,1,No,No,No,No,No,No,No,01. 02. 2022,77,112,140,202,47,87,183,267,291,550,Excellent,"CZK 15,000",Personal,Brick building,,,Ground floor,G,1 to 10 years years,Standard materials and solutions,Overall,,,,,
212317,"CZK 9,750",50.0704283,14.3804002,"Prachnerova, Prague - Košíře",Studio,32 m²,"CZK 2,350",Furnished,1,No,No,No,No,No,Yes,No,01. 02. 2022,44,576,53,950,90,"1,058",97,598,996,329,Excellent,"CZK 24,200",Personal,Brick building,,Central heating,Middle floor,,,,,,,,,
697212,"CZK 9,500",50.0349825,14.5274258,"Kryštofova, Prague - Háje",Small studio,25 m²,"CZK 1,500",Furnished,1,No,No,No,No,Yes,No,No,10. 01. 2022,152,750,437,444,292,229,353,266,388,327,Excellent,"CZK 11,000",Personal,Brick building,,,,B,,,,,,,,
696945,"CZK 17,500",50.06657,14.42101,"Neklanova, Prague - Vyšehrad",3 bedroom,62 m²,"CZK 4,000",Partially furnished,1,No,No,No,No,No,No,No,24. 12. 2021,149,"1,103",118,144,131,181,252,450,410,478,Excellent,"CZK 18,500",Personal,Brick building,,,,G,,,,,,,,
395476,"CZK 11,500",50.1049943,14.537555,"Klánovická, Prague - Hloubětín",1 bedroom,35 m²,,Furnished,6,No,No,No,No,No,No,No,01. 02. 2022,161,131,120,113,267,133,368,293,168,205,,,Personal,Brick building,,,,,,,,,,,,
578655,"CZK 8,000",50.126886,14.42192,"Hnězdenská, Prague - Troja",Studio,24 m²,"CZK 2,500",Furnished,10,No,No,Yes,No,No,Yes,No,04. 12. 2021,400,315,80,385,179,329,690,971,"1,057",328,Excellent,"CZK 10,500",Personal,Brick building,,District heating,Middle floor,C,10 to 30 years years,Standard materials and solutions,,,,,,
566034,"CZK 9,890",50.06427,14.44503,"Čestmírova, Prague - Nusle",Studio,20 m²,"CZK 1,980",Partially furnished,1,No,No,Yes,No,No,No,No,01. 02. 2022,322,514,3,257,265,264,555,793,760,666,,"CZK 11,870",Personal,Brick building,,,,G,,,,,,,,
697204,"CZK 14,500",50.02962,14.53492,"Hlavatého, Prague - Háje",2 bedroom with open-plan kitchen,57 m²,"CZK 4,000",Partially furnished,6,Yes,No,No,Yes,No,Yes,No,01. 01. 2022,306,448,338,344,526,622,148,501,683,260,Good,"CZK 18,500",Personal,Prefab concrete building,,,Middle floor,C,,,Bathroom unit,,,,,
69549,"CZK 13,200",50.0776548,14.4725134,"Kouřimská, Prague - Vinohrady",1 bedroom with open-plan kitchen,52 m²,CZK 858,Partially furnished,3,Yes,No,No,No,No,No,No,25. 10. 2021,67,686,238,86,117,136,342,"1,099",218,277,,"CZK 17,999",Personal,Brick building,,Other,Middle floor,,,Standard materials and solutions,Overall,,,,,
502610,"CZK 18,000",50.023912,14.5137377,Prague - Chodov,2 bedroom with open-plan kitchen,69 m²,"CZK 4,000",Partially furnished,8,Yes,No,No,No,No,Yes,No,04. 10. 2021,127,"1,083",96,381,103,75,638,152,,,Excellent,"CZK 20,000",Personal,Prefab concrete building,,District heating,,,,Premium materials and solutions,Overall,,,,,
685139,"CZK 15,000",50.0923991,14.370472,"Pod Bateriemi, Prague - Střešovice",3 bedroom,75 m²,"CZK 4,000",Unfurnished,3,No,No,No,No,No,No,No,01. 01. 2022,67,"1,187",413,"1,392",358,716,582,"1,168",352,214,Excellent,"CZK 19,000",Personal,Other,,Gas boiler,Attic,G,,,,,,,,
644422,"CZK 15,000",50.038135,14.331004,"Jaroslava Foglara, Prague - Stodůlky",1 bedroom with open-plan kitchen,42 m²,"CZK 2,500",Furnished,1,No,No,No,No,No,No,No,03. 01. 2021,476,"1,019",509,989,399,628,703,859,525,267,Excellent,"CZK 15,000",Cooperative,Brick building,,,,C,,,,,,,,
697178,"CZK 19,000",50.01266,14.43129,"Imrychova, Prague - Kamýk",2 bedroom with open-plan kitchen,73 m²,"CZK 2,600",Partially furnished,3,Yes,No,Yes,No,No,Yes,No,01. 01. 2022,557,442,796,587,292,254,615,115,,,Excellent,"CZK 30,000",Personal,Prefab concrete building,,,,G,,,,,,,,
697065,"CZK 15,000",50.03107,14.51873,"Vejvanovského, Prague - Chodov",2 bedroom with open-plan kitchen,64 m²,"CZK 4,400",Partially furnished,3,No,No,No,Yes,Yes,Yes,No,01. 01. 2022,192,153,89,879,159,185,673,84,841,125,Excellent,"CZK 30,000",Personal,Prefab concrete building,,,,G,,,,,,,,
696904,"CZK 12,500",50.0925,14.44382,"Sokolovská, Prague - Karlín",Studio,36 m²,"CZK 2,500",Furnished,6,No,Yes,No,No,No,Yes,No,02. 01. 2022,113,295,83,294,18,293,279,"1,017",374,318,Good,"CZK 15,000",Personal,Brick building,,Central heating,Top floor,G,,Standard materials and solutions,,,,,,
697161,"CZK 11,000",50.076814,14.4686562,"V Horní Stromce, Prague - Vinohrady",1 bedroom,29 m²,"CZK 3,000",Partially furnished,5,No,Yes,No,No,No,Yes,No,01. 01. 2022,220,530,97,253,223,237,186,948,308,203,Good,"CZK 22,000",Personal,Brick building,,,,G,,,,,,,,
665095,"CZK 16,000",50.05923,14.42791,"Marie Cibulkové, Prague - Nusle",2 bedroom,65 m²,"CZK 6,000",Partially furnished,4,Yes,No,No,No,No,Yes,No,24. 05. 2021,141,711,239,450,186,356,603,290,180,345,Excellent,"CZK 16,000",Cooperative,Brick building,,Central heating,Top floor,G,,Standard materials and solutions,,,,,,
690427,"CZK 16,500",50.08606,14.38197,"Na Malovance, Prague - Střešovice",1 bedroom,38 m²,"CZK 3,500",Furnished,2,No,No,No,No,No,No,No,14. 11. 2021,115,644,190,883,90,648,551,526,381,186,Excellent,"CZK 30,000",Personal,Brick building,,Electric boiler,Middle floor,F,1 to 10 years years,Premium materials and solutions,Overall,,,,,
692856,"CZK 6,500",50.06111,14.39057,"Štorkánova, Prague - Smíchov",1 bedroom,30 m²,"CZK 7,000",Partially furnished,3,No,No,No,No,No,No,No,22. 11. 2021,151,683,513,470,136,"1,129",685,191,578,21,Good,"CZK 13,500",Personal,Brick building,,,,G,,,,,,,,
