Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Floor,New building,Age,Design,Front garden,Heating,Total number of floors,Renovation,Administration fee,Developer name,Project name,Kód jednotky
613794,"CZK 14,500",50.139574,14.507564,"Nýdecká, Prague - Letňany",1 bedroom with open-plan kitchen,New build,39 m²,CZK 900,"CZK 15,000",Personal,Brick building,Furnished,No,No,Yes,No,No,Yes,No,01. 02. 2022,G,159,767,138,744,297,177,223,445,544,192,9,,,,,Electric boiler,Top floor,Overall,,,,
692540,"CZK 12,990",50.0748,14.32377,"Čistovická, Prague - Řepy",1 bedroom with open-plan kitchen,Good,37 m²,"CZK 3,300","CZK 12,990",Personal,Brick building,Unfurnished,No,Yes,No,No,No,No,No,16. 11. 2021,G,217,249,668,"1,493",515,479,534,,,,1,,,,,,,,,,,
684396,"CZK 13,900",50.11091,14.49956,"Bratří Dohalských, Prague - Vysočany",1 bedroom with open-plan kitchen,Excellent,60 m²,"CZK 4,500","CZK 27,000",Personal,Brick building,Furnished,No,No,No,No,No,Yes,No,15. 01. 2022,C,87,250,116,92,150,145,452,716,360,250,3,,,Standard materials and solutions,,District heating,Middle floor,,,,,
155669,"CZK 16,500",50.0724104,14.3923142,"Plzeňská, Prague - Smíchov",1 bedroom with open-plan kitchen,,65 m²,"CZK 3,900","CZK 25,000",Personal,Brick building,Partially furnished,Yes,No,No,No,No,No,No,,,92,953,8,644,183,774,241,972,962,197,3,,,,,,,,,,,
698521,"CZK 17,000",50.04896,14.56195,"Hornoměcholupská, Prague - Horní Měcholupy",Studio,New build,44 m²,"CZK 3,000","CZK 34,000",Personal,Other,Partially furnished,Yes,No,No,No,No,Yes,Yes,01. 02. 2022,G,273,"1,280",390,"1,357",76,810,645,780,"1,081",718,5,,,,,,,,,,,
646262,"CZK 13,500",50.134066,14.508765,"Vratimovská, Prague - Letňany",2 bedroom,Excellent,48 m²,"CZK 2,600","CZK 27,000",Personal,Prefab concrete building,Partially furnished,No,No,Yes,Yes,Yes,Yes,No,01. 03. 2022,C,105,825,211,537,374,373,89,345,206,216,8,,,Standard materials and solutions,,District heating,Top floor,Overall,,,,
699221,"CZK 17,500",50.05943,14.39429,"Pechlátova, Prague - Smíchov",2 bedroom,Excellent,59 m²,"CZK 3,500","CZK 17,500",Personal,Brick building,Partially furnished,No,No,No,No,No,No,No,01. 02. 2022,E,143,646,409,513,382,707,194,843,237,115,1,,,,,,,,,,,
473442,"CZK 14,000",50.0137321,14.4866846,"Velenická, Prague - Kunratice",2 bedroom,Excellent,53 m²,"CZK 4,000","CZK 36,000",Personal,Brick building,Furnished,No,Yes,No,No,Yes,No,No,15. 01. 2022,B,55,370,40,157,413,692,575,175,352,,1,,1 to 10 years years,Standard materials and solutions,15 m²,Gas boiler,Ground floor,,,,,
336422,"CZK 13,500",50.06617455,14.4206992,"Přemyslova, Prague - Vyšehrad",1 bedroom with open-plan kitchen,,40 m²,"CZK 2,500","CZK 16,000",Personal,Brick building,Furnished,No,No,No,No,No,No,No,,,169,"1,123",138,164,75,201,234,377,431,405,,,,,,Electric boiler,Ground floor,Overall,,,,
699203,"CZK 15,164",50.07175,14.4569,"Bulharská, Prague - Vršovice",2 bedroom,Excellent,72 m²,CZK 865,"CZK 30,328",Personal,Brick building,Unfurnished,No,Yes,No,No,No,No,No,24. 01. 2022,G,186,647,74,423,144,421,116,303,685,274,3,,,,,,,,,,,
559822,"CZK 20,000",50.1075858,14.4879984,"Matějkova, Prague - Libeň",1 bedroom with open-plan kitchen,New build,66 m²,"CZK 3,250","CZK 40,000",Personal,Brick building,Furnished,Yes,No,No,No,No,Yes,Yes,01. 02. 2022,C,178,335,138,479,109,639,408,252,230,243,1,,1 to 10 years years,Premium materials and solutions,,Central heating,,,,,,
609908,"CZK 17,000",50.074318,14.425363,"Kateřinská, Prague - Nové Město",2 bedroom,Excellent,64 m²,"CZK 3,500","CZK 34,000",Personal,Brick building,,No,No,No,No,No,No,No,01. 06. 2020,C,117,738,294,471,106,259,391,403,738,549,3,,,,,,,,,,,
629967,"CZK 17,000",50.092769,14.431964,"Lannova, Prague - Nové Město",2 bedroom,Excellent,63 m²,"CZK 2,000","CZK 17,000",Personal,Brick building,Furnished,No,No,No,No,No,No,No,12. 10. 2020,,203,451,123,471,107,349,86,304,665,140,,,,,,,,,,,,
699183,"CZK 19,500",50.07989,14.45312,"Velehradská, Prague - Vinohrady",2 bedroom,Excellent,77 m²,"CZK 1,000","CZK 19,500",Personal,Brick building,Unfurnished,No,No,No,No,No,Yes,No,01. 02. 2022,G,468,303,108,306,61,569,444,550,813,320,2,,,,,,,,,,,
