Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Reconstruction,Condition,Ownership,EPC,Heating,Designe,Terrace,Balcony,New-build,Garage,Parking,Enclosed balcony,Domácí mazlíčci vítáni,Cellar,Administrative fee
"CZK 12,000","CZK 2,000",425445,Small studio,10/10/2022,22 m²,Fully furnished,1,,96.37,1112.27,342.53,720.59,185.54,791.77,490.82,465.42,674.92,179.97,"Na Jezerce, Prague - Nusle",50.0582532,14.44353,"CZK 14,000",Brick,Up to 10 years,Complete,Very good,Personal,,,,,,,,,,,,
"CZK 12,000","CZK 1,000",731777,Studio,9/1/2022,49 m²,Fully furnished,3,1.0,406.44,1042.14,249.25,1071.49,759.39,1028.76,543.05,720.52,1724.73,169.88,Prague - Letňany,50.12864,14.50206,"CZK 31,000",Other,10 to 30 years,,Very good,,B,Central,Standard,,,1.0,,,1.0,,,
"CZK 10,000","CZK 2,200",731776,Studio,10/1/2022,25 m²,Fully furnished,13,1.0,90.35,334.37,180.12,161.08,60.98,190.91,204.53,131.75,1042.05,295.0,Prague - Vokovice,50.0981,14.35827,"CZK 20,000",Prefab concrete,,,Very good,,G,,,,,,,,1.0,,1.0,
"CZK 20,000","CZK 4,343",731129,2+kk,9/5/2022,55 m²,Fully furnished,3,1.0,225.8,186.58,162.91,156.93,59.19,229.02,808.23,113.99,1814.25,141.14,Prague - Jinonice,50.05661,14.3731,"CZK 30,000",Brick,Up to 10 years,,New-build,Personal,B,Distance,Luxurious,,1.0,1.0,1.0,,,,1.0,
"CZK 29,925","CZK 9,975",731240,1 bedroom,9/1/2022,30 m²,Fully furnished,2,1.0,22.29,481.37,107.82,95.32,6.34,158.39,351.4,425.94,380.79,468.94,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 5,000",639729,2+kk,8/5/2021,40 m²,Fully furnished,1,,63.42,536.25,170.33,317.15,153.02,375.33,210.02,451.41,358.31,265.66,"Jilemnického, Prague - Bubeneč",50.100138,14.401621,"CZK 23,000",Brick,,Complete,Very good,Personal,D,Electric boiler,,,,,,,,,,
"CZK 24,500","CZK 3,900",647743,2+kk,9/1/2022,52 m²,Fully furnished,6,1.0,321.74,272.42,32.18,227.85,42.93,69.06,244.65,812.35,163.33,572.38,"Opletalova, Prague - Nové Město",50.0814214,14.4299039,"CZK 28,400",Brick,,Complete,Very good,Personal,D,Central,Luxurious,1.0,,,,1.0,,,,
"CZK 16,000","CZK 7,300",708480,2 bedroom,11/1/2022,53 m²,Unfurnished,3,1.0,102.94,180.37,269.43,254.61,232.0,280.22,515.14,307.34,1413.59,372.74,"Súdánská, Prague - Vokovice",50.09793,14.3627,"CZK 25,000",Prefab concrete,,Complete,Very good,Personal,G,Distance,,,,,,,1.0,,1.0,
"CZK 12,000","CZK 3,000",645239,Small studio,10/1/2022,33 m²,Partly,3,1.0,144.37,1519.12,831.87,2175.27,613.06,1565.58,1200.65,1702.47,1184.09,625.33,"Sicherova, Prague - Kyje",50.115288,14.562752,"CZK 15,000",Brick,Up to 10 years,,New-build,Personal,B,Distance,Standard,,1.0,1.0,,1.0,,,,
"CZK 26,000","CZK 6,300",549924,3+1,10/1/2022,80 m²,Fully furnished,3,,217.06,836.0,532.68,1632.55,390.74,731.29,193.67,639.92,883.9,714.81,"Nová Šárka, Prague - Liboc",50.092312,14.3189191,"CZK 50,000",Brick,,Interior,Very good,Cooperative,,Distance,Luxurious,,1.0,,1.0,1.0,,,1.0,
"CZK 9,800",CZK 0,731767,2 bedroom,9/15/2022,63 m²,Fully furnished,2,1.0,141.3,356.04,135.26,687.52,94.88,543.66,183.66,98.76,642.78,455.58,Prague - Vinohrady,50.07231,14.44043,"CZK 8,500",Brick,,,Good,,E,,,,,,,,,,,
"CZK 20,500","CZK 3,600",731765,2+kk,10/1/2022,42 m²,Partly,2,,191.47,877.18,113.29,595.83,91.16,183.52,272.02,494.55,359.42,223.04,Prague - Libeň,50.10712,14.49347,"CZK 30,000",Brick,,,Very good,,G,,,,,,,,,,1.0,
"CZK 18,250","CZK 1,500",720582,1 bedroom,7/1/2022,34 m²,Fully furnished,2,,394.31,376.95,228.04,349.35,34.98,624.43,381.88,610.55,688.95,233.34,Prague - Malá Strana,50.08608290623,14.407474153125,"CZK 19,750",Brick,Over 50 years,Bathroom unit,Good,,G,,Standard,,,,,,,1.0,,
