Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Age,Design,Total number of floors,Front garden,Heating,Renovation,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
389581,"CZK 13,000",50.0433026,14.5670631,"Hornoměcholupská, Prague - Horní Měcholupy",1 bedroom with open-plan kitchen,New build,44 m²,"CZK 3,200","CZK 13,000",Personal,Brick building,Partially furnished,4,Yes,No,No,No,Yes,Yes,No,,C,73,967,207,779,680,199,629,627,"1,168",545,Yes,1 to 10 years years,Standard materials and solutions,,,District heating,,,,,,
706648,"CZK 16,900",50.06633,14.39952,"Bieblova, Prague - Smíchov",Studio,New build,32 m²,"CZK 3,500","CZK 16,900",Personal,Low-energy building,Furnished,3,No,No,Yes,No,No,Yes,No,01. 03. 2022,A,56,286,17,658,228,370,90,284,546,223,,,,,,,,,,,,
488534,"CZK 15,500",50.06984,14.4750555,"Lvovská, Prague - Vršovice",2 bedroom,,70 m²,"CZK 4,000","CZK 20,000",Personal,Brick building,Partially furnished,7,No,No,Yes,No,No,Yes,No,14. 02. 2022,,181,314,178,402,130,362,151,158,136,180,,,,,,,,,,,,
706559,"CZK 21,000",50.0923343,14.4901038,"Koněvova, Prague - Žižkov",2 bedroom,Excellent,76 m²,"CZK 3,900","CZK 33,000",Personal,Brick building,Unfurnished,3,No,No,No,No,Yes,No,No,14. 03. 2022,C,154,132,233,218,33,110,265,268,459,218,,,,Attic,,,,,,,,
705768,"CZK 10,000",50.0482863,14.5243139,Prague - Hostivař,Small studio,Excellent,20 m²,"CZK 3,000","CZK 20,000",Personal,Prefab concrete building,Furnished,2,No,No,Yes,Yes,Yes,Yes,No,01. 03. 2022,A,225,"1,085",479,"1,065",12,711,485,493,666,345,,,,,,,,,,,,
689604,"CZK 37,000",50.078855,14.4503271,"Laubova, Prague - Vinohrady",4 bedroom,Excellent,145 m²,"CZK 2,400","CZK 74,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,No,No,01. 01. 2022,G,170,234,0,233,74,262,103,243,592,130,,,,,,,,,,,,
693758,"CZK 13,000",50.10778,14.47439,"Andrštova, Prague - Libeň",Studio,Good,48 m²,"CZK 3,000","CZK 15,000",Personal,Brick building,Partially furnished,2,No,No,Yes,No,No,Yes,No,01. 02. 2022,G,311,762,258,352,250,361,291,585,379,318,,,,,,,,,,,,
72896,"CZK 13,000",50.0768004519,14.4043958187,"Arbesovo náměstí, Prague - Smíchov",1 bedroom,,53 m²,"CZK 1,000","CZK 14,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 03. 2022,G,77,217,16,68,72,104,224,909,729,358,,,,Middle floor,,Other,,,,,,
572023,"CZK 19,000",50.0853905,14.3438632,"Nad Alejí, Prague - Břevnov",2 bedroom,Excellent,54 m²,"CZK 4,000","CZK 30,000",Personal,Prefab concrete building,Furnished,3,No,No,No,No,No,No,No,01. 05. 2022,,215,648,278,410,132,428,77,197,638,226,,1 to 10 years years,Premium materials and solutions,Middle floor,,District heating,Overall,,,,,
263448,"CZK 10,000",50.1035108,14.4551188,Prague - Holešovice,Small studio,,20 m²,"CZK 2,000","CZK 12,000",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,21. 02. 2022,,99,526,165,258,35,162,712,674,123,527,,,,,,,,,,,,
