Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,Cellar,Lift,Domácí mazlíčci vítáni,Enclosed balcony,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Heating,Designe,Ownership,Reconstruction,Age,Terrace,Parking,New-build,Balcony,Garage,Administrative fee,Plot type
"CZK 14,000","CZK 2,700","CZK 28,000",730130,Studio,9/1/2022,4,C,36 m²,Partly,New-build,Other,1.0,1.0,,,145.11,714.1,703.82,698.56,484.4,710.06,817.76,879.38,605.01,262.74,Prague - Záběhlice,50.0534,14.51221,Distance,Standard,,,,,1.0,1.0,1.0,,,
"CZK 10,000","CZK 3,500","CZK 13,500",645192,3+1,4/19/2021,3,B,100 m²,Partly,Good,Brick,,,,,172.13,252.43,10.04,140.78,2.61,44.77,126.41,335.51,695.31,735.79,"Rumunská, Prague - Vinohrady",50.074219,14.434773,,,Personal,,,,,,,,,
"CZK 7,000","CZK 3,000","CZK 5,000",731366,Studio,9/8/2022,1,A,30 m²,Fully furnished,Very good,Brick,1.0,,,,473.13,1927.82,412.01,2234.74,517.28,1651.24,435.03,1290.93,1025.58,581.62,Prague - Ruzyně,50.08148,14.31969,,,,,,,,,1.0,,,
"CZK 18,000","CZK 5,000","CZK 36,000",683172,2+kk,8/16/2022,5,G,55 m²,Partly,Very good,Brick,1.0,,,,300.02,346.31,242.92,505.85,74.44,510.98,211.05,158.51,186.03,232.81,"Písecká, Prague - Vinohrady",50.0763515,14.4651577,Gas boiler,Standard,Personal,Complete,Over 50 years,,,,,,,
"CZK 11,900","CZK 2,700","CZK 10,000",711642,Studio,3/25/2022,1,C,28 m²,Fully furnished,New-build,Brick,1.0,,,,125.51,226.17,234.93,335.55,184.92,199.09,644.6,738.84,851.51,35.4,"Ke Kříži, Prague - Uhříněves",50.03017,14.59654,,,Personal,,,,,,,,,
"CZK 19,500","CZK 2,500","CZK 22,000",731915,2+kk,8/31/2022,4,G,55 m²,Partly,Very good,Brick,1.0,1.0,,,169.73,215.76,94.17,145.25,81.15,76.56,390.09,728.86,241.33,401.53,Prague - Bubeneč,50.10088,14.4248,,,,,,,,,,,,
"CZK 12,000","CZK 2,500","CZK 14,500",731909,Studio,9/19/2022,2,A,33 m²,Partly,Very good,Prefab concrete,,,,1.0,84.12,1247.63,724.44,893.53,723.38,1241.82,428.2,294.51,777.75,176.41,Prague - Michle,50.04686,14.4677,,,,,,,,,,,,
"CZK 17,243","CZK 5,747",,731907,2+kk,10/2/2022,7,,42 m²,Fully furnished,,,,1.0,,,189.72,527.58,173.79,198.14,224.06,240.75,143.43,240.8,330.83,212.33,"Pod Lipami, Prague - Žižkov",50.0911536,14.4863128,,,,,,1.0,,,1.0,,,
"CZK 17,000","CZK 3,200","CZK 17,000",644385,1 bedroom,9/1/2022,7,G,52 m²,Partly,Very good,Brick,,1.0,,,207.69,482.27,84.36,438.85,95.84,148.6,275.64,425.8,739.88,517.15,Prague - Nové Město,50.07184,14.429817,Central,Standard,Personal,,,1.0,,,,,,
"CZK 12,000","CZK 3,500","CZK 12,000",731906,3+kk,8/31/2022,2,G,45 m²,Partly,Good,Brick,,,,,108.92,1102.36,396.47,1484.89,255.96,626.71,700.13,1914.02,905.9,532.47,Prague - Radotín,49.97746,14.3502,,,,,,,1.0,,,,,
